"","Country","Pc6m","Pc30d","Pc7d"
"174","TCD",1.5,-2.1,NA
"175","TGO",13.6,NA,NA
"176","THA",4.7,-0.5,-0.3
"177","TJK",14.6,NA,NA
"178","TKM",9,1.9,NA
"179","TLS",18.5,NA,NA
"180","TTO",3.9,-2,-4
"181","TUN",5.4,-1.6,-0.5
"182","TUR",10.4,1.2,0.8
"183","TWN",3.1,-1.6,-0.5
"184","TZA",10.8,-5,-4.5
"185","UGA",12.3,1.6,1.6
"186","UKR",8.1,NA,NA
"187","URY",7.4,1.8,0.4
"188","USA",4.4,-0.1,-0.4
"189","UZB",12.4,1.7,1.7
"190","VCT",21.1,14,NA
"191","VEN",36.6,-5,NA
"192","VIR",13.2,41.3,NA
"193","VNM",3.2,0.3,NA
"194","VUT",-0.8,-1,-0.4
"195","WSM",-0.2,NA,NA
"196","YEM",10.4,NA,NA
"197","ZAF",8.4,0.2,-0.6
"198","ZMB",27.5,5.2,1.4
"199","ZWE",2.9,2.3,NA
