Country,Fr_political_regime_type,Fr_political_terror_scale,Fr_institutions_WGI_gov,Fr_institutions_VDEM_corrupt,Fr_security_neighbour_conflict,Fr_security_yrsinceconf,Fr_inequality_ethnic,Fr_inequality_social_power,Fr_socialtension_fractions,Fr_economic_gdp,Fr_economic_natural_resource,Fr_number_flags,Fr_at_risk,Fr_in_conflict,Fr_not_at_risk
French Polynesia,.,.,.,.,0,69,.,.,.,.,.,0,,,Not At Risk
Gabon,3,3,18.10897446,0.805666685,1,55,0,-0.730444431,0.768999994,9.397938728,16.34646034,5,At Risk,,
"Gambia, The",-0.5,2.111111164,23.71794891,0.401666671,0,38,0,-0.517222226,0.78640002,7.771370888,5.806406975,1,,,Not At Risk
Georgia,7,2,71.63462067,0.170333341,1,11,0.156000003,-0.980111122,0.492300004,9.349727631,1.078426361,3,,,Not At Risk
Germany,10,1,94.2307663,0.025,0,69,0,-2.512444496,0.168200001,10.79472828,0.065426551,0,,,Not At Risk
Ghana,8,2.666666746,47.75640869,0.637000024,0.333333343,36,0,-1.593444467,0.673300028,8.54496479,12.58921432,3,,,Not At Risk
Gibraltar,.,.,.,.,0,69,.,.,.,.,.,0,,,Not At Risk
Greece,10,1.833333373,65.06410217,0.317000002,1,69,0.039999999,-2.259222269,0.157600001,10.13999939,0.11251428,1,,,Not At Risk
Greenland,.,.,76.44230652,.,0,69,.,.,.,.,0,0,,,Not At Risk
Grenada,.,1,45.99359131,.,0,36,.,.,0.266099989,9.48460865,0,0,,,Not At Risk
Guam,.,.,65.38462067,.,0,69,.,.,.,.,0,0,,,Not At Risk
Guatemala,8,2.388888836,28.04487228,0.794666648,0,24,0.519999981,-0.015555567,0.512199998,8.919987679,2.018398046,2,,,Not At Risk
Guinea,4,2.777777672,14.26282024,0.823000014,1,18,0.400000006,0.022222223,0.738900006,7.638801098,20.48952103,8,At Risk,,
Guinea-Bissau,6,1.333333373,3.68589735,0.880333304,0,20,0,-0.058888894,0.808200002,7.44927454,16.95479202,4,At Risk,,
Guyana,7,2,41.50640869,0.436333328,0,69,.,-0.786333323,0.619499981,8.91357708,25.24120712,1,,,Not At Risk
Haiti,5,2.111111164,0.961538434,0.877333343,0,15,0,0.489666641,0.094999999,7.365072727,1.254669428,3,,,Not At Risk
Honduras,6,3.22222209,30.28846169,0.829666674,0,50,0.086000003,-0.243444443,0.186700001,8.413993835,2.117675304,2,,,Not At Risk
"Hong Kong SAR, China",.,.,97.43589783,0.107666664,0,69,.,-1.044444442,0.061999999,10.93371773,0.001212582,0,,,Not At Risk
Hungary,10,2,69.87179565,0.448333323,1,63,0.050000001,-1.379111052,0.152199998,10.22427559,0.278600246,1,,,Not At Risk
Iceland,.,1,90.86538696,0.026999999,0,69,0,-2.167444468,0.079800002,10.83316517,0.000243173,0,,,Not At Risk
India,9,3.5,56.41025543,0.477999985,1,1,0.126499996,-0.780111134,0.418199986,8.745524406,2.041205883,3,,In Conflict,
Indonesia,9,3,54.16666794,0.686999977,0,1,0.068899997,-0.717888892,0.735099971,9.287952423,3.34270525,3,,In Conflict,
"Iran, Islamic Rep.",-7,4.111111164,45.35256195,0.743666649,1,1,0.169099987,-0.016999993,0.66839999,9.662992477,16.34226608,8,,In Conflict,
Iraq,6,4.666666508,9.45512867,0.816999972,1,1,0.19600001,-0.011444447,0.368900001,9.724844933,35.76617813,7,,In Conflict,
Ireland,10,1,87.5,0.039999999,0,69,0,-1.718111157,0.1206,11.2178278,0.126185372,0,,,Not At Risk
Isle of Man,.,.,.,.,0,69,.,.,.,.,0,0,,,Not At Risk
Israel,6,3.444444418,89.26282501,0.141666666,1,1,0.430000007,-1.159888864,0.343600005,10.5633049,0.149667054,4,,In Conflict,
Italy,10,1.5,70.51282501,0.24166666,0,69,0.038999997,-2.051000118,0.114500001,10.57818508,0.063942403,0,,,Not At Risk
Jamaica,9,2.833333254,69.07051086,0.209666669,0,69,0,-2.19344449,0.412900001,8.953147888,1.218729854,1,,,Not At Risk
Japan,10,1,94.07051849,0.082999997,0,69,0.0122,-1.721666694,0.0119,10.59718513,0.027227303,0,,,Not At Risk
Jordan,-3,2.555555582,58.17307663,0.481333345,1,3,0.560000002,0.121666677,0.592599988,9.075141907,0.885209918,4,,In Conflict,
Kazakhstan,-6,2.888888836,52.88461685,0.84466666,1,69,0.324000001,-0.09700001,0.6171,10.02047443,14.92710018,6,At Risk,,
Kenya,9,3.666666746,41.02563858,0.755666673,1,1,0.02,-0.475666672,0.858799994,8.011236191,2.547763824,5,,In Conflict,
Kiribati,.,1,41.18589783,.,0,69,.,.,0.051100001,7.618767262,0.082353242,0,,,Not At Risk
"Korea, Dem. People's Rep.",-10,5,4.166666508,0.739666641,1,66,0,0.512333333,0.0392,.,.,5,At Risk,,
"Korea, Rep.",8,1.555555582,81.73077393,0.149666667,0,66,0,-1.511333346,0.002,10.53501415,0.032538068,0,,,Not At Risk
Kosovo,8,1.666666627,36.85897446,0.53033334,0,69,0.094000004,-0.684111118,.,9.187818527,0.718381464,0,,,Not At Risk
Kuwait,-7,2,47.2756424,0.542333305,1,28,0.029999999,0.137444437,0.660399973,10.57350922,35.4748497,4,At Risk,,
Kyrgyz Republic,7.5,3,21.31410217,0.866333365,0,69,0.273000002,-0.885222197,0.675199986,8.300765991,8.461013794,4,At Risk,,
Lao PDR,-7,2,38.78205109,0.850333333,1,29,0.099999994,-0.019777782,0.513899982,8.793991089,9.505432129,4,At Risk,,
Latvia,8,1,78.84615326,0.16566667,1,69,0.352999985,-1.663666725,0.586700022,10.1835947,0.914388061,2,,,Not At Risk
Lebanon,6,2.77777791,33.81410217,0.69933331,1,2,0.129999995,0.034666669,0.131400004,9.627508163,0.001234291,3,,In Conflict,
Lesotho,8,2.5,19.55128288,0.544333339,0,21,0,-1.526444435,0.254999995,8.006554604,6.041435242,0,,,Not At Risk
Liberia,6,1.833333373,8.17307663,0.825666666,0,16,0,-1.516888857,0.908399999,6.737487316,24.70131874,6,At Risk,,
Libya,0,4.888888836,2.083333492,0.784333348,1,1,.,-1.009888887,0.791999996,9.70563221,33.14443588,7,,In Conflict,
Liechtenstein,.,1,94.39102936,.,0,69,.,.,0.572600007,.,0.002064929,0,,,Not At Risk
Lithuania,10,1,80.60897064,0.157000005,1,69,0.123999998,-1.957888842,0.322299987,10.33280754,0.343916565,1,,,Not At Risk
Luxembourg,10,1,93.58974457,0.061333332,0,69,0,-2.396666765,0.530200005,11.50759602,0.01316187,0,,,Not At Risk
"Macao SAR, China",.,.,87.66025543,.,0,69,.,.,.,11.47253418,0.000708811,0,,,Not At Risk
"Macedonia, FYR",9,2,57.85256577,0.705666661,0,18,0.097000003,-0.272777766,0.502300024,9.55175209,1.717742443,1,,,Not At Risk
Madagascar,6,2.833333254,11.53846169,0.835999966,0,48,0,-0.636222243,0.879100025,7.366396904,10.62783527,5,At Risk,,
Malawi,6,2.5,23.87820435,0.655666649,0.666666687,69,0,-0.723666668,0.674399972,6.922712803,10.08271217,2,,,Not At Risk
Malaysia,5,2.888888836,76.28205109,0.423666656,1,6,0.064999998,-0.576111078,0.588,10.15945816,6.040094852,3,,,Not At Risk
Maldives,.,2.5,37.33974457,0.677333355,0,69,0,-0.068555549,.,9.697581291,0.006208119,0,,,Not At Risk
Mali,5,3.77777791,16.66666603,0.751666665,1,1,0,-1.175888896,0.690599978,7.780125618,11.73149586,6,,In Conflict,
Malta,.,1,79.64743805,0.280999988,0,69,0,-1.595666647,0.0414,10.62340069,0,0,,,Not At Risk
Marshall Islands,.,1.333333373,5.448718071,.,0,69,.,.,0.0603,8.1659832,0,1,,,Not At Risk
Mauritania,-2,2.833333254,22.27564049,0.853666663,1,8,0.300000012,0.702444434,0.61500001,8.001309395,23.0239315,6,At Risk,,
Mauritius,10,2,78.36538696,0.585333347,0,69,0.313333362,-0.900222242,0.463400006,10.01991177,0.003444032,1,,,Not At Risk
Mexico,8,4,54.4871788,0.67900002,0.666666687,23,0.199000001,-0.478333324,0.541800022,9.814002991,2.6763556,2,,,Not At Risk
"Micronesia, Fed. Sts.",.,1,50.96154022,.,0,69,.,.,0.700500011,8.060658455,0.036648646,1,,,Not At Risk
Moldova,9,2.5,32.69230652,0.798666656,1,27,0.172000006,-0.70155555,0.553499997,8.614155769,0.302855521,3,,,Not At Risk
Monaco,.,1,.,.,0,69,.,.,0.683799982,.,0,1,,,Not At Risk
Mongolia,10,2.333333254,45.03205109,0.629999995,1,69,0.050000001,-1.154555559,0.368200004,9.407006264,35.40877151,2,,,Not At Risk
Montenegro,9,1.5,58.49359131,0.700999975,0,69,0.363000005,-0.28955555,.,9.735590935,1.23356092,1,,,Not At Risk
