Country,Fr_political_regime_type,Fr_political_terror_scale,Fr_institutions_WGI_gov,Fr_institutions_VDEM_corrupt,Fr_security_neighbour_conflict,Fr_security_yrsinceconf,Fr_inequality_ethnic,Fr_inequality_social_power,Fr_socialtension_fractions,Fr_economic_gdp,Fr_economic_natural_resource,Fr_number_flags,Fr_at_risk,Fr_in_conflict,Fr_not_at_risk
Uruguay,10,1,69.55127716,0.053333335,0,47,0.078000002,-1.415888906,0.250400007,9.932776451,1.685855389,0,,,Not At Risk
Uzbekistan,-9,3.111111164,32.21153641,0.799333334,1,15,0.13000001,0.178444445,0.412499994,9.152893066,12.73339748,6,At Risk,,
Vanuatu,.,1,17.94871712,0.351000011,0,69,.,-1.845111012,0.041299999,7.943047523,0.807305038,0,,,Not At Risk
"Venezuela, RB",0.5,4,8.012820244,0.745333314,0.666666687,27,0.151999995,-1.065777779,0.496600002,8.946389198,.,4,At Risk,,
Vietnam,-7,3.333333254,53.04487228,0.489000022,0,31,0.105999991,0.02788889,0.238299996,8.765206337,2.782150745,2,,,Not At Risk
Virgin Islands (U.S.),.,.,79.96794891,.,0,69,.,.,.,.,.,0,,,Not At Risk
West Bank and Gaza,.,.,34.45512772,0.293000013,0,69,.,-1.133777738,.,8.388346672,0,0,,,Not At Risk
"Yemen, Rep.",0,5,1.762820601,0.90200001,0,1,0.5,1.133666754,.,7.511698246,1.510269761,5,,In Conflict,
Zambia,6,2.833333254,28.36538506,0.472666681,1,69,0.079999998,-0.717555583,0.780799985,8.263190269,15.74135971,4,At Risk,,
Zimbabwe,4,3.222222328,11.3782053,0.79399997,0.666666687,40,0.01,0.517444432,0.387400001,7.594717026,6.930500984,3,,,Not At Risk
