"","Country","Fr_ACLED_fatal_last30d","Fr_ACLED_fatal_oneyear30d","Fr_ACLED_fatal_oneyearmonthlyav","Fr_ACLED_fatal_threeyearmonthlyav","Fr_ACLED_fatal_same_month_difference","Fr_ACLED_fatal_month_annual_difference","Fr_ACLED_fatal_month_threeyear_difference","Fr_ACLED_fatal_same_month_difference_perc","Fr_ACLED_fatal_month_annual_difference_perc","Fr_ACLED_fatal_month_threeyear_difference_perc","Fr_ACLED_event_last30d","Fr_ACLED_event_oneyear30d","Fr_ACLED_event_oneyearmonthlyav","Fr_ACLED_event_threeyearmonthlyav","Fr_ACLED_event_same_month_difference","Fr_ACLED_event_month_annual_difference","Fr_ACLED_event_month_threeyear_difference","Fr_ACLED_event_same_month_difference_perc","Fr_ACLED_event_month_annual_difference_perc","Fr_ACLED_event_month_threeyear_difference_perc","Fr_ACLED_fatal_same_month_difference_perc_norm","Fr_ACLED_fatal_month_annual_difference_perc_norm","Fr_ACLED_fatal_month_threeyear_difference_perc_norm","Fr_ACLED_event_same_month_difference_perc_norm","Fr_ACLED_event_month_annual_difference_perc_norm","Fr_ACLED_event_month_threeyear_difference_perc_norm"
"145","URY",0,1,0,0.0277777777777778,-1,0,-0.0277777777777778,-100,0.01,-100,2,5,3.25,1.22222222222222,-3,-1.25,0.777777777777778,-60,-38.4615384615385,63.6363636363636,0,0,0,0,0,0
"146","UZB",1,0,0.333333333333333,0.111111111111111,1,0.666666666666667,0.888888888888889,0.01,200,800,20,4,10.25,3.5,16,9.75,16.5,400,95.1219512195122,471.428571428571,0,0,10,10,0,0
"147","VCT",2,0,0.166666666666667,0.0555555555555556,2,1.83333333333333,1.94444444444444,0.01,1100,3500,1,0,0.0833333333333333,0.0277777777777778,1,0.916666666666667,0.972222222222222,0.01,1100,3500,0,10,10,0,10,10
"148","VEN",13,99,61.9166666666667,23.3333333333333,-86,-48.9166666666667,-10.3333333333333,-86.8686868686869,-79.0040376850606,-44.2857142857143,151,150,230.333333333333,80.6666666666667,1,-79.3333333333333,70.3333333333333,0.666666666666667,-34.4428364688857,87.1900826446281,0,0,0,0.0166666666666675,0,1.08987603305785
"149","VIR",0,0,0,0,0,0,0,0.01,0.01,0.01,1,0,0.0833333333333333,0.0277777777777778,1,0.916666666666667,0.972222222222222,0.01,1100,3500,0,0,0,0,10,10
"150","VNM",0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,0.01,-100,-100,2,0,2.58333333333333,0.861111111111111,2,-0.583333333333333,1.13888888888889,0.01,-22.5806451612903,132.258064516129,0,0,0,0,0,0
"151","XKX",0,0,0,0,0,0,0,0.01,0.01,0.01,13,6,9.16666666666667,3.22222222222222,7,3.83333333333333,9.77777777777778,116.666666666667,41.8181818181818,303.448275862069,0,0,0,0,0,0
"152","YEM",1502,1633,1638.75,588.111111111111,-131,-136.75,913.888888888889,-8.02204531537048,-8.34477498093059,155.393916493482,877,579,960.25,335.222222222222,298,-83.25,541.777777777778,51.4680483592401,-8.6696172871648,161.617500828638,0,0,2.5898986082247,1.286701208981,0,2.02021876035797
"153","ZAF",11,11,12.5833333333333,4.41666666666667,0,-1.58333333333333,6.58333333333333,0,-12.5827814569536,149.056603773585,174,124,133.833333333333,47.9166666666667,50,40.1666666666667,126.083333333333,40.3225806451613,30.0124533001245,263.130434782609,0,0,2.48427672955975,1.00806451612903,0.750311332503115,3.28913043478261
"154","ZMB",0,0,2.33333333333333,0.777777777777778,0,-2.33333333333333,-0.777777777777778,0.01,-100,-100,5,0,6.16666666666667,2.05555555555556,5,-1.16666666666667,2.94444444444444,0.01,-18.9189189189189,143.243243243243,0,0,0,0,0,0
"155","ZWE",2,1,1.08333333333333,0.388888888888889,1,0.916666666666667,1.61111111111111,100,84.6153846153846,414.285714285714,15,5,13.5,4.63888888888889,10,1.5,10.3611111111111,200,11.1111111111111,223.353293413174,0,0,0,0,0,0
