"","Countryname","Country","FCV_status","IDA-status"
"145","Japan","JPN",NA,NA
"146","Jordan","JOR",NA,NA
"147","Latvia","LVA",NA,NA
"148","Liberia","LBR","High-Institutional and Social Fragility","Yes"
"149","Lithuania","LTU",NA,NA
"150","Netherlands","NLD",NA,NA
"151","New Zealand","NZL",NA,NA
"152","North Macedonia","MKD",NA,NA
"153","Philippines","PHL",NA,NA
"154","Portugal","PRT",NA,NA
"155","Qatar","QAT",NA,NA
"156","Saint Kitts and Nevis","KNA",NA,NA
"157","Saint Vincent and the Grenadines","VCT",NA,"Yes"
"158","Singapore","SGP",NA,NA
"159","Slovenia","SVN",NA,NA
"160","Sweden","SWE",NA,NA
"161","Switzerland","CHE",NA,NA
"162","Thailand","THA",NA,NA
"163","Tonga","TON",NA,"Yes"
"164","United States of America","USA",NA,NA
"165","Uruguay","URY",NA,NA
"166","Benin","BEN",NA,"Yes"
"167","Canada","CAN",NA,NA
"168","Costa Rica","CRI",NA,NA
"169","Côte d'Ivoire","CIV",NA,"Yes"
"170","Denmark","DNK",NA,NA
"171","Eswatini","SWZ",NA,NA
"172","Finland","FIN",NA,NA
"173","Ghana","GHA",NA,"Yes"
"174","Guinea-Bissau","GNB","High-Institutional and Social Fragility","Yes"
"175","Indonesia","IDN",NA,NA
"176","Jamaica","JAM",NA,NA
"177","Korea Republic of","KOR",NA,NA
"178","Kyrgyzstan","KGZ",NA,"Yes"
"179","Lao PDR","LAO","High-Institutional and Social Fragility","Yes"
"180","Liechtenstein","LIE",NA,NA
"181","Marshall Islands","MHL","High-Institutional and Social Fragility","Yes"
"182","Namibia","NAM",NA,NA
"183","Nepal","NPL",NA,"Yes"
"184","Norway","NOR",NA,NA
"185","Paraguay","PRY",NA,NA
"186","Russian Federation","RUS",NA,NA
"187","Slovakia","SVK",NA,NA
"188","Sri Lanka","LKA",NA,NA
"189","United Kingdom","GBR",NA,NA
"190","Viet Nam","VNM",NA,NA
