"","Country","S_OCHA_Added.Social.Protection.coverage","S_OCHA_Added.SP.adequacy","S_OCHA_Added.Social.Protection.coverage.1","S_OCHA_Added.SP.adequacy.1","S_OCHA_SP.Index","S_OCHA_Population.density","S_OCHA_Population.living.in.urban.areas","S_OCHA_Population.living.in.slums....of.urban.population.","S_OCHA_household.size","S_OCHA_IDP..refugees.and.returnees...percentage.of.population.","S_OCHA_Displaced.population","S_OCHA_Density.Index","S_OCHA_Access.to.cities","S_OCHA_Internal.connectedness..Road.density.","S_OCHA_Movement","S_OCHA_Transmission","S_OCHA_Human.Development.Index","S_OCHA_Multidimensional.Poverty.Index","S_OCHA_Poverty","S_OCHA_Poverty.index","S_OCHA_food.insecurity.as.percenatge.of.population","S_OCHA_Food.insecurity.score","S_OCHA_Population.age.65.....","S_OCHA_Demography","S_OCHA_Probability.....of.dying.between.30.70.from.cardiovasular.disease..cancer..diabetes.or.chronic.respiratory.disease","S_OCHA_known.co.mortality.risk.factors","S_OCHA_Diabetes.prevalance","S_OCHA_Diabetes.prevalence","S_OCHA_Age.Standardized.Prevalence.of.CVD","S_OCHA_Incidence.of.Tuberculosis","S_OCHA_Comorbidities","S_OCHA_Risk.factors","S_OCHA_Covid.vulnerability.index"
"172","TGO",3.009575378,28.50448922,0.1,5.2,0.1,7.2,4.2,5.9,6.4,0.1,0.1,4.8,7.4,2.3,4.9,4.8,7.9,8.8,5,7.2,0,0,3,0.6,23.6,9.1,2.4,0.2,7,0.7,4.3,3.9,4.3
"173","TON",1.288273893,29.12212551,0,5.4,0,7.2,2.3,NA,NA,0,0,3.2,2.5,10,6.3,4.7,3.5,NA,0.1,1.8,0,0,6,2.2,23.3,8.9,15.7,7.6,4,0.2,5.2,2.3,3.5
"174","TTO",NA,NA,NA,NA,NA,8.1,5.3,0.6,3.2,0.8,0.8,3.6,6.6,10,8.3,6,2.3,NA,0.3,1.3,0,0,11,5,21.3,7.5,11,5,4,0.3,4.2,2.8,4.4
"175","TUN",14.42593159,3.80321121,1.5,0.2,1.5,6.2,6.9,0.9,NA,0,0,3.5,6.3,3.5,4.9,4.2,3.3,2.8,0,2,0,0,8,3.3,16.1,4.1,8.5,3.6,6,0.6,3.6,2.4,3.3
"176","TUR",50.36213194,39.38843786,5.9,7.5,5.9,6.8,7.5,0.9,NA,6.1,6.1,5.3,5.8,5.1,5.5,5.4,2.2,NA,0,1.1,0.2,0.1,8,3.3,16.1,4.1,11.1,5.1,6,0.3,3.9,3.6,4.5
"177","TKM",NA,NA,NA,NA,NA,3.7,5.2,NA,NA,0,0,3,5.5,0.3,2.9,2.9,3.9,0.6,5.1,3.2,0,0,4,1.1,29.5,10,6.1,2.3,5,0.8,4.5,3.9,3.4
"178","TUV",NA,NA,NA,NA,NA,8.6,6.2,NA,NA,0,0,4.9,0.8,10,5.4,5.2,4.6,NA,NA,4.6,0,0,NA,NA,NA,NA,22.1,10,5,4.3,6.4,5.5,5.3
"179","UGA",60.71393176,13.50950956,7.2,2.2,7.2,7.8,2.4,5.3,6.3,3.1,3.1,5,5.1,2.2,3.7,4.3,7.7,9.1,4.2,7,2.5,1.2,2,0,21.9,7.9,2.5,0.3,6,3.7,4.5,6.2,5.3
"180","UKR",70.30831255,38.61463704,8.4,7.3,8.4,6.3,6.9,2.1,1.1,1.8,1.8,3.6,5.1,7.4,6.3,4.9,3,0.3,0,1.1,0,0,16,7.8,24.7,9.8,6.1,2.3,5,1.5,4.7,4.7,4.8
"181","ARE",NA,NA,NA,NA,NA,7.1,8.7,NA,NA,0.1,0.1,5.3,6.2,4.7,5.5,5.4,0.7,NA,0,0.4,0,0,1,0,16.8,4.5,16.3,7.9,3,0,3.9,2.1,3.7
"182","GBR",NA,NA,NA,NA,NA,8.1,8.3,NA,0.9,0.3,0.3,4.4,4.9,10,7.5,5.9,0,NA,0,0,0,0,18,8.9,10.9,0.6,3.9,1.1,3,0.2,1.2,0.6,3.3
"183","USA",NA,NA,NA,NA,NA,5.2,8.2,NA,1.4,0.3,0.3,3.8,3.6,7.2,5.4,4.6,0,NA,0.1,0.1,0,0,16,7.8,14.6,3.1,10.8,4.9,3,0.1,2.8,1.4,3
"184","URY",79.81702852,45.23520685,9.5,8.7,9.5,4.3,9.5,NA,2,0.2,0.2,4,4.2,3.2,3.7,3.9,1.9,NA,0,1,0,0,15,7.2,16.7,4.5,7.3,2.9,3,0.6,2.8,4.4,4.1
"185","UZB",NA,NA,NA,NA,NA,6.3,5,5.8,NA,0,0,4.3,6.1,1.8,4,4.1,3.8,NA,6.2,5,0,0,4,1.1,24.5,9.7,6.5,2.5,5,1.3,4.6,4.8,4.5
"186","VUT",NA,NA,NA,NA,NA,4.6,2.5,NA,NA,0,0,2.4,0.4,0.7,0.6,1.5,5.9,7.9,1.3,5,0,0,4,1.1,23.3,8.9,11.9,5.5,5,0.9,5.1,5.1,3.3
"187","VEN",NA,NA,NA,NA,NA,5,8.8,3.9,NA,0.2,0.2,4.5,5.9,0.7,3.3,3.9,2.8,NA,1,1.9,0,0,7,2.8,18.1,5.4,7,2.8,4,0.8,3.3,2.6,3.2
"188","VNM",34.85793265,22.52419307,4,4,4,8.3,3.6,1.6,4.5,0,0,3.6,6.8,2.4,4.6,4.1,4.1,4.4,0.2,2.9,0,0,7,2.8,17.1,4.7,6,2.2,4,2.3,3.3,3.4,3.8
"189","YEM",NA,NA,NA,NA,NA,5.8,3.7,6.3,10,14.6,10,7.2,2.5,0.3,1.4,4.3,9,8.5,1.9,6.5,54.5,10,3,0.6,30.6,10,5.4,1.9,6,0.9,4.7,5.6,4.9
"190","ZMB",1.621688864,34.02183079,0,6.4,0,4.6,4.4,7,7.8,0.3,0.3,4.8,6.4,0.3,3.4,4.1,6.2,9,5.8,7,6.7,3.4,2,0,17.9,5.3,4.5,1.4,7,6.6,5.1,4,4.1
"191","ZWE",29.55185645,NA,3.4,NA,3.4,5.2,3.2,3.1,5.2,0.2,0.2,3.4,6.4,1.2,3.8,3.6,7.3,8,3.4,6.2,13,6.5,3,0.6,19.3,6.2,1.8,0,5,4,3.8,4.5,4
