"","Country","M_GDP_WB_2017","M_GDP_WB_2018","M_GDP_WB_2019","M_GDP_WB_2020","M_GDP_WB_2021","M_GDP_WB_2019minus2020"
"100","TCD",-3,2.6,3.2,-0.2,4.7,-3.4
"101","COM",3.8,3.4,1.9,-1.4,3.2,-3.3
"102","COD",3.7,5.8,4.4,-2.2,3.5,-6.6
"103","COG",-1.8,1.6,-0.9,-6.2,-1.1,-5.3
"104","CIV",7.4,6.8,6.9,2.7,8.7,-4.2
"105","GNQ",-4.7,-6.1,-6.2,-8.4,-1.6,-2.2
"106","ERI",-10,13,3.7,-0.7,5.7,-4.4
"107","SWZ",2,2.4,1.3,-2.8,2.7,-4.1
"108","ETH",10,7.9,9,3.2,3.6,-5.8
"109","GAB",0.5,0.8,3.3,-3.2,-2.6,-6.5
"110","GMB",4.8,6.6,6,2.5,6.5,-3.5
"111","GHA",8.1,6.3,6.5,1.5,3.4,-5
"112","GIN",10.3,6.2,5.6,2.1,7.9,-3.5
"113","GNB",5.9,3.8,4.7,-1.6,3.1,-6.3
"114","KEN",4.8,6.3,5.4,1.5,5.2,-3.9
"115","LSO",-0.4,1.5,1.4,-5.1,5.5,-6.5
"116","LBR",2.5,1.2,-2.3,-2.6,4,-0.3
"117","MDG",3.9,4.6,4.8,-1.2,4,-6
"118","MWI",4,3.5,4.4,2,3.5,-2.4
"119","MLI",5.3,4.7,5.1,0.9,4,-4.2
"120","MRT",3,3.6,6.3,-2,4.2,-8.3
"121","MUS",3.8,3.7,3.6,-6.8,6.4,-10.4
"122","MOZ",3.7,3.4,2.2,1.3,3.6,-0.9
"123","NAM",-0.3,0.7,-1.1,-4.8,3,-3.7
"124","NER",4.9,6.5,6.3,1,8.1,-5.3
"125","NGA",0.8,1.9,2.2,-3.2,1.7,-5.4
"126","RWA",6.1,8.6,9.4,2,6.9,-7.4
"127","STP",3.9,2.7,2.4,-9.5,6.1,-11.9
"128","SEN",7.4,6.4,5.3,1.3,4,-4
"129","SYC",4.3,4.1,3.8,-11.1,6.3,-14.9
"130","SLE",3.8,3.5,5.1,-2.3,4,-7.4
"131","ZAF",1.4,0.8,0.2,-7.1,2.9,-7.3
"132","SSD",-6.9,-3.5,3.2,-4.3,-23.6,-7.5
"133","SDN",4.3,-2.3,-2.6,-4,0.5,-1.4
"134","TZA",6.8,5.4,5.8,2.5,5.5,-3.3
"135","TGO",4.4,4.9,5.3,1,4,-4.3
"136","UGA",3.9,6.2,6.5,3.3,3.7,-3.2
"137","ZMB",3.4,4,1.7,-0.8,2.4,-2.5
"138","ZWE",4.7,3.5,-8.1,-10,2.9,-1.9
