Country,S_pov_comb_norm,S_pov_prop_22_21_norm,S_pov_prop_21_20_norm,S_pov_prop_20_19_norm,S_pov_prop_22_21,S_pov_prop_21_20,S_pov_prop_20_19
AGO,9.46943355444598,7.990410978827498,5.1439414545495055,9.46943355444598,0.09808219576549959,0.028788290909901093,2.840830066333794
ARG,10,6.200589187971499,0,10,-0.25988216240570017,-2.81834263866083,3.03547799691851
ARM,6.519187056029905,6.519187056029905,4.076815501903349,0.847853660757167,-0.19616258879401893,-0.18463689961933016,0.25435609822715
BDI,9.313796742209988,9.313796742209988,7.941010102910511,5.2533330800929905,0.36275934844199753,0.5882020205821021,1.5759999240278972
BEN,0.973648806288665,0,0.21276093151001874,0.973648806288665,-1.5975385922753986,-0.9574478136979963,0.2920946418865995
BFA,6.355309782317491,2.908535732439006,6.355309782317491,6.343663064482333,-0.9182928535121988,0.2710619564634982,1.9030989193446999
BGD,10,5.664320070503006,4.565916563737495,10,-0.3671359858993988,-0.08681668725250091,9.3
BGR,6.150708442372901,6.150708442372901,5,0,-0.26985831152541984,0,0
BOL,5.206835201516569,5.0345570264834505,1.3893755901295979,5.206835201516569,-0.4930885947033099,-0.7221248819740804,1.5620505604549706
BRA,10,2.9966699364899485,10,0,-0.9006660127020103,3.7375388365126803,-2.57631963743077
BTN,7.0231235193543,7.0231235193543,4.849122625124,0,-0.09537529612914009,-0.0301754749751999,0
BWA,10,3.8510272292815007,1.060035310848999,10,-0.7297945541436999,-0.7879929378302002,3.554354711262601
CAF,4.451949543066007,4.451949543066007,3.89415256958749,2.952352009931994,-0.6096100913867986,-0.22116948608250198,0.8857056029795984
CHL,7.4961552,7.4961552,4.988607976147441,0,-7.689600000000026e-4,-0.0022784047705116973,-0.2532557074382233
CHN,7.353602154667435,7.353602154667435,4.728776185424691,0,-0.029279569066513023,-0.054244762915062,-0.018542845643464978
CIV,4.741453105996509,4.741453105996509,2.668033235268492,0.4408381615589949,-0.5517093788006981,-0.4663933529463016,0.13225144846769865
CMR,6.858170840864997,6.858170840864997,4.626326636214504,2.9607407143483275,-0.12836583182700068,-0.07473467275709922,0.8882222143044984
COD,5.9083074251194745,5.9083074251194745,4.5516219841145045,4.835966808468678,-0.3183385149761051,-0.0896756031770991,1.4507900425406035
COG,10,10,9.917374644744008,7.351933591574659,2.7248658708603983,0.9834749289488016,2.2055800774723977
COL,10,0,0,10,-1.88758050546498,-3.5619781683786504,4.230722192008461
COM,5.293064136378991,5.293064136378991,2.829568159628497,3.5918884781953384,-0.4413871727242018,-0.43408636807430057,1.0775665434586017
CPV,6.12966820195315,6.12966820195315,2.0667842192598007,2.352859284272265,-0.27406635960937,-0.5866431561480399,0.7058577852816799
CRI,7.000000000000001,7.000000000000001,0.40000000000000036,2.2701662842933334,-0.09999999999999987,-0.9199999999999999,0.6810498852879998
DJI,2.8334768108410024,2.8334768108410024,0,2.5868669215613362,-0.9333046378317995,-1.1873479605805013,0.7760600764684007
DOM,7.5,7.5,4.72313986934168,0.1845733497174571,0,-0.055372026131663976,0.05537200491523697
ECU,10,5.099999999999998,1.6000000000000014,10,-0.4800000000000004,-0.6799999999999997,3.4318564236733597
EGY,6.527779263041498,6.527779263041498,5.468158824400802,0.5983385879628322,-0.19444414739170046,0.09363176488016034,0.17950157638884967
ETH,3.9224095560214955,2.2243805666784944,3.9224095560214955,0,-1.0551238866643011,-0.2155180887957009,-0.14118841465790055
GAB,7.2657682649925,7.2657682649925,5.00120683410505,0.3518061397903658,-0.04684634700149992,2.4136682100994733e-4,0.10554184193710991
GEO,4.643434831207951,4.643434831207951,3.2109084347345984,1.9806150493885344,-0.5713130337584098,-0.3578183130530803,0.5941845148165603
GHA,7.371495441402507,7.371495441402507,5.336403640180496,0.5188091714270016,-0.02570091171949862,0.06728072803609919,0.15564275142810047
GIN,0,0,0,0,-1.5671843957635012,-1.2712157058060995,-0.5039374842215985
GMB,4.985675054086354,4.295674714104694,4.985675054086354,4.217850421645135,-0.6408650571790613,-0.0028649891827292606,1.2653551264935405
GNB,8.831181173339337,3.045704587944016,2.62251679127246,8.831181173339337,-0.8908590824111968,-0.475496641745508,2.649354352001801
GTM,6.3854870390485985,6.3854870390485985,3.346778039101501,1.806557206060301,-0.2229025921902803,-0.33064439217969976,0.5419671618180901
HND,4.026146402235993,4.026146402235993,1.1957701294419998,3.3347364497766687,-0.6947707195528015,-0.7608459741116,1.0004209349330004
HRV,7.4648657449547855,7.4648657449547855,4.900134258198809,0.06657711510806408,-0.007026851009042989,-0.019973148360238002,0.019973134532419
HTI,10,4.69654089119901,10,4.5113674621969935,-0.5606918217601979,1.4203810514372996,1.353410238659098
IDN,5.5,5.5,3,1,-0.3999999999999999,-0.3999999999999999,0.2999999999999998
IND,9.2,2.649999999999997,0,9.2,-0.9700000000000006,-1.129999999999999,2.76
KAZ,7.490779945196933,7.490779945196933,4.994044767064203,0.008444544637532303,-0.0018440109606134014,-0.0011910465871594993,0.0025333633912598998
KEN,3.3820257619689897,3.3820257619689897,2.128856430463486,0,-0.823594847606202,-0.5742287139073028,-0.18322323533509888
KGZ,5.440275839003671,5.440275839003671,1.704100607328149,2.954827332545541,-0.4119448321992659,-0.6591798785343701,0.8864481997636621
LAO,5.7840532876953965,5.7840532876953965,3.1578951713825987,0.6801049617565038,-0.3431893424609207,-0.36842096572348026,0.20403148852695097
LBR,9.242006402510677,0,7.647985354745472,9.242006402510677,-3.2950251067636955,0.5295970709490945,2.7726019207532033
LCA,6.668659999999997,6.668659999999997,1.5667100000000023,3.531493333333332,-0.16626800000000053,-0.6866579999999995,1.0594479999999997
LKA,7.000000000000001,7.000000000000001,4.5,3.9756930248783906,-0.09999999999999987,-0.10000000000000009,1.1927079074635172
LSO,9.328571742468673,0,1.6780009762159942,9.328571742468673,-1.684410173654502,-0.6643998047568012,2.798571522740602
MAR,7.216104780603,7.216104780603,4.65122848615632,0.42846848457029374,-0.056779043879400026,-0.06975430276873607,0.12854054537108806
MDA,7.5,7.5,5,0,0,0,0
MDG,5.921673668393008,0.6395338247244808,1.8397825516574784,5.921673668393008,-1.3720932350551038,-0.6320434896685043,1.7765021005179022
MEX,6.91812577952875,6.91812577952875,4.365127912386599,2.8786648055266673,-0.11637484409425003,-0.12697441752268013,0.8635994416580002
MLI,9.933662994960008,0.005852268903012714,7.281361675633491,9.933662994960008,-1.4988295462193975,0.4562723351266982,2.980098898488002
MNG,7.50993925787054,7.50993925787054,5.010117483278186,0,0.0019878515741079683,0.002023496655637058,-0.001779233244796008
MOZ,5.039911873795013,4.659621886892502,5.039911873795013,3.695124873033322,-0.5680756226214996,0.007982374759002653,1.1085374619099966
MRT,6.541025006827299,6.541025006827299,5.620632994917449,2.939414452443602,-0.1917949986345402,0.12412659898348988,0.8818243357330804
MWI,3.1620883927569565,1.464460267328036,3.1620883927569565,1.191169185583334,-1.2071079465343928,-0.3675823214486087,0.3573507556750002
MYS,7.499128929323544,7.499128929323544,4.997238942717612,7.544930722040988e-4,-1.7421413529119996e-4,-5.522114564776e-4,2.2634792166150006e-4
NAM,10,7.376534495190494,5.707434782076,10,-0.024693100961901138,0.14148695641519993,4.273239208959101
NER,5.337934489394343,0,0,5.337934489394343,-5.014501849120201,-2.405103935382499,1.6013803468183028
NGA,10,10,9.946284293113017,9.723805698881,0.7683119535812963,0.9892568586226034,2.9171417096642998
NIC,7.393771475263851,7.393771475263851,5,3.611769047923432,-0.021245704947229882,0,1.0835307143770296
PAN,7.23081633583,7.23081633583,4.0697654219876,1.0815228331135671,-0.05383673283399992,-0.18604691560248,0.32445684993406987
PER,5.643282302895732,5.026875932536501,0,5.643282302895732,-0.4946248134926998,-1.3782997985478498,1.6929846908687196
PHL,5.541620442109698,5.541620442109698,3.002871787088102,2.3911997371821005,-0.39167591157806037,-0.39942564258237967,0.71735992115463
POL,7.45598216965171,7.45598216965171,4.95794425351923,0.031767437296789325,-0.008803566069657986,-0.008411149296153997,0.009530231189036953
PRY,7.25,7.25,4.75,0.6666666666666679,-0.050000000000000044,-0.050000000000000044,0.20000000000000018
ROU,7.01427236599065,7.01427236599065,4.3187933338415,1.4484019371261336,-0.09714552680186994,-0.13624133323170007,0.4345205811378401
RUS,7.496295968926522,7.496295968926522,4.965316000290082,0.025592021080262484,-7.408062146955982e-4,-0.006936799941983703,0.007677606324078701
RWA,0.12399341901250693,0.12399341901250693,0,0,-1.4752013161974986,-1.0799980167394025,-1.0924606359730973
SDN,10,5.3465839998724896,4.457322925690512,10,-0.4306832000255021,-0.10853541486189755,5.785752056557298
SEN,4.381737648793482,4.381737648793482,4.167732286001495,2.3425129425280034,-0.6236524702413035,-0.16645354279970093,0.702753882758401
SLE,10,0,2.5082336664210203,10,-1.7394580715247017,-0.49835326671579594,3.6265830297491988
SLV,6.3078316562324,6.3078316562324,3.4456102608950987,2.4129022827997684,-0.23843366875352,-0.3108779478209802,0.7238706848399301
SSD,10,8.728271246279036,10,6.464864026078014,0.24565424925580714,4.239568768005199,1.939459207823404
STP,10,0,3.6138069960325225,10,-1.6015115228413066,-0.2772386007934955,3.870937201927802
SWZ,7.674712217843496,7.674712217843496,4.566839696156997,4.856162066476331,0.03494244356869913,-0.08663206076860064,1.4568486199428996
TCD,6.8714623115785045,6.7616281167824965,6.8714623115785045,4.343161215165997,-0.1476743766435007,0.3742924623157009,1.302948364549799
TGO,4.583827125049993,4.583827125049993,3.210644663051525,3.137004202511994,-0.5832345749900014,-0.357871067389695,0.941101260753598
TJK,6.9300907687216995,6.9300907687216995,3.7840112197843485,0,-0.1139818462556601,-0.2431977560431302,0
TUN,7.386632736959,7.386632736959,4.436693560769845,0.6231697389530613,-0.022673452608199973,-0.11266128784603102,0.186950921685918
TZA,3.8364719611553486,3.4414147533830075,3.2924942019394976,3.8364719611553486,-0.8117170493233985,-0.3415011596121005,1.1509415883466048
UKR,7.5,7.5,5,0,0,0,0
URY,7.428424116114861,7.428424116114861,4.834021629300825,0.08292909852386998,-0.014315176777027802,-0.03319567413983519,0.024878729557160993
ZAF,7.59168226983166,7.466391657159992,3.22616441951201,7.59168226983166,-0.006721668568001604,-0.35476711609759803,2.277504680949498
ZMB,7.190856779074508,7.190856779074508,6.141927828766995,6.359935915196668,-0.06182864418509837,0.22838556575339908,1.9079807745590003
ZWE,10,3.882357427463994,3.016288643650995,10,-0.7235285145072012,-0.396742271269801,8.495595442602799
