"","Countryname","Country","FCV_status","FCV_normalised","FSI_Score","FSI_Score_norm","Final_score"
"89","Poland","POL",NA,0,41,4.55555555555556,4.55555555555556
"90","Saint Lucia","LCA",NA,0,NA,NA,NA
"91","Solomon Islands","SLB","High-Institutional and Social Fragility",10,79.7,8.85555555555556,10
"92","United Arab Emirates","ARE",NA,0,38.1,4.23333333333333,4.23333333333333
"93","Azerbaijan","AZE",NA,0,71.3,7.92222222222222,7.92222222222222
"94","Bahrain","BHR",NA,0,63.9,7.1,7.1
"95","Bangladesh","BGD",NA,0,85.7,9.52222222222222,9.52222222222222
"96","Bhutan","BTN",NA,0,69.5,7.72222222222222,7.72222222222222
"97","Burundi","BDI","High-Institutional and Social Fragility",10,97.9,10,10
"98","Cambodia","KHM",NA,0,80.3,8.92222222222222,8.92222222222222
"99","China","CHN",NA,0,69.9,7.76666666666667,7.76666666666667
"100","Comoros","COM","High-Institutional and Social Fragility",10,81.2,9.02222222222222,10
"101","Congo","COG","High-Institutional and Social Fragility",10,92.1,10,10
"102","France","FRA",NA,0,30.5,3.38888888888889,3.38888888888889
"103","Gabon","GAB",NA,0,69.1,7.67777777777778,7.67777777777778
"104","Gambia","GMB","High-Institutional and Social Fragility",10,82.2,9.13333333333333,10
"105","Germany","DEU",NA,0,23.2,2.57777777777778,2.57777777777778
"106","Kiribati","KIR","High-Institutional and Social Fragility",10,NA,NA,10
"107","Korea DPR","PRK",NA,0,90.2,10,10
"108","Kuwait","KWT",NA,0,50.9,5.65555555555556,5.65555555555556
"109","Luxembourg","LUX",NA,0,18.8,2.08888888888889,2.08888888888889
"110","Madagascar","MDG",NA,0,79.5,8.83333333333333,8.83333333333333
"111","Malta","MLT",NA,0,33.6,3.73333333333333,3.73333333333333
"112","Mexico","MEX",NA,0,67.2,7.46666666666667,7.46666666666667
"113","Micronesia","FSM","High-Institutional and Social Fragility",10,NA,NA,10
"114","Moldova Republic of","MDA",NA,0,66,7.33333333333333,7.33333333333333
"115","Mongolia","MNG",NA,0,51.9,5.76666666666667,5.76666666666667
"116","Morocco","MAR",NA,0,71.2,7.91111111111111,7.91111111111111
"117","Nauru","NRU",NA,0,NA,NA,NA
"118","Panama","PAN",NA,0,46,5.11111111111111,5.11111111111111
"119","Rwanda","RWA",NA,0,86,9.55555555555556,9.55555555555556
"120","Samoa","WSM",NA,0,63.3,7.03333333333333,7.03333333333333
"121","Sao Tome and Principe","STP",NA,0,70.3,7.81111111111111,7.81111111111111
"122","Saudi Arabia","SAU",NA,0,68.8,7.64444444444444,7.64444444444444
"123","Senegal","SEN",NA,0,74.6,8.28888888888889,8.28888888888889
"124","Sierra Leone","SLE",NA,0,84.4,9.37777777777778,9.37777777777778
"125","Tanzania","TZA",NA,0,78.1,8.67777777777778,8.67777777777778
"126","Togo","TGO",NA,0,85.8,9.53333333333333,9.53333333333333
"127","Turkey","TUR",NA,0,79.1,8.78888888888889,8.78888888888889
"128","Turkmenistan","TKM",NA,0,69.1,7.67777777777778,7.67777777777778
"129","Tuvalu","TUV","High-Institutional and Social Fragility",10,NA,NA,10
"130","Uzbekistan","UZB",NA,0,73.1,8.12222222222222,8.12222222222222
"131","Vanuatu","VUT",NA,0,NA,NA,NA
"132","Australia","AUS",NA,0,19.7,2.18888888888889,2.18888888888889
"133","Austria","AUT",NA,0,24.1,2.67777777777778,2.67777777777778
"134","Belgium","BEL",NA,0,27.1,3.01111111111111,3.01111111111111
"135","Chile","CHL",NA,0,42.5,4.72222222222222,4.72222222222222
"136","Cuba","CUB",NA,0,59.2,6.57777777777778,6.57777777777778
"137","Czech Republic","CZE",NA,0,35.7,3.96666666666667,3.96666666666667
"138","Dominican Republic","DOM",NA,0,64.4,7.15555555555556,7.15555555555556
"139","Estonia","EST",NA,0,38.5,4.27777777777778,4.27777777777778
"140","Iceland","ISL",NA,0,17.8,1.97777777777778,1.97777777777778
"141","India","IND",NA,0,75.3,8.36666666666667,8.36666666666667
"142","Ireland","IRL",NA,0,19.9,2.21111111111111,2.21111111111111
"143","Israel","ISR",NA,0,NA,NA,NA
"144","Italy","ITA",NA,0,42.4,4.71111111111111,4.71111111111111
"145","Japan","JPN",NA,0,32.3,3.58888888888889,3.58888888888889
"146","Jordan","JOR",NA,0,75.4,8.37777777777778,8.37777777777778
"147","Latvia","LVA",NA,0,42.3,4.7,4.7
"148","Liberia","LBR","High-Institutional and Social Fragility",10,90,10,10
"149","Lithuania","LTU",NA,0,36.5,4.05555555555556,4.05555555555556
"150","Netherlands","NLD",NA,0,22.9,2.54444444444444,2.54444444444444
"151","New Zealand","NZL",NA,0,17.9,1.98888888888889,1.98888888888889
"152","North Macedonia","MKD",NA,0,62.1,6.9,6.9
"153","Philippines","PHL",NA,0,81,9,9
"154","Portugal","PRT",NA,0,23.5,2.61111111111111,2.61111111111111
"155","Qatar","QAT",NA,0,43.7,4.85555555555556,4.85555555555556
"156","Saint Kitts and Nevis","KNA",NA,0,NA,NA,NA
"157","Saint Vincent and the Grenadines","VCT",NA,0,NA,NA,NA
"158","Singapore","SGP",NA,0,26.3,2.92222222222222,2.92222222222222
"159","Slovenia","SVN",NA,0,25.8,2.86666666666667,2.86666666666667
"160","Sweden","SWE",NA,0,18.2,2.02222222222222,2.02222222222222
"161","Switzerland","CHE",NA,0,17.1,1.9,1.9
"162","Thailand","THA",NA,0,70.8,7.86666666666667,7.86666666666667
"163","Tonga","TON",NA,0,NA,NA,NA
"164","United States of America","USA",NA,0,38.3,4.25555555555556,4.25555555555556
"165","Uruguay","URY",NA,0,33.4,3.71111111111111,3.71111111111111
"166","Benin","BEN",NA,0,72.5,8.05555555555556,8.05555555555556
"167","Canada","CAN",NA,0,18.7,2.07777777777778,2.07777777777778
"168","Costa Rica","CRI",NA,0,40.2,4.46666666666667,4.46666666666667
"169","Côte d'Ivoire","CIV",NA,0,89.7,9.96666666666667,9.96666666666667
"170","Denmark","DNK",NA,0,17.2,1.91111111111111,1.91111111111111
"171","Eswatini","SWZ",NA,0,83,9.22222222222222,9.22222222222222
"172","Finland","FIN",NA,0,14.6,1.62222222222222,1.62222222222222
"173","Ghana","GHA",NA,0,64.2,7.13333333333333,7.13333333333333
"174","Guinea-Bissau","GNB","High-Institutional and Social Fragility",10,92.9,10,10
"175","Indonesia","IDN",NA,0,67.8,7.53333333333333,7.53333333333333
"176","Jamaica","JAM",NA,0,60,6.66666666666667,6.66666666666667
"177","Korea Republic of","KOR",NA,0,32,3.55555555555556,3.55555555555556
"178","Kyrgyzstan","KGZ",NA,0,73.9,8.21111111111111,8.21111111111111
"179","Lao PDR","LAO","High-Institutional and Social Fragility",10,76.9,8.54444444444444,10
"180","Liechtenstein","LIE",NA,0,NA,NA,NA
"181","Marshall Islands","MHL","High-Institutional and Social Fragility",10,NA,NA,10
"182","Namibia","NAM",NA,0,65.1,7.23333333333333,7.23333333333333
"183","Nepal","NPL",NA,0,82.6,9.17777777777778,9.17777777777778
"184","Norway","NOR",NA,0,16.2,1.8,1.8
"185","Paraguay","PRY",NA,0,65.2,7.24444444444445,7.24444444444445
"186","Russian Federation","RUS",NA,0,72.6,8.06666666666667,8.06666666666667
"187","Slovakia","SVK",NA,0,38.2,4.24444444444445,4.24444444444445
"188","Sri Lanka","LKA",NA,0,81.8,9.08888888888889,9.08888888888889
"189","United Kingdom","GBR",NA,0,38.3,4.25555555555556,4.25555555555556
"190","Viet Nam","VNM",NA,0,63.9,7.1,7.1
