Country,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Economic Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,RISK CLASS
CHL,9.8,5.6,9.1,0,0.3,2.7,6.2,3.9,0,2.7,4.7,1,4.1,0,1.5,8,0.5,0.3,0,1.9,0.7,5.4,3.7,3.2,3.1,3.2,1.5,2.7,2.7,2.3,2.8,3.7,Medium
CHN,7.2,8.4,9.2,8.1,4.6,5.8,7.5,8.9,0,6.2,6.9,3.7,2.8,0,2.6,5.3,0.4,0.6,1.4,1.5,1,3.4,3,2.5,4.9,3.7,2.3,4,3.2,3.2,3.5,4.2,Medium
COL,9.6,6.8,7.9,4.1,1.9,5.4,6.7,8.4,7,7,6.9,3.8,6.2,0.7,3.6,10,0.7,1,0.8,1.4,1,7.8,6.1,3,5.5,4.3,2,3.6,3.3,3,3.7,5.4,High
COM,0.1,0.1,5.5,2.9,0,5.5,2.7,0.3,0,0.2,1.5,7.7,5.1,3.6,6,0,2.8,4.3,10,6.8,7.1,4.4,5.3,7.8,8.1,8,6.3,5.8,5.9,6,7.1,3.8,Medium
COG,0.1,8.6,0,0,1,7,3.9,3.2,0,2.2,3.1,7.1,6.8,0.7,5.4,7.5,5.7,3.2,5,7.3,5.5,6.6,6,x,8,8,5.4,8.1,7,6.8,7.4,5.2,High
COD,4.5,7.5,0,0,1.4,8.3,4.5,10,9,9,7.4,8.9,6.3,2.2,6.6,9.5,5.4,5.9,0.6,10,6.8,8.5,7.7,7.5,8.3,7.9,7.5,9.4,7.1,8,8,7.7,Very High
CRI,9.6,3.3,8.7,1.9,1,4.7,6,0.3,0,0.2,3.6,1.8,4.8,0.3,2.2,7,0.3,0.7,1.2,1.8,1,4.7,3.6,1.5,4.3,2.9,1,2,3.4,2.1,2.5,3.2,Low
CIV,0.1,5.6,4.6,0,1,7.7,3.8,8.8,0,6.2,5.1,8.1,6.3,0.8,5.8,7.1,5.9,4.5,0.1,4.3,4,5.8,5.8,7.8,6.2,7,5.3,7.3,7.2,6.6,6.8,5.9,High
HRV,5.9,6.5,7.7,0,3.5,2,4.8,0.2,0,0.1,2.8,1,1.4,1.1,1.1,1.3,0.1,0.4,5.3,1.8,2.2,1.8,1.5,4.4,4.8,4.6,1.8,0.2,1.8,1.3,3.1,2.4,Low
CUB,5.8,3.6,5.7,8,4.3,5.1,5.6,2.3,0,1.6,3.9,1.6,4.1,1.4,2.2,0,0.3,0.4,0.2,0.7,0.4,0.2,1.3,2.5,5.3,3.9,2.9,1.8,0.5,1.7,2.9,2.4,Low
