Countryname,Country,Status on FCS list,FSI Score,"FCV list normalised
(on FCV list = 10, otherwise = 0). 
Note could use gradient (high conflict = 10, medium conflict = 7, institutional fragility = 10 or 7, otherwise = 0)","FSI score normalised. 
Note: done using a bounded normalisation process (above 90 = 10, below 90 = normalised score)",,"Combined CRM score. 
Note: Calculated as IF FCV_norm = 10 OR FSI_norm = 10 then Final score = 10, otherwise Final Score = FSI_norm"
Yemen,YEM,Medium-Intensity conflict,112.4,10,10,,10
Armenia,ARM,NA,64.2,0,7.133333333,,7.133333333
Cameroon,CMR,Medium-Intensity conflict,97.9,10,10,,10
Colombia,COL,NA,76.6,0,8.511111111,,8.511111111
Congo DR,COD,Medium-Intensity conflict,109.4,10,10,,10
Grenada,GRD,NA,55.2,0,6.133333333,,6.133333333
Guinea,GIN,NA,97.2,0,10,,10
Iran,IRN,NA,83.4,0,9.266666667,,9.266666667
Kenya,KEN,NA,90.3,0,10,,10
Malawi,MWI,NA,84,0,9.333333333,,9.333333333
Mali,MLI,Medium-Intensity conflict,96,10,10,,10
Montenegro,MNE,NA,55.5,0,6.166666667,,6.166666667
Nigeria,NGA,Medium-Intensity conflict,97.3,10,10,,10
Papua New Guinea,PNG,High-Institutional and Social Fragility,82.3,10,9.144444444,,10
Romania,ROU,NA,46.7,0,5.188888889,,5.188888889
South Africa,ZAF,NA,70.1,0,7.788888889,,7.788888889
Tajikistan,TJK,NA,75.5,0,8.388888889,,8.388888889
Zambia,ZMB,NA,84.5,0,9.388888889,,9.388888889
Albania,ALB,NA,58.8,0,6.533333333,,6.533333333
Antigua and Barbuda,ATG,NA,52.1,0,5.788888889,,5.788888889
Argentina,ARG,NA,46.1,0,5.122222222,,5.122222222
Barbados,BRB,NA,46.4,0,5.155555556,,5.155555556
Bolivia,BOL,NA,75,0,8.333333333,,8.333333333
Burkina Faso,BFA,Medium-Intensity conflict,85.9,10,9.544444444,,10
Dominica,DMA,NA,NA,0,NA,,NA
Egypt,EGY,NA,86,0,9.555555556,,9.555555556
El Salvador,SLV,NA,68.9,0,7.655555556,,7.655555556
Eritrea,ERI,High-Institutional and Social Fragility,95.8,10,10,,10
Georgia,GEO,NA,71.2,0,7.911111111,,7.911111111
Guatemala,GTM,NA,79.2,0,8.8,,8.8
Lesotho,LSO,NA,78.3,0,8.7,,8.7
Mauritius,MUS,NA,37.2,0,4.133333333,,4.133333333
