"","Country","S_% of respondents who have stopped working since COVID-19 outbreak","S_% able to access [staple food item] in the past 7 days when needed? - any staple food","S_% of HHs used money saved for emergencies to cover basic living expenses","S_% of respondents received government assistance when experiencing labor income/job loss","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)","S_% of respondents who have stopped working since COVID-19 outbreak_norm","S_% able to access [staple food item] in the past 7 days when needed? - any staple food_norm","S_% of HHs used money saved for emergencies to cover basic living expenses_norm","S_% of respondents received government assistance when experiencing labor income/job loss_norm","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)_norm","S_phone_average_index","S_phone_average_index_norm"
"43","ROU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","SEN",35.9132843017578,NA,NA,NA,NA,7.18265686035156,NA,NA,NA,NA,7.18265686035156,10
"45","SLB",15.2352170944214,95.6436233520508,24.9436130523682,NA,NA,3.04704341888428,2.17818832397461,9.97744522094727,NA,NA,5.06755898793538,7.23936998276483
"46","SLV",NA,95.9936141967773,4.81923151016235,NA,18.3035259246826,NA,2.00319290161133,1.92769260406494,NA,3.66070518493652,2.53053023020426,3.61504318600609
"47","SSD",39.4160614013672,NA,NA,2.03562331199646,82.7212066650391,7.88321228027344,NA,NA,10,10,9.29440409342448,10
"48","STP",38.2455139160156,95.3839874267578,NA,NA,48.5943183898926,7.64910278320312,2.30800628662109,NA,NA,9.71886367797851,6.55865758260091,9.36951083228702
"49","TCD",16.8205413818359,NA,NA,NA,66.7347183227539,3.36410827636719,NA,NA,NA,10,6.68205413818359,9.54579162597656
"50","TJK",NA,NA,20.2324295043945,NA,24.147029876709,NA,NA,8.09297180175781,NA,4.8294059753418,6.4611888885498,9.23026984078543
"51","TUN",NA,NA,7.30365514755249,NA,NA,NA,NA,2.921462059021,NA,NA,2.921462059021,4.17351722717285
"52","UGA",NA,NA,NA,NA,12.8259401321411,NA,NA,NA,NA,2.56518802642822,2.56518802642822,3.66455432346889
"53","UZB",NA,NA,10.8634748458862,NA,NA,NA,NA,4.34538993835449,NA,NA,4.34538993835449,6.20769991193499
"54","VNM",3.36302900314331,NA,NA,17.6574535369873,NA,0.672605800628661,NA,NA,8.31233952840169,NA,4.49247266451518,6.41781809216454
"55","ZMB",26.1418609619141,85.9277038574219,NA,0.953180968761444,39.2712364196777,5.22837219238281,7.03614807128906,NA,10,7.85424728393555,7.52969188690185,10
"56","ZWE",NA,73.3436126708984,4.43070936203003,NA,NA,NA,10,1.77228374481201,NA,NA,5.88614187240601,8.40877410343715
