"","NH_UKMO_Country","NH_UKMO_TOTAL.RISK.NEXT.12.MONTHS","NH_UKMO_TOTAL.RISK.NEXT.6.MONTHS","NH_UKMO_Temperature","NH_UKMO_Rainfall","NH_UKMO_Tropical.Cyclone","NH_UKMO_Temperature..1.Warmer..5.Near.normal.","NH_UKMO_Rainfall..2.Wetter..3.Drier..5.Near.normal.","NH_UKMO_Tropical.Cyclone..5.TC.forecast.","NH_UKMO_INFORM_RISK_Flood","NH_UKMO_INFORM_RISK_Tropical.Cyclone.1","NH_UKMO_INFORM_RISK_Drought","NH_UKMO_INFORM_RISK_Locust..based.on.FAO.forecasts.","NH_INFORM_RISK_UKMO_Vuln","NH_UKMO_INFORM_OCCURENCExRISK12m_Flood","NH_UKMO_INFORM_OCCURENCExRISK12m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK12m_Drought","NH_UKMO_INFORM_OCCURENCExRISK12m_Locust","NH_UKMO_X","NH_UKMO_INFORM_OCCURENCExRISK6m_Flood","NH_UKMO_INFORM_OCCURENCExRISK6m_Tropical.Cyclone","NH_UKMO_INFORM_OCCURENCExRISK6m_Drought","NH_UKMO_INFORM_OCCURENCExRISK6m_Locust","NH_UKMO_INFORM_OCCURENCExRISK6mplusCLIMATE_Flood","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Tropical.Cyclone","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Drought","NH_UKMO_OCCURENCExRISK6mplusCLIMATE_Locust"
"31","CUB",22.4,33.6,"Hot","Dry","TC risk",1,3,4,3.6,8,4.9,0,2.8,10.08,22.4,13.72,0,"0",10.08,22.4,13.72,0,10.08,33.6,20.58,0
"32","CUW",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"33","DMA",25.8,38.8,"Hot","Dry","TC risk",1,3,4,0.1,7.6,0,0,3.4,0.34,25.84,0,0,"0",0,25.84,0,0,0,38.76,0,0
"34","DOM",18.2,27.3,"Hot","Dry","TC risk",1,3,4,4.6,7.9,1,0,2.3,10.58,18.17,2.3,0,"0",10.58,18.17,2.3,0,10.58,27.255,3.45,0
"35","GRD",2.9,4.3,"Hot","Dry","TC risk",1,3,4,0.1,1.7,0.5,0,1.7,0.17,2.89,0.85,0,"0",0,2.89,0,0,0,4.335,0,0
"36","GLP",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"37","HTI",46.1,69.1,"Hot","Dry","TC risk",1,3,4,4.3,7.2,3.9,0,6.4,27.52,46.08,24.96,0,"0",27.52,46.08,24.96,0,27.52,69.12,37.44,0
"38","JAM",17.3,25.9,"Hot","Dry","TC risk",1,3,4,3.1,7.2,2.4,0,2.4,7.44,17.28,5.76,0,"0",0,17.28,0,0,0,25.92,0,0
"39","MTQ",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"40","MSR",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"41","PRI",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"42","BLM",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"43","KNA",10.4,15.5,"Hot","Dry","TC risk",1,3,4,0.1,6.9,0,0,1.5,0.15,10.35,0,0,"0",0,10.35,0,0,0,15.525,0,0
"44","LCA",10.3,15.5,"Hot","Dry","TC risk",1,3,4,0.1,4.7,0.5,0,2.2,0.22,10.34,1.1,0,"0",0,10.34,0,0,0,15.51,0,0
"45","MAF",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"46","VCT",7.3,11,"Hot","Dry","TC risk",1,3,4,0.1,4.3,0.5,0,1.7,0.17,7.31,0.85,0,"0",0,7.31,0,0,0,10.965,0,0
"47","SXM",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"48","TTO",6.7,10.1,"Hot","Dry","TC risk",1,3,4,0.3,2.4,2.3,0,2.8,0.84,6.72,6.44,0,"0",0,6.72,0,0,0,10.08,0,0
"49","TCA",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"50","VGB",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
"51","VIR",16.8,25.2,"Hot","Dry","TC risk",1,3,4,0.1,8.4,0,0,2,0.2,16.8,0,0,"0",0,16.8,0,0,0,25.2,0,0
