Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Bahamas,BHS,7.88,4.75,2.439934991533235,0,2.0107692307692293,0,4.40288,3.6319999999999997,2.0410675320250613,0,3.588516746411483,NA,NA,1,0,0,0,0,4.393920748215605,3.1294014084507076,4,NA,0,0,0,3.428571428571429,10,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,5.44,5.249999999999999,0,0,5.4,0,0.07488000000000028,0.34800000000000075,8.03729852805764,0,3.2296650717703344,NA,NA,1,0,0,1.6952912574299983,0,4.110878661087867,10,5.166666666666666,NA,0,0,0,3.7142857142857135,10,NA,7,NA,NA
Belarus,BLR,6.94,4.5,0.285810885275243,0.45924605799525864,5.319999999999999,0,3.7771600000000003,2.178,5.1846158445270065,0,1.028708133971291,NA,NA,3,0,0,0,0,8.214988924440071,10,2.000000000000001,NA,0,0,0,1.5714285714285712,3.6933333333333342,0,7,NA,NA
Belize,BLZ,7.64,4.5,7.348341061373711,0,1.2338461538461534,0,2.6155600000000003,0.718,1.8003957291713544,0,4.665071770334928,NA,NA,NA,0,10,0,0,6.012183115924196,2.6892605633802926,7.5,NA,0,0,0,5.428571428571428,10,NA,0,NA,NA
Bolivia,BOL,6.840000000000001,7.250000000000001,0,0,6.313846153846153,0,5.18412,7.612,7.090645396094583,0,8.086124401913876,NA,NA,1,0,0,0,0,6.55365493477726,2.6892605633802926,6.166666666666667,NA,0,0,7,6.2857142857142865,10,NA,0,5.779048556373232,5.206835201516569
Brazil,BRA,2.0599999999999996,3.75,0,0,NA,0,9.18628,10,9.861401218623397,10,3.732057416267942,NA,NA,NA,0,4.918946305820007,0,0,5.249200098449425,9.115316901408452,5,0,0,0,0,5,7.539999999999996,10,0,NA,10
Barbados,BRB,7.620000000000001,5,6.666666666674814e-4,6.666666666674814e-4,3.5261538461538464,0,0.33803999999999945,0,2.50215775769688,0,1.8181818181818183,NA,NA,NA,0,NA,0,0,5.4953236524735445,9.291373239436627,4.666666666666667,NA,0,0,0,3.2857142857142847,10,NA,0,NA,NA
Brunei Darussalam,BRN,7.48,2.75,6.666666666674814e-4,6.666666666674814e-4,5.28923076923077,0,0.09144000000000041,0,0,0,1.8181818181818183,NA,NA,3,0,NA,NA,0,0.7635983263598334,1.5008802816901419,2.999999999999999,NA,0,0,7,2.1428571428571432,0,NA,7,NA,NA
Bhutan,BTN,5.940000000000001,5.5,6.666666666674814e-4,6.666666666674814e-4,1.4830769230769238,0,0.9923599999999997,0,0,0,6.985645933014355,NA,NA,5,0,NA,0,0,2.6833620477479716,10,4.166666666666666,NA,0,0,0,7.428571428571429,NA,NA,0,2.0277622767857135,7.0231235193543
Botswana,BWA,7.779999999999999,6.75,0.9372799726592369,0,3.029230769230768,0,10,7.654,7.879098656886205,0,6.937799043062202,NA,NA,3,0,0,0,0,1.61887767659365,1.192781690140853,2.833333333333333,NA,0,0,0,6.428571428571429,NA,NA,7,NA,10
Central African Republic,CAF,8.54,10,6.666666666674814e-4,6.666666666674814e-4,10,0,0,0,2.9286744992526,0,10,10,NA,NA,10,7.476444503351108,8.476558377379803,NA,5.981417671671181,9.687500000000009,3.5,NA,0,0,0,10,NA,NA,0,8.680937267485119,4.451949543066007
Canada,CAN,0,0,0,0,NA,0,0.5012800000000013,0.75,4.048465612555408,0,0.8373205741626784,NA,NA,3,0,NA,0,0,0.4928624169333027,7.31073943661972,5.666666666666667,NA,0,0,0,0.5714285714285712,10,NA,3,NA,NA
Switzerland,CHE,0.6000000000000014,0,0,0,3.9261538461538468,0,0.7804400000000005,0.26399999999999935,4.132358072756036,0,0,NA,NA,1,0,0,0,0,0,0.04841549295774428,2.166666666666667,NA,0,0,7,0.4285714285714288,3.3899999999999997,NA,3,NA,NA
Chile,CHL,2.3400000000000007,2.5,0,0.23105905477062905,0,0,6.18504,10,7.199160866455074,0,3.421052631578947,NA,NA,5,0,0,0,0,0,6.650528169014091,8.666666666666668,0,0,0,7,2.1428571428571432,10,10,3,1.9428061984834226,7.4961552
China,CHN,4.359999999999999,3.5,6.666666666674814e-4,6.666666666674814e-4,NA,0,6.799999999991257e-4,0,0,10,2.918660287081341,NA,NA,NA,0,9.610027952637147,0,0,2.8925670686684732,0,10,0,0,0,0,3.7142857142857135,0.5999999999999996,0,0,NA,7.353602154667435
Côte d'Ivoire,CIV,6.9,9,1.425219079686638,7.692307692307692,6.298461538461538,0,0.08492000000000033,0.02200000000000024,6.334380682773265,0,7.296650717703351,NA,NA,3,0,6.632686408117564,0,0,2.7879645582082224,9.291373239436627,4.666666666666667,0,0,0,7,8.285714285714285,NA,NA,7,NA,4.741453105996509
Cameroon,CMR,7.12,9.25,0,0,8.701538461538462,0,0,0,3.086693339689843,0,8.133971291866029,NA,10,3,10,4.1763195203528936,10,0,5.889121338912136,5.990316901408454,4.333333333333334,0,0,0,0,8.428571428571429,NA,NA,7,NA,6.858170840864997
Congo DR,COD,8.7,10,0.09136991427014252,1.3422862973568996,7.147692307692308,0,0.13039999999999985,0.14400000000000013,8.27628121507556,10,10,10,7,NA,10,7.736253832473198,10,0,10,9.07130281690143,5.833333333333333,0,0,0,0,9.428571428571429,NA,NA,7,10,5.9083074251194745
Congo,COG,9.28,9.25,0.6647906218721662,0,5.095384615384615,0,0.20087999999999973,0.1039999999999992,2.9286744992526,0,10,NA,NA,NA,10,0,10,0,7.581220772827962,9.863556338028182,4.833333333333333,NA,0,0,0,7.714285714285715,NA,NA,0,NA,10
Colombia,COL,5.159999999999999,5.75,0.18500096278174283,0.10902694738428487,1.5538461538461537,0,10,10,4.7359158649934034,0,5.07177033492823,NA,NA,5,0,10,9.256171655313933,0,3.9262859955697778,2.117077464788726,9.5,NA,0,0,7,5.142857142857143,10,10,0,6.537703377859933,10
Comoros,COM,8.56,10,6.666666666674814e-4,6.666666666674814e-4,NA,0,0.30227999999999966,0,0,0,8.229665071770336,NA,NA,NA,10,NA,0,0,NA,NA,2.833333333333333,NA,0,0,0,8.571428571428571,NA,NA,NA,NA,5.293064136378991
