"","Country","M_GDP_2017","M_GDP_2018","M_GDP_2019","M_GDP_2020","M_GDP_2021","M_GDP_2019minus2020"
"100","BEN",5.8,6.7,6.9,3.2,6,-3.7
"101","BWA",2.9,4.5,3.5,-9.1,4.2,-12.6
"102","BFA",6.3,6.8,5.7,2,5.8,-3.7
"103","BDI",0.5,1.6,1.8,1,2.3,-0.8
"104","CPV",3.7,5.1,5.5,-5.5,5,-11
"105","CMR",3.5,4.1,3.9,-0.2,3.4,-4.1
"106","CAF",4.5,3.7,3.1,0.8,3.5,-2.3
"107","TCD",-3,2.6,3.2,-0.2,4.7,-3.4
"108","COM",3.8,3.4,1.9,-1.4,3.2,-3.3
"109","COD",3.7,5.8,4.4,-2.2,3.5,-6.6
"110","COG",-1.8,1.6,-0.9,-6.2,-1.1,-5.3
"111","CIV",7.4,6.8,6.9,2.7,8.7,-4.2
"112","GNQ",-4.7,-6.1,-6.2,-8.4,-1.6,-2.2
"113","ERI",-10,13,3.7,-0.7,5.7,-4.4
"114","SWZ",2,2.4,1.3,-2.8,2.7,-4.1
"115","ETH",10,7.9,9,3.2,3.6,-5.8
"116","GAB",0.5,0.8,3.3,-3.2,-2.6,-6.5
"117","GMB",4.8,6.6,6,2.5,6.5,-3.5
"118","GHA",8.1,6.3,6.5,1.5,3.4,-5
"119","GIN",10.3,6.2,5.6,2.1,7.9,-3.5
"120","GNB",5.9,3.8,4.7,-1.6,3.1,-6.3
"121","KEN",4.8,6.3,5.4,1.5,5.2,-3.9
"122","LSO",-0.4,1.5,1.4,-5.1,5.5,-6.5
"123","LBR",2.5,1.2,-2.3,-2.6,4,-0.3
"124","MDG",3.9,4.6,4.8,-1.2,4,-6
"125","MWI",4,3.5,4.4,2,3.5,-2.4
"126","MLI",5.3,4.7,5.1,0.9,4,-4.2
"127","MRT",3,3.6,6.3,-2,4.2,-8.3
"128","MUS",3.8,3.7,3.6,-6.8,6.4,-10.4
"129","MOZ",3.7,3.4,2.2,1.3,3.6,-0.9
"130","NAM",-0.3,0.7,-1.1,-4.8,3,-3.7
"131","NER",4.9,6.5,6.3,1,8.1,-5.3
"132","NGA",0.8,1.9,2.2,-3.2,1.7,-5.4
"133","RWA",6.1,8.6,9.4,2,6.9,-7.4
"134","STP",3.9,2.7,2.4,-9.5,6.1,-11.9
"135","SEN",7.4,6.4,5.3,1.3,4,-4
"136","SYC",4.3,4.1,3.8,-11.1,6.3,-14.9
"137","SLE",3.8,3.5,5.1,-2.3,4,-7.4
"138","ZAF",1.4,0.8,0.2,-7.1,2.9,-7.3
"139","SSD",-6.9,-3.5,3.2,-4.3,-23.6,-7.5
"140","SDN",4.3,-2.3,-2.6,-4,0.5,-1.4
"141","TZA",6.8,5.4,5.8,2.5,5.5,-3.3
"142","TGO",4.4,4.9,5.3,1,4,-4.3
"143","UGA",3.9,6.2,6.5,3.3,3.7,-3.2
"144","ZMB",3.4,4,1.7,-0.8,2.4,-2.5
"145","ZWE",4.7,3.5,-8.1,-10,2.9,-1.9
