"","Country","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020-2019"
"70","Kenya","-7.856","-7.365","-7.8","-7.7","-6.9","0.1"
"71","Kiribati","11.638","-1.148","8.8","-18.7","1.0","-27.5"
"72","Kosovo","-1.356","-2.859","-2.8","-4.8","-2.7","-2.0"
"73","Kuwait","6.266","9.045","4.8","-11.3","-14.1","-16.1"
"74","Kyrgyz Republic","-3.733","-0.59","-0.1","-9.6","-6.4","-9.5"
"75","Lao P.D.R.","-5.487","-4.663","-5.1","-6.2","-5.5","-1.1"
"76","Lebanon","-8.636","-11.287","-10.7","-15.3","n/a","-4.6"
"77","Lesotho","-4.034","-4.444","-3.8","-2.0","-7.0","1.8"
"78","Liberia","-4.792","-5.099","-5.4","-5.2","-4.1","0.1"
"79","Libya","-43.464","-0.194","8.8","-7.2","-19.1","-16.0"
"80","Madagascar","-2.103","-1.329","-1.4","-4.0","-4.8","-2.6"
"81","Malawi","-7.326","-5.503","-6.4","-6.3","-5.2","0.1"
"82","Malaysia","-2.413","-3.308","-3.2","-4.2","-3.6","-1.0"
"83","Maldives","-6.344","-5.232","-5.6","-12.0","-6.4","-6.4"
"84","Mali","-2.862","-4.77","-1.7","-5.8","-3.3","-4.1"
"85","Marshall Islands","4.393","2.538","2.0","0.3","-0.3","-1.6"
"86","Mauritania","0.534","3.421","2.8","-2.6","-0.2","-5.4"
"87","Mauritius","-1.421","-2.344","-6.5","-10.6","-5.9","-4.1"
"88","Mexico","-1.064","-2.201","-2.3","-4.2","-2.2","-1.9"
"89","Micronesia","14.241","24.986","16.4","5.7","5.2","-10.8"
"90","Moldova","-0.807","-1.057","-1.5","-5.5","-3.3","-4.0"
"91","Mongolia","-3.784","2.93","1.3","-5.3","-3.8","-6.6"
"92","Montenegro","-6.914","-6.541","-3.6","-10.8","-2.8","-7.3"
"93","Morocco","-3.493","-3.736","-4.1","-7.1","-4.5","-3.0"
"94","Mozambique","-2.923","-6.906","-0.2","-7.7","-6.1","-7.6"
"95","Myanmar","-2.739","-3.013","-3.5","-4.7","-4.6","-1.2"
"96","Namibia","-5","-5.314","-4.7","-7.0","-7.2","-2.3"
"97","Nauru","21.385","32.485","16.1","5.3","2.5","-10.8"
"98","Nepal","-3.094","-6.651","-4.6","-6.0","-5.0","-1.4"
"99","Nicaragua","-1.576","-3.192","-0.4","-4.4","-5.2","-4.0"
"100","Niger","-4.122","-3.005","-3.6","-4.2","-3.3","-0.6"
"101","Nigeria","-5.4","-4.306","-5.0","-6.4","-5.8","-1.4"
"102","North Macedonia","-2.74","-1.763","-2.0","-6.5","-3.1","-4.6"
"103","Oman","-13.959","-7.944","-7.0","-16.9","-14.8","-10.0"
"104","Pakistan","-5.759","-6.422","-8.8","-9.2","-6.5","-0.3"
"105","Palau","4.852","6.116","1.9","-5.0","-2.5","-6.9"
"106","Panama","-2.163","-3.185","-3.1","-6.2","-2.5","-3.1"
"107","Papua New Guinea","-2.475","-2.588","-4.1","-5.0","-3.9","-0.8"
"108","Paraguay","-0.882","-1.65","-3.9","-5.1","-3.7","-1.2"
"109","Peru","-2.935","-2.001","-1.4","-7.1","-2.6","-5.7"
