"","Country","M_Fuel_Imports_perc","M_Food_Imports_perc","M_Travel_Tourism_perc","M_Remittance_perc","M_Reserves","M_ODA_perc","M_Gsavings_perc"
"104","IDB",5,4,NA,3,1.3,NA,4
"105","IDN",4,4,3,0,1,0,2.8
"106","IDX",NA,NA,NA,3,0.9,NA,3.4
"107","IMN",NA,NA,NA,NA,NA,NA,NA
"108","IND",6,0,3,0,1.2,0,2.6
"109","INX",NA,NA,NA,NA,NA,NA,NA
"110","IRL",3,3,3,0,0,NA,2.3
"111","IRN",NA,NA,3,0,NA,NA,NA
"112","IRQ",NA,NA,3,0,1.7,NA,4.6
"113","ISL",4,3,6,0,1.3,NA,3.5
"114","ISR",4,3,3,0,1.6,NA,3.3
"115","ITA",4,3,4,0,0.4,NA,3.8
"116","JAM",NA,NA,6,4,0.8,0,3.7
"117","JOR",5,4,5,4,1.2,5,4.8
"118","JPN",5,3,3,0,2.4,NA,3.1
"119","KAZ",3,4,3,0,1,0,3.4
"120","KEN",4,4,3,0,0.8,4,4.7
"121","KGZ",4,4,0,6,0.7,5,3.6
"122","KHM",NA,NA,6,3,0.8,5,3.8
"123","KIR",NA,NA,5,3,NA,8,NA
"124","KNA",NA,NA,5,0,0.9,NA,NA
"125","KOR",5,3,0,0,1.2,NA,2.2
"126","KWT",0,4,3,0,1.1,NA,2.8
"127","LAC",4,3,NA,0,1.7,NA,4.2
"128","LAO",NA,NA,4,0,0.2,NA,4.1
"129","LBN",5,4,4,4,2.7,3,5.7
"130","LBR",NA,NA,NA,4,0.6,NA,10
"131","LBY",NA,NA,3,NA,10,NA,NA
"132","LCA",NA,NA,7,0,0.5,0,4.9
"133","LCN",4,3,NA,0,1.6,NA,4.2
"134","LDC",NA,NA,NA,0,1,NA,3.3
"135","LIC",NA,NA,NA,3,1,NA,NA
"136","LIE",NA,NA,NA,NA,NA,NA,NA
"137","LKA",NA,NA,4,3,0.4,0,3.2
"138","LMC",5,3,NA,0,1.1,NA,3.1
"139","LMY",4,3,NA,0,2,NA,2.8
"140","LSO",NA,NA,4,5,0.7,4,3.4
"141","LTE",4,3,NA,0,2.1,NA,2.5
"142","LTU",4,4,0,0,0.1,NA,4
"143","LUX",3,4,0,0,0,NA,3.9
"144","LVA",4,4,3,0,0.3,NA,3.6
"145","MAC",NA,NA,8,0,1.4,NA,0.8
"146","MAF",NA,NA,NA,NA,NA,NA,NA
"147","MAR",4,4,4,3,0.9,3,3
"148","MCO",NA,NA,NA,NA,NA,NA,NA
"149","MDA",4,4,0,4,0.8,3,4
"150","MDG",4,4,4,0,0.5,8,4.3
"151","MDV",4,4,8,0,0.2,NA,NA
"152","MEA",3,4,NA,0,3.7,NA,NA
"153","MEX",4,3,4,0,0.7,0,3.6
