"","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm"
"46","CUB",35.2,10,35.2,0,88,128,11,40,46,95,220,0,Inf,250.531914893617,10,10
"47","CYP",43,10,43,0,20,32,37,12,62,24,53,0.409919028340081,Inf,139.080459770115,10,9.272030651341
"48","CZE",52,0,52,0,395,533,50,138,35,421,800,0.738866396761132,-52,12.2362869198312,0,0.815752461322083
"49","DNK",70.4,0,70.4,0,621,717,124,96,16,640,969,2.61133603238866,50,175,3.33333333333333,10
"50","DJI",23.2,10,23.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-50,266.666666666667,0,10
"51","DMA",24,10,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","DOM",38.3,10,38.3,0,1438,2722,253,1284,89,1857,4422,5.87550607287449,34.6733668341709,-28.9806996381182,2.31155778894473,0
"53","ECU",50.1,0,50.1,0,6065,7464,430,1399,23,6222,10502,10,-27.5330396475771,12.4980544747082,0,0.833203631647212
"54","EGY",39.9,10,39.9,0,5141,5905,59,764,15,5271,7095,0.9665991902834,-47.3413379073757,-71.7245240761478,0,0
"55","SLV",44.2,10,44.2,0,NA,NA,NA,NA,NA,NA,NA,NA,1.39860139860141,0.48718874052689,0.0932400932400945,0.0324792493684605
"56","GNQ",16.2,10,16.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-100,-100,0,0
"57","ERI",22.4,10,22.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.5714285714286,NA,0
"58","EST",57,0,57,0,63,71,54,8,13,68,80,0.840080971659919,NA,119.607843137255,NA,7.97385620915033
"59","SWZ",31.1,10,31.1,0,NA,NA,NA,NA,NA,NA,NA,NA,18.1818181818182,6.34595701125894,1.21212121212121,0.423063800750596
"60","ETH",40.6,10,40.6,0,NA,NA,NA,NA,NA,NA,NA,NA,85.9504132231405,23.0795300497063,5.73002754820937,1.53863533664708
"61","FJI",25.7,10,25.7,0,NA,NA,NA,NA,NA,NA,NA,NA,-100,-100,0,0
"62","FIN",68.7,0,68.7,0,333,373,68,40,12,340,484,1.19433198380567,300,121.6,10,8.10666666666667
"63","FRA",68.2,0,68.2,0,30410,31299,467,889,3,30445,35773,10,27.4336283185841,108.395620989052,1.82890855457227,7.2263747326035
"64","GAB",20,10,20,0,NA,NA,NA,NA,NA,NA,NA,NA,-75,-42.9276315789474,0,0
"65","GMB",34.2,10,34.2,0,NA,NA,NA,NA,NA,NA,NA,NA,800,194.074074074074,10,10
"66","GEO",52,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,-100,4.89510489510489,0,0.326340326340327
"67","DEU",66,0,66,0,9235,10209,123,974,11,9325,12931,2.58603238866397,57.8947368421053,63.0003606202669,3.85964912280702,4.20002404135112
"68","GHA",35.5,10,35.5,0,NA,NA,NA,NA,NA,NA,NA,NA,32.4324324324324,-47.7998794454491,2.16216216216216,0
"69","GRC",53.8,0,53.8,0,226,432,40,206,91,279,768,0.48582995951417,66.6666666666667,275.993377483444,4.44444444444445,10
"70","GRD",27.5,10,27.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0
"71","GTM",32.7,10,32.7,0,NA,NA,NA,NA,NA,NA,NA,NA,-22.3529411764706,-12.3908170364072,0,0
"72","GIN",32.7,10,32.7,0,NA,NA,NA,NA,NA,NA,NA,NA,-42.8571428571429,24.2130750605327,0,1.61420500403551
"73","GNB",20,10,20,0,NA,NA,NA,NA,NA,NA,NA,NA,Inf,151.851851851852,10,10
"74","GUY",31.7,10,31.7,0,NA,NA,NA,NA,NA,NA,NA,NA,100,136.893203883495,6.66666666666667,9.12621359223301
"75","HTI",31.5,10,31.5,0,NA,NA,NA,NA,NA,NA,NA,NA,63.1578947368421,-12.5301204819277,4.21052631578947,0
"76","HND",27.6,10,27.6,0,1567,2663,273,1096,70,1920,4221,6.38157894736842,-58.2809224318658,-26.2636473918318,0,0
"77","HUN",54,0,54,0,607,692,71,85,14,615,902,1.27024291497976,900,66.3507109004739,10,4.42338072669826
"78","ISL",46.3,10,46.3,0,10,13,38,3,29,10,19,0.435222672064777,NA,92.7272727272727,NA,6.18181818181818
"79","IND",46.5,10,46.5,0,49980,123499,90,73519,147,81786,175644,1.75101214574899,19.6056124383769,24.6401378685346,1.30704082922513,1.64267585790231
"80","IDN",56.6,0,56.6,0,6071,10732,40,4661,77,7717,17718,0.48582995951417,-25.4035683942226,9.89063622575238,0,0.659375748383493
"81","IRN",37.7,10,37.7,0,19492,27856,336,8364,43,22577,37846,7.97570850202429,-16.4169164169164,-2.35588687190577,0,0
"82","IRQ",25.8,10,25.8,0,NA,NA,NA,NA,NA,NA,NA,NA,-12.0287253141831,25.7510141431861,0,1.7167342762124
"83","IRL",59,0,59,0,1774,1857,379,83,5,1785,2099,9.06376518218623,9.99999999999999,201.392757660167,0.666666666666666,10
"84","ISR",47.3,10,47.3,0,674,1551,182,877,130,954,2898,4.07894736842105,16.6666666666667,-12.4705471681648,1.11111111111111,0
"85","ITA",56.2,0,56.2,0,35392,36198,600,806,2,35417,38885,10,136.538461538462,55.033185840708,9.1025641025641,3.6688790560472
"86","JAM",29,10,29,0,NA,NA,NA,NA,NA,NA,NA,NA,Inf,82.5688073394495,10,5.5045871559633
"87","JPN",59.8,0,59.8,0,1093,1832,14,739,68,1145,4329,0,212,62.8901127720954,10,4.19267418480636
"88","JOR",42.1,10,42.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-825,NA,0
"89","KAZ",40.7,10,40.7,0,NA,NA,NA,NA,NA,NA,NA,NA,47.7678571428571,-7.74730470966522,3.18452380952381,0
"90","KEN",47.1,10,47.1,0,NA,NA,NA,NA,NA,NA,NA,NA,-22.3021582733813,-1.47451526761871,0,0
"91","KIR",19.2,10,19.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","KWT",46.1,10,46.1,0,498,768,182,270,54,541,1359,4.07894736842105,-2.17391304347825,-3.45271535580526,0,0
"93","KGZ",49.3,10,49.3,0,NA,NA,NA,NA,NA,NA,NA,NA,-78.8177339901478,-49.5729851771866,0,0
"94","LAO",43.1,10,43.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0
"95","LVA",62.9,0,62.9,0,32,39,20,7,22,33,52,0,-100,57.1428571428571,0,3.80952380952381
"96","LBN",43.1,10,43.1,0,NA,NA,NA,NA,NA,NA,NA,NA,71.4285714285714,89.8721227621484,4.76190476190476,5.99147485080989
"97","LSO",30.2,10,30.2,0,NA,NA,NA,NA,NA,NA,NA,NA,37.5,-41.399416909621,2.5,0
"98","LBR",35.1,10,35.1,0,NA,NA,NA,NA,NA,NA,NA,NA,40,-32.6732673267327,2.66666666666667,0
"99","LBY",25.7,10,25.7,0,NA,NA,NA,NA,NA,NA,NA,NA,173.076923076923,124.972677595628,10,8.33151183970856
"100","LIE",43.5,10,43.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3333333333333,NA,2.22222222222222
"101","LTU",55,0,55,0,81,95,34,14,18,84,126,0.334008097165992,Inf,64.6067415730337,10,4.30711610486891
"102","LUX",43.8,10,43.8,0,123,181,294,58,47,139,273,6.91295546558704,200,-42.1461897356143,10,0
"103","MDG",40.1,10,40.1,0,NA,NA,NA,NA,NA,NA,NA,NA,13.4615384615385,-44.5976491862568,0.897435897435896,0
"104","MWI",28,10,28,0,NA,NA,NA,NA,NA,NA,NA,NA,-39.344262295082,-34.3236903831118,0,0
"105","MYS",62.2,0,62.2,0,125,141,4,16,13,129,157,0,-100,-14.027149321267,0,0
"106","MDV",33.8,10,33.8,0,NA,NA,NA,NA,NA,NA,NA,NA,150,69.774288518155,10,4.65161923454367
"107","MLI",29,10,29,0,NA,NA,NA,NA,NA,NA,NA,NA,-66.6666666666667,25.3968253968254,0,1.69312169312169
"108","MLT",37.3,10,37.3,0,9,12,24,3,30,10,15,0.0809716599190278,NA,466.279069767442,NA,10
"109","MHL",18.2,10,18.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","MRT",27.5,10,27.5,0,NA,NA,NA,NA,NA,NA,NA,NA,-100,-63.8888888888889,0,0
"111","MUS",34.9,10,34.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0
