Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
CAN,0,4.048465612555408,0,0,0.5423200000000001,0.6059999999999999,NA,0,0,0,75.3,0.463858661836217,-33.731001313489436,-38.101618171913756,13.558,0.303,NA,2,0,0
CHE,0.6000000000000014,4.132358072756036,0,1.1768829093669861,1.06236,0.13199999999999967,3.9261538461538468,0,0,0,67,0.469475243909889,-41.650490821363206,17.653243640504794,26.559,0.066,54.48,1.9,0,0
CHL,2.3400000000000007,7.199160866455074,0,0,5.289160000000001,10,0,2.5,0,0,58.3,0.674797027934152,-7.125147716477046,-42.84479106579243,132.229,5.784,87.55,3,0,0
CHN,4.359999999999999,0,6.666666666674814e-4,6.666666666674814e-4,8.000000000016882e-4,0,NA,3.5,10,0,48.2,0.036349206349211,0.01,0.01,0.02,0,NA,3.4,10,0
CIV,6.9,6.334380682773265,0,2.6190029083747444,0.04591999999999885,0.03200000000000003,6.058461538461539,9,0,0,35.5,0.616900181593988,-23.076923076923077,39.28504362562117,1.148,0.016,40.62,5.6,0,0
CMR,7.12,3.086693339689843,0,0.04238072705577345,0,0,8.701538461538462,9.25,0,0,34.4,0.399468216093977,-56.865945725362174,0.6357109058366048,0,0,23.44,5.7,0,0
COD,8.7,8.27628121507556,0,0,0.12491999999999948,0.06400000000000006,7.147692307692308,10,10,0,26.5,0.746910002411016,-1.431815937592574,-16.478318002628125,3.123,0.032,33.54,6.8,10,0
COG,9.28,2.9286744992526,0,0,0.09836000000000134,0.0519999999999996,5.336923076923076,9.25,0,0,23.6,0.388888888888889,-56.97062319578875,-9.7631028109312,2.459,0.026,45.31,5.7,0,0
COL,5.159999999999999,4.7359158649934034,0,0,10,10,1.5538461538461537,5.75,0,0,44.2,0.509883307616669,-23.017163765413258,-25.21691574940499,340.072,7.959,69.9,4.3,0,0
COM,8.56,0,6.666666666674814e-4,6.666666666674814e-4,0.24971999999999994,0,NA,10,0,0,27.2,0.0590476190476147,0.01,0.01,6.243,0,NA,6,0,0
CPV,8.14,3.612880095641139,0,0,2.78528,0.5139999999999993,3.1569230769230767,6.25,0,0,29.3,0.434696305648294,-67.68871555395904,-13.07283449441911,69.632,0.257,59.48,4.5,0,0
CRI,4.98,7.382363709398087,0,0,10,4.88,3.4461538461538455,3.5,0,0,45.1,0.687062418662457,-48.223797050161714,-15.833516467155398,260.132,2.44,57.6,3.4,0,0
CUB,6.959999999999999,5.439730491532212,6.488206327434623,8.184869518002158,10,4.692,1.7707692307692309,3.5,0,0,35.2,0.557003544705347,97.32309491151935,122.77304277003238,431.903,2.346,68.49,3.4,0,0
CYP,5.3999999999999995,7.117698112223462,6.666666666674814e-4,6.666666666674814e-4,10,0.3219999999999992,3.333846153846154,3.25,0,0,43,0.669343114149826,0.01,0.01,1005.464,0.161,58.33,3.3,0,0
CZE,3.5999999999999996,10,0,2.8741919443063146,0.7555600000000009,0.5600000000000005,4.295384615384616,3.5,0,0,52,1,-48.48553588271112,43.11287916459472,18.889,0.28,52.08,3.4,0,0
DEU,0.7999999999999989,4.389309674192852,0,0,0.358880000000001,0.6880000000000006,1.7307692307692317,0.5,0,0,66,0.486678098075567,-49.32006342664649,-10.085889184877844,8.972,0.344,68.75,2.2,0,0
DJI,9.36,2.3158793087217084,0,0,0.05784000000000056,0,5.481538461538462,8.75,0,0,23.2,0.347862383363396,-100,-42.014352738274454,1.446,0,44.37,5.5,0,0
DMA,9.2,0.6100284051331872,NA,NA,0.23812000000000033,0,5.576923076923077,5.5,0,0,24,0.233656034157048,NA,NA,5.953,0,43.75,4.2,0,0
DNK,0,3.564452771041399,0,8.222848495374715,3.9442000000000013,0.09800000000000075,4.166153846153846,0.25,10,0,70.4,0.431454106735873,-7.6160203432930675,123.34272743062071,98.605,0.049,52.92,2.1,10,0
DOM,6.340000000000001,4.956583433431737,0.36038623066154507,0,2.4963200000000008,0.9220000000000006,2.292307692307693,5.75,0,0,38.3,0.524656953617365,5.4057934599231885,-23.780318355985017,62.408,0.461,65.1,4.3,0,0
