Country,F_Proteus_Score_norm,F_fews_crm_norm,F_fpv_rating,F_fao_wfp_warning,F_Proteus_Score_raw,F_fshighrisk_raw,F_fpv_raw,F_fao_wfp_warning_raw
LBN,3.3732057416267933,NA,NA,10,0.299,NA,NA,10
LBR,9.736842105263158,NA,NA,10,0.565,NA,NA,10
LBY,3.421052631578947,NA,NA,NA,0.301,NA,NA,NA
LCA,NA,NA,1,NA,NA,NA,-0.01,NA
LIE,NA,NA,NA,NA,NA,NA,NA,NA
LKA,5.669856459330144,NA,NA,NA,0.395,NA,NA,NA
LSO,8.755980861244021,NA,5,NA,0.524,NA,0.11,NA
LTU,2.2727272727272734,NA,3,NA,0.253,NA,0.03,NA
LUX,0,NA,3,NA,0.091,NA,0.03,NA
LVA,0.9330143540669855,NA,1,NA,0.197,NA,0.01,NA
MAR,3.492822966507177,NA,NA,NA,0.304,NA,NA,NA
MDA,4.593301435406698,NA,5,NA,0.35,NA,0.09,NA
MDG,10,7,3,10,0.635,Not high risk,0.04,10
MDV,2.918660287081341,NA,NA,NA,0.28,NA,NA,NA
MEX,3.2296650717703344,NA,5,NA,0.293,NA,0.07,NA
MHL,NA,NA,NA,NA,NA,NA,NA,NA
MKD,3.6124401913875595,NA,5,NA,0.309,NA,0.06,NA
MLI,8.229665071770336,7,NA,10,0.502,Not high risk,NA,10
MLT,0,NA,NA,NA,0.158,NA,NA,NA
MMR,7.081339712918661,NA,1,NA,0.454,NA,0.02,NA
MNE,1.1722488038277508,NA,1,NA,0.207,NA,0.02,NA
MNG,7.2009569377990434,NA,3,NA,0.459,NA,0.05,NA
MOZ,10,10,5,10,0.592,High risk,0.07,10
MRT,8.133971291866029,7,NA,NA,0.498,Not high risk,NA,NA
MUS,1.794258373205741,NA,3,NA,0.233,NA,0.03,NA
MWI,10,5,NA,NA,0.577,Not high risk,NA,NA
MYS,2.3444976076555024,NA,NA,NA,0.256,NA,NA,NA
NAM,9.282296650717706,NA,3,NA,0.546,NA,0.05,NA
NER,10,7,NA,10,0.606,Not high risk,NA,10
NGA,8.492822966507179,8,5,10,0.513,Not high risk,0.15,10
NIC,6.794258373205742,NA,3,NA,0.442,NA,0.04,NA
NLD,0,NA,3,NA,0.155,NA,0.03,NA
NOR,0,NA,3,NA,0.149,NA,0.03,NA
NPL,9.043062200956939,NA,3,NA,0.536,NA,0.05,NA
