Emerging_Health,Emerging_Food Security,Emerging_Socioeconomic Vulnerability,Emerging_Macro Fiscal,Emerging_Natural Hazard,Emerging_Conflict and Fragility,Emerging_Number of Emerging Threat Flags,Underlying_Health,Underlying_Food Security,Underlying_Maco Fiscal,Underlying_Socioeconomic Vulnerability,Underlying_Natural Hazard,Underlying_Conflict and Fragility,Overall_Health,Overall_Food Security,Overall_Macro Fiscal,Overall_Socioeconomic Vulnerability,Overall_Natural Hazard,Overall_Conflict and Fragility,Overall_Number of Overall Alert Flags,Underlying_Indicator Reliability,Emerging_Indicator Reliability
6.86351125409783,NA,7,3.70158450704228,0,6.42277319030563,0.5,8.86,3.42105263157895,9.99938469111494,4.14285714285714,4.5,10,7.798122191355222,NA,6.083877665813706,5.385164807134502,0,8.014220604840892,3,0,0.4
6.15040924089792,10,10,3.26144366197185,5,10,3,9.5,10,10,8.42857142857143,5.33333333333333,10,7.6438791060907185,10,5.710905061346976,9.18072515031979,5.163977794943221,10,5,0,0.2
7.43538461538462,10,7,6.6505281690141,7,10,3.5,10,10,6.87976864385922,10,9.5,10,8.62286762938213,10,6.764177345567284,8.366600265340756,8.154753215150045,10,5.5,0,0.1
4.64393497955025,10,7,4.8899647887324,0,10,2.5,10,10,6.92284026581344,10,8,10,6.814642308698417,10,5.818285412202342,8.366600265340756,0,10,4,0,0.1
6.93846153846154,10,7,4.18573943661971,7,10,3,10,10,4.72003445729757,10,5.83333333333333,10,8.329742816234809,10,4.444866068861282,8.366600265340756,6.390096504226936,10,4.5,0,0.2
5.41810250309967,1,9.06666666666667,8.63116197183098,0,0,1,9.28,2.96650717703349,7.27971941914842,3.57142857142857,6.16666666666667,0,7.0908385420036835,1.722355125121846,7.926691454582635,5.690426379538916,0,0,2.5,0,0.2
5.88536105416818,10,8.18408448355538,6.43045774647888,7,10,3,9.75,10,9.68557715973419,8.85714285714286,5.66666666666667,0,7.575108598438688,10,7.891938587947301,8.513965317393314,6.298147875897063,0,4.5,0,0
5.77061281038241,1,0,8.85123239436621,0,10,1.5,8.84,5.90909090909091,8.94105340881123,5.71428571428571,7.66666666666667,10,7.142283755479091,2.4308621740219887,8.896029539734476,0,0,10,3,0,0.3
6.70281586511475,10,10,NA,5,10,3,10,10,NA,10,5,10,8.187072654566313,10,NA,10,5,10,4.5,0,0.2
8.38153846153846,10,8.68093726748512,9.68750000000001,0,8.4765583773798,3,10,10,5.98141767167118,10,3.5,10,9.155074255044827,10,7.612160251486737,9.317154752114575,0,9.206822675266316,5,0,0.3
7.82,7,10,7.31073943661973,7,10,4,10,10,6.17831651489048,10,5.33333333333333,10,8.843076387773658,8.366600265340756,6.720718875040735,10,6.110100926607785,10,5,0,0.3
10,1,10,10,0,5,3,3.75,1.2200956937799,2.99716957912872,1.57142857142857,6.33333333333333,0,6.123724356957945,1.104579419408084,5.47464115639438,3.9641248358604577,0,0,1,0,0.3
10,10,0,9.95158450704226,10,3.94470644022317,3.5,7.5,3.37320574162679,10,5.57142857142857,7,10,8.660254037844387,5.8079305622801565,9.975762881625775,0,8.366600265340756,6.280689803057599,4,0,0.3
10,NA,NA,NA,0,0,1,7.24,2.91866028708134,NA,3.14285714285714,3.66666666666667,0,8.508818954473059,NA,NA,NA,0,0,1,0,0.6
10,7,7,0,0,0,2,9.5,8.13397129186603,7.11973910903274,8.28571428571428,7.66666666666667,0,9.746794344808963,7.545713951844598,0,7.615773105863905,0,0,3,0,0.3
