Countryname,Country,Underlying_Health_Global Health Security Index,Underlying_Health_INFORM Rating,"Emerging_Health_Covid Growth, Cases (biweekly)","Emerging_Health_Covid Growth, Deaths (biweekly)",Emerging_Health_Oxford Gov Response Index,Emerging_Health_ACAPS Health Crisis Tracker,Emerging_Health_New Covid Cases per 1M,Emerging_Health_New Covid Deaths per 1M,Emerging_Health_Oxford Lockdown Rollback Index,Emerging_Health_WHO Disease Outbreak News,Underlying_Food Security_Proteus Composite Index,Emerging_Food Security_FAO WFP Warning,Emerging_Food Security_FEWS NET Score,Emerging_Food Security_Food Price Inflation (Secondary Indicator),Underlying_Conflict and Fragility_FCS,Emerging_Conflict and Fragility_Political Fatalities,Emerging_Conflict and Fragility_Forcibly Displaced People,Emerging_Conflict and Fragility_Political Disturbance,Underlying_Macro Fiscal_Operational Risk Score,Emerging_Macro Fiscal_Operational Risk Score,Underlying_Natural Hazard_INFORM Natural Multi-hazard Rating,Emerging_Natural Hazard_GDACS Live Hazard Tracker,Emerging_Natural Hazard_Locust Threat Level,Emerging_Natural Hazard_INFORM Severity,Emerging_Natural Hazard_Seasonal Forecast Index,Underlying_Socioeconomic Vulnerability_INFORM Socio-economic Vulnerability Index,"Emerging_Socioeconomic Vulnerability_Unemployment Rate, % Change",Emerging_Socioeconomic Vulnerability_MFRI Household Level Risk,Emerging_Socioeconomic Vulnerability_Income Support,Emerging_Socioeconomic Vulnerability_COVID Phone Survey Index,"Emerging_Socioeconomic Vulnerability_People Below $1.90 Poverty Line, % Change"
Bahamas,BHS,7.88,4.75,0.8523008823006535,0,1.2092307692307696,0,3.2840000000000007,2.9060000000000006,2.0410675320250613,0,3.588516746411483,NA,NA,1,0,NA,0,0,4.393920748215605,3.1294014084507076,4,NA,0,0,0,3.428571428571429,10,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,5.44,5.249999999999999,0,0,4.92,0,1.29584,8.534,8.03729852805764,0,3.2296650717703344,NA,NA,1,0,0,1.6952912574299983,0,4.110878661087867,10,5.166666666666666,NA,0,0,0,3.7142857142857135,10,NA,7,NA,NA
Belarus,BLR,6.94,4.5,1.6128526821967721,0.0480529489097421,5.906153846153846,0,5.23516,2.0860000000000003,5.1846158445270065,0,1.028708133971291,NA,NA,3,0,0,0,0,8.214988924440071,10,2.000000000000001,NA,0,0,0,1.5714285714285712,3.6933333333333342,0,7,NA,NA
Belize,BLZ,7.64,4.5,6.666666666674814e-4,6.666666666674814e-4,1.7953846153846147,0,0.4024000000000001,0,1.8003957291713544,0,4.665071770334928,NA,NA,NA,0,0.7113203107373387,0,0,6.012183115924196,2.6892605633802926,7.5,NA,0,0,0,5.428571428571428,10,NA,0,NA,NA
Bolivia,BOL,6.840000000000001,7.250000000000001,3.833015206559182,7.488643381596103,6.313846153846153,0,10,10,7.090645396094583,0,8.086124401913876,NA,NA,1,0,0,0,0,6.55365493477726,2.6892605633802926,6.166666666666667,NA,0,0,0,6.2857142857142865,10,NA,0,5.779048556373232,5.206835201516569
Brazil,BRA,2.0599999999999996,3.75,0.19680118507121236,0,NA,0,10,10,9.861401218623397,10,3.732057416267942,NA,NA,NA,0,3.424724949071944,0,0,5.249200098449425,9.115316901408452,5,0,0,0,0,5,7.539999999999996,10,0,NA,10
Barbados,BRB,7.620000000000001,5,0,0,1.523076923076923,0,0.6164400000000008,0,2.50215775769688,0,1.8181818181818183,NA,NA,NA,0,NA,0,0,5.4953236524735445,9.291373239436627,4.666666666666667,NA,0,0,0,3.2857142857142847,10,NA,0,NA,NA
Brunei Darussalam,BRN,7.48,2.75,6.666666666674814e-4,6.666666666674814e-4,5.28923076923077,0,0.07835999999999999,0,0,0,1.8181818181818183,NA,NA,3,0,NA,NA,0,0.7635983263598334,1.5008802816901419,2.999999999999999,NA,0,0,0,2.1428571428571432,0,NA,7,NA,NA
Bhutan,BTN,5.940000000000001,5.5,6.666666666674814e-4,6.666666666674814e-4,0.7215384615384615,0,1.1330799999999996,0,0,0,6.985645933014355,NA,NA,5,0,NA,0,0,2.6833620477479716,10,4.166666666666666,NA,0,0,0,7.428571428571429,NA,NA,0,2.0277622767857135,7.0231235193543
Botswana,BWA,7.779999999999999,6.75,4.186972141014356,3.5898420386805876,4.5830769230769235,0,5.226799999999999,5.71,7.879098656886205,0,6.937799043062202,NA,NA,3,0,5,0,0,1.61887767659365,1.192781690140853,2.833333333333333,NA,0,0,0,6.428571428571429,NA,NA,7,NA,10
Central African Republic,CAF,8.54,10,0,0,8.381538461538462,0,0.0863599999999991,0.0600000000000005,2.9286744992526,0,10,10,NA,NA,10,4.620951101902884,8.476558377379803,NA,5.981417671671181,9.687500000000009,3.5,NA,0,0,0,10,NA,NA,0,8.680937267485119,4.451949543066007
Canada,CAN,0,0,0,0,NA,0,3.5216400000000005,2.2720000000000002,4.048465612555408,0,0.8373205741626784,NA,NA,3,0,NA,0,0,0.4928624169333027,7.31073943661972,5.666666666666667,0,0,0,7,0.5714285714285712,10,NA,3,NA,NA
Switzerland,CHE,0.6000000000000014,0,0,0,3.316923076923077,0,3.9344800000000006,1.2539999999999996,4.132358072756036,0,0,NA,NA,1,0,0,0,0,0,0.04841549295774428,2.166666666666667,NA,0,0,0,0.4285714285714288,3.3899999999999997,NA,3,NA,NA
Chile,CHL,2.3400000000000007,2.5,0.8882461356335938,0,0,0,10,9.566,7.199160866455074,0,3.421052631578947,NA,NA,5,0,0,0,0,0,6.650528169014091,8.666666666666668,NA,0,0,7,2.1428571428571432,10,10,3,1.9428061984834226,7.4961552
China,CHN,4.359999999999999,3.5,6.666666666674814e-4,6.666666666674814e-4,1.321538461538461,0,3.9999999999906777e-4,0,0,0,2.918660287081341,NA,NA,NA,0,9.532132073186784,0,0,2.8925670686684732,0,10,0,0,0,0,3.7142857142857135,0.5999999999999996,0,0,NA,7.353602154667435
Côte d'Ivoire,CIV,6.9,9,2.125510353465523,0,5.576923076923077,0,0.06760000000000055,0.03200000000000003,6.334380682773265,0,7.296650717703351,NA,NA,3,0,6.714961266375687,0,0,2.7879645582082224,9.291373239436627,4.666666666666667,NA,0,0,0,8.285714285714285,NA,NA,7,NA,4.741453105996509
Cameroon,CMR,7.12,9.25,1.4182446147786827,10,7.981538461538461,0,0.11904000000000003,0.8719999999999999,3.086693339689843,0,8.133971291866029,NA,10,3,10,4.544367194044803,10,0,5.889121338912136,5.990316901408454,4.333333333333334,NA,0,0,0,8.428571428571429,NA,NA,7,NA,6.858170840864997
Congo DR,COD,8.7,10,1.7172225015362272,0,8.221538461538461,0,0.033319999999999794,0.006000000000000227,8.27628121507556,10,10,10,7,NA,10,6.923810915860145,10,0,10,9.07130281690143,5.833333333333333,NA,0,0,0,9.428571428571429,NA,NA,7,10,5.9083074251194745
Congo,COG,9.28,9.25,0,2.3052166224580004,4.695384615384616,0,0.1884800000000002,0.15600000000000058,2.9286744992526,0,10,NA,NA,NA,10,0,10,0,7.581220772827962,9.863556338028182,4.833333333333333,NA,0,0,0,7.714285714285715,NA,NA,0,NA,10
Colombia,COL,5.159999999999999,5.75,0.8321881685914949,0.41710147620460525,1.2338461538461534,0,10,10,4.7359158649934034,0,5.07177033492823,NA,NA,5,0,10,9.256171655313933,0,3.9262859955697778,2.117077464788726,9.5,0,0,0,0,5.142857142857143,10,10,0,6.537703377859933,10
Comoros,COM,8.56,10,6.666666666674814e-4,6.666666666674814e-4,NA,0,0.09855999999999909,0,0,0,8.229665071770336,NA,NA,NA,10,NA,0,0,NA,NA,2.833333333333333,NA,0,0,0,8.571428571428571,NA,NA,NA,NA,5.293064136378991
Cabo Verde,CPV,8.14,6.25,0,0,3.1569230769230767,0,10,3.0839999999999996,3.612880095641139,0,6.363636363636363,NA,NA,3,0,NA,0,0,4.523135614078269,7.046654929577478,0.8333333333333339,NA,0,0,0,6.714285714285714,0,NA,0,NA,6.12966820195315
Costa Rica,CRI,4.98,3.5,0,2.0123036249936446,2.884615384615384,0,10,10,7.382363709398087,0,3.3971291866028706,NA,NA,1,0,0,0,0,2.652596603494956,4.449823943661971,8.333333333333334,NA,0,0,0,3.1428571428571423,10,10,0,3.7884474254789797,7.000000000000001
Cuba,CUB,6.959999999999999,3.5,0.8739182808072332,0.25791382687518905,0.9292307692307702,0,4.22972,2.0440000000000005,5.439730491532212,0,4.330143540669857,NA,NA,NA,0,0,0,0,10,10,7.666666666666666,NA,0,0,0,3.1428571428571423,NA,NA,0,NA,NA
Cyprus,CYP,5.3999999999999995,3.25,0,0,0.8815384615384616,0,4.07092,2.283999999999999,7.117698112223462,0,2.1291866028708126,NA,NA,1,0,0,NA,0,4.11703174993847,0,5.5,NA,0,0,0,0.8571428571428559,3.0933333333333337,NA,3,NA,NA
Czech Republic,CZE,3.5999999999999996,3.5,0,0,3.878461538461538,0,2.0159199999999995,2.4540000000000006,10,0,0,NA,NA,3,0,0,0,0,2.535687915333499,0,1.1666666666666679,NA,0,0,0,0.4285714285714288,3.663333333333334,NA,3,NA,NA
Germany,DEU,0.7999999999999989,0.5,0,0,1.9553846153846148,0,2.4202399999999997,3.604000000000001,4.389309674192852,0,0,NA,NA,3,0,0,0,0,0,0,2.5,NA,0,0,0,0.5714285714285712,3.780000000000001,NA,3,NA,NA
Djibouti,DJI,9.36,8.75,0,0,4.5200000000000005,0,0.21976000000000084,0.28999999999999915,2.3158793087217084,0,8.253588516746412,NA,NA,5,0,0,0,0,5.599926162933795,5.638204225352116,7.333333333333334,NA,5,0,0,8.142857142857142,NA,NA,0,1.6976056780133923,2.8334768108410024
Dominica,DMA,9.2,5.5,NA,NA,5.576923076923077,0,0,0,0.6100284051331872,0,5.502392344497608,NA,NA,1,0,0,0,0,NA,NA,6.500000000000001,NA,0,0,0,5.142857142857143,NA,NA,0,NA,NA
Denmark,DNK,0,0.25,0.02527815128723887,0,3.556923076923076,0,6.78252,0.24600000000000044,3.564452771041399,10,0,NA,NA,1,0,0,0,0,0,7.530809859154937,0.5,NA,0,0,0,0.2857142857142865,3.860000000000001,NA,3,NA,NA
Dominican Republic,DOM,6.340000000000001,5.75,3.6388423856911754,0,2.644615384615384,0,3.7083999999999993,0.5259999999999998,4.956583433431737,0,4.593301435406698,NA,NA,3,0,0,0,0,5.4768643859217345,7.970950704225362,9.5,NA,0,0,0,4.857142857142857,10,NA,0,6.155405952816918,7.5
