"","Index","Countryname","Country","Outlook","Count","Previous Count","Flag Change"
"109",1873,"Colombia","COL","Overall",3.5,3.5,0
"110",1880,"Colombia","COL","Underlying",0.5,0.5,0
"111",1894,"Colombia","COL","Emerging",3.5,3.5,0
"112",1925,"Comoros","COM","Overall",0.5,0.5,0
"113",1932,"Comoros","COM","Underlying",3,3,0
"114",1946,"Comoros","COM","Emerging",0,0,0
"115",1977,"Cabo Verde","CPV","Overall",1.5,1.5,0
"116",1984,"Cabo Verde","CPV","Underlying",0.5,0.5,0
"117",1998,"Cabo Verde","CPV","Emerging",0.5,0.5,0
"118",2029,"Costa Rica","CRI","Overall",2.5,2.5,0
"119",2036,"Costa Rica","CRI","Underlying",0.5,0.5,0
"120",2050,"Costa Rica","CRI","Emerging",2.5,2.5,0
"121",2081,"Cuba","CUB","Overall",2,2,0
"122",2088,"Cuba","CUB","Underlying",1.5,1.5,0
"123",2102,"Cuba","CUB","Emerging",2,2,0
"124",2133,"Cyprus","CYP","Overall",1,1,0
"125",2140,"Cyprus","CYP","Underlying",0,0,0
"126",2154,"Cyprus","CYP","Emerging",1,1,0
"127",2185,"Czech Republic","CZE","Overall",0.5,0.5,0
"128",2192,"Czech Republic","CZE","Underlying",0,0,0
"129",2206,"Czech Republic","CZE","Emerging",1.5,1.5,0
"130",2237,"Germany","DEU","Overall",0,0,0
"131",2244,"Germany","DEU","Underlying",0,0,0
"132",2258,"Germany","DEU","Emerging",0,0,0
"133",2289,"Djibouti","DJI","Overall",2,2,0
"134",2296,"Djibouti","DJI","Underlying",2,2,0
"135",2310,"Djibouti","DJI","Emerging",0,0,0
"136",2341,"Dominica","DMA","Overall",1,1,0
"137",2348,"Dominica","DMA","Underlying",0.5,0.5,0
"138",2362,"Dominica","DMA","Emerging",0,0,0
"139",2393,"Denmark","DNK","Overall",0,0,0
"140",2400,"Denmark","DNK","Underlying",0,0,0
"141",2414,"Denmark","DNK","Emerging",1.5,1.5,0
"142",2445,"Dominican Republic","DOM","Overall",1.5,1.5,0
"143",2452,"Dominican Republic","DOM","Underlying",0.5,0.5,0
"144",2466,"Dominican Republic","DOM","Emerging",1,1,0
"145",2497,"Algeria","DZA","Overall",2.5,2.5,0
"146",2504,"Algeria","DZA","Underlying",1,1,0
"147",2518,"Algeria","DZA","Emerging",1,1,0
"148",2549,"Ecuador","ECU","Overall",3,3,0
"149",2556,"Ecuador","ECU","Underlying",0.5,0.5,0
"150",2570,"Ecuador","ECU","Emerging",3,3,0
"151",2601,"Egypt","EGY","Overall",2,2,0
"152",2608,"Egypt","EGY","Underlying",0,0,0
"153",2622,"Egypt","EGY","Emerging",1.5,1.5,0
"154",2653,"Eritrea","ERI","Overall",2,2,0
"155",2660,"Eritrea","ERI","Underlying",3.5,3.5,0
"156",2674,"Eritrea","ERI","Emerging",0.5,0.5,0
"157",2705,"Spain","ESP","Overall",0,0,0
"158",2712,"Spain","ESP","Underlying",0,0,0
"159",2726,"Spain","ESP","Emerging",2,2,0
"160",2757,"Estonia","EST","Overall",0.5,0.5,0
"161",2764,"Estonia","EST","Underlying",0,0,0
"162",2778,"Estonia","EST","Emerging",2,2,0
"163",2809,"Ethiopia","ETH","Overall",5,5,0
"164",2816,"Ethiopia","ETH","Underlying",3.5,3.5,0
"165",2830,"Ethiopia","ETH","Emerging",2.5,2.5,0
"166",2861,"Finland","FIN","Overall",0,0,0
"167",2868,"Finland","FIN","Underlying",0,0,0
"168",2882,"Finland","FIN","Emerging",2,2.5,-0.5
"169",2913,"Fiji","FJI","Overall",1.5,1.5,0
"170",2920,"Fiji","FJI","Underlying",0.5,0.5,0
"171",2934,"Fiji","FJI","Emerging",2,2,0
"172",2965,"France","FRA","Overall",0,0,0
"173",2972,"France","FRA","Underlying",0,0,0
"174",2986,"France","FRA","Emerging",1,1,0
"175",3017,"Micronesia","FSM","Overall",0.5,0.5,0
"176",3024,"Micronesia","FSM","Underlying",1.5,1.5,0
"177",3038,"Micronesia","FSM","Emerging",0.5,0.5,0
"178",3069,"Gabon","GAB","Overall",2,2,0
"179",3076,"Gabon","GAB","Underlying",1,1,0
"180",3090,"Gabon","GAB","Emerging",1,1,0
"181",3121,"United Kingdom","GBR","Overall",0,0,0
"182",3128,"United Kingdom","GBR","Underlying",0,0,0
"183",3142,"United Kingdom","GBR","Emerging",2,2,0
"184",3173,"Georgia","GEO","Overall",1.5,1,0.5
"185",3180,"Georgia","GEO","Underlying",0,0,0
"186",3194,"Georgia","GEO","Emerging",3,2.5,0.5
"187",3225,"Ghana","GHA","Overall",3,3,0
"188",3232,"Ghana","GHA","Underlying",1,1,0
"189",3246,"Ghana","GHA","Emerging",2.5,2.5,0
"190",3277,"Guinea","GIN","Overall",3.5,3.5,0
"191",3284,"Guinea","GIN","Underlying",2.5,2.5,0
"192",3298,"Guinea","GIN","Emerging",1.5,1.5,0
"193",3329,"Gambia","GMB","Overall",3.5,3.5,0
"194",3336,"Gambia","GMB","Underlying",2,2,0
"195",3350,"Gambia","GMB","Emerging",2.5,1.5,1
"196",3381,"Guinea-Bissau","GNB","Overall",1,1,0
"197",3388,"Guinea-Bissau","GNB","Underlying",3,3,0
"198",3402,"Guinea-Bissau","GNB","Emerging",0.5,0.5,0
"199",3433,"Equatorial Guinea","GNQ","Overall",1.5,1.5,0
"200",3440,"Equatorial Guinea","GNQ","Underlying",1.5,1.5,0
"201",3454,"Equatorial Guinea","GNQ","Emerging",0,0,0
"202",3485,"Greece","GRC","Overall",1,0.5,0.5
"203",3492,"Greece","GRC","Underlying",0.5,0.5,0
"204",3506,"Greece","GRC","Emerging",1.5,0.5,1
"205",3537,"Grenada","GRD","Overall",0,0,0
"206",3544,"Grenada","GRD","Underlying",0.5,0.5,0
"207",3558,"Grenada","GRD","Emerging",0,0,0
"208",3589,"Guatemala","GTM","Overall",3,3,0
"209",3596,"Guatemala","GTM","Underlying",1.5,1.5,0
"210",3610,"Guatemala","GTM","Emerging",1.5,1.5,0
"211",3641,"Guyana","GUY","Overall",1,1,0
"212",3648,"Guyana","GUY","Underlying",0.5,0.5,0
"213",3662,"Guyana","GUY","Emerging",0.5,0.5,0
"214",3693,"Honduras","HND","Overall",2.5,2.5,0
"215",3700,"Honduras","HND","Underlying",1.5,1.5,0
"216",3714,"Honduras","HND","Emerging",2,2,0
"217",3745,"Croatia","HRV","Overall",0.5,0.5,0
"218",3752,"Croatia","HRV","Underlying",0,0,0
"219",3766,"Croatia","HRV","Emerging",2,2,0
"220",3797,"Haiti","HTI","Overall",4,4,0
"221",3804,"Haiti","HTI","Underlying",5,5,0
"222",3818,"Haiti","HTI","Emerging",3,3,0
"223",3849,"Hungary","HUN","Overall",0.5,0.5,0
"224",3856,"Hungary","HUN","Underlying",0,0,0
"225",3870,"Hungary","HUN","Emerging",1,1,0
"226",3901,"Indonesia","IDN","Overall",2,2,0
"227",3908,"Indonesia","IDN","Underlying",1,1,0
"228",3922,"Indonesia","IDN","Emerging",2,1.5,0.5
"229",3953,"India","IND","Overall",1.5,1.5,0
"230",3960,"India","IND","Underlying",1.5,1.5,0
"231",3974,"India","IND","Emerging",0.5,0.5,0
"232",4005,"Ireland","IRL","Overall",0,0,0
"233",4012,"Ireland","IRL","Underlying",0,0,0
"234",4026,"Ireland","IRL","Emerging",1.5,1.5,0
"235",4057,"Iran","IRN","Overall",3,2.5,0.5
"236",4064,"Iran","IRN","Underlying",1.5,1.5,0
"237",4078,"Iran","IRN","Emerging",2,1.5,0.5
"238",4109,"Iraq","IRQ","Overall",3,3,0
"239",4116,"Iraq","IRQ","Underlying",2.5,2.5,0
"240",4130,"Iraq","IRQ","Emerging",2,2,0
"241",4161,"Iceland","ISL","Overall",0,0,0
"242",4168,"Iceland","ISL","Underlying",0,0,0
"243",4182,"Iceland","ISL","Emerging",0.5,0.5,0
"244",4213,"Israel","ISR","Overall",0.5,0.5,0
"245",4220,"Israel","ISR","Underlying",0,0,0
"246",4234,"Israel","ISR","Emerging",2.5,2.5,0
"247",4265,"Italy","ITA","Overall",1,1,0
"248",4272,"Italy","ITA","Underlying",0,0,0
"249",4286,"Italy","ITA","Emerging",2,2,0
"250",4317,"Jamaica","JAM","Overall",0.5,0.5,0
"251",4324,"Jamaica","JAM","Underlying",1,1,0
"252",4338,"Jamaica","JAM","Emerging",0,0,0
"253",4369,"Jordan","JOR","Overall",2,2,0
"254",4376,"Jordan","JOR","Underlying",0,0,0
"255",4390,"Jordan","JOR","Emerging",2,2,0
"256",4421,"Japan","JPN","Overall",0,0,0
"257",4428,"Japan","JPN","Underlying",1,1,0
"258",4442,"Japan","JPN","Emerging",0,0,0
"259",4473,"Kazakhstan","KAZ","Overall",1.5,1.5,0
"260",4480,"Kazakhstan","KAZ","Underlying",0,0,0
"261",4494,"Kazakhstan","KAZ","Emerging",1.5,1,0.5
"262",4525,"Kenya","KEN","Overall",4,4,0
"263",4532,"Kenya","KEN","Underlying",2.5,2.5,0
"264",4546,"Kenya","KEN","Emerging",3.5,3.5,0
"265",4577,"Kyrgyzstan","KGZ","Overall",0.5,0.5,0
"266",4584,"Kyrgyzstan","KGZ","Underlying",0,0,0
"267",4598,"Kyrgyzstan","KGZ","Emerging",1.5,1.5,0
"268",4629,"Cambodia","KHM","Overall",1,1,0
"269",4636,"Cambodia","KHM","Underlying",2,2,0
"270",4650,"Cambodia","KHM","Emerging",1,1,0
"271",4681,"Kiribati","KIR","Overall",1.5,1.5,0
"272",4688,"Kiribati","KIR","Underlying",2.5,2.5,0
"273",4702,"Kiribati","KIR","Emerging",1,1,0
"274",4733,"Saint Kitts and Nevis","KNA","Overall",0.5,1,-0.5
"275",4740,"Saint Kitts and Nevis","KNA","Underlying",0.5,0.5,0
"276",4754,"Saint Kitts and Nevis","KNA","Emerging",0,0.5,-0.5
"277",4785,"Korea Republic of","KOR","Overall",1,0.5,0.5
"278",4792,"Korea Republic of","KOR","Underlying",1.5,1.5,0
"279",4806,"Korea Republic of","KOR","Emerging",0,0,0
"280",4837,"Kuwait","KWT","Overall",0.5,0.5,0
"281",4844,"Kuwait","KWT","Underlying",0,0,0
"282",4858,"Kuwait","KWT","Emerging",1,1,0
"283",4889,"Lao PDR","LAO","Overall",2,2,0
"284",4896,"Lao PDR","LAO","Underlying",1,1,0
"285",4910,"Lao PDR","LAO","Emerging",1,1,0
"286",4941,"Lebanon","LBN","Overall",3.5,3.5,0
"287",4948,"Lebanon","LBN","Underlying",3,3,0
