"","Index","Countryname","Country","Outlook","Count","Previous Count","Flag Change"
"467",8068,"South Sudan","SSD","Underlying",4,4,0
"468",8082,"South Sudan","SSD","Emerging",3.5,3.5,0
"469",8113,"Sao Tome and Principe","STP","Overall",1.5,1.5,0
"470",8120,"Sao Tome and Principe","STP","Underlying",2,2,0
"471",8134,"Sao Tome and Principe","STP","Emerging",1,1,0
"472",8165,"Suriname","SUR","Overall",1.5,1.5,0
"473",8172,"Suriname","SUR","Underlying",0.5,0.5,0
"474",8186,"Suriname","SUR","Emerging",1.5,1.5,0
"475",8217,"Slovakia","SVK","Overall",0.5,0.5,0
"476",8224,"Slovakia","SVK","Underlying",0,0,0
"477",8238,"Slovakia","SVK","Emerging",1,1,0
"478",8269,"Slovenia","SVN","Overall",0.5,0.5,0
"479",8276,"Slovenia","SVN","Underlying",0,0,0
"480",8290,"Slovenia","SVN","Emerging",1.5,1.5,0
"481",8321,"Sweden","SWE","Overall",0,0,0
"482",8328,"Sweden","SWE","Underlying",0,0,0
"483",8342,"Sweden","SWE","Emerging",0.5,0.5,0
"484",8373,"Eswatini","SWZ","Overall",2,2,0
"485",8380,"Eswatini","SWZ","Underlying",1.5,1.5,0
"486",8394,"Eswatini","SWZ","Emerging",1.5,1.5,0
"487",8425,"Seychelles","SYC","Overall",1.5,1.5,0
"488",8432,"Seychelles","SYC","Underlying",0.5,0.5,0
"489",8446,"Seychelles","SYC","Emerging",1.5,1.5,0
"490",8477,"Syria","SYR","Overall",5,5,0
"491",8484,"Syria","SYR","Underlying",3.5,3.5,0
"492",8498,"Syria","SYR","Emerging",3,3,0
"493",8529,"Chad","TCD","Overall",4.5,4.5,0
"494",8536,"Chad","TCD","Underlying",4,4,0
"495",8550,"Chad","TCD","Emerging",2.5,2.5,0
"496",8581,"Togo","TGO","Overall",1.5,1.5,0
"497",8588,"Togo","TGO","Underlying",1.5,1.5,0
"498",8602,"Togo","TGO","Emerging",1,1,0
"499",8633,"Thailand","THA","Overall",0.5,0,0.5
"500",8640,"Thailand","THA","Underlying",0.5,0.5,0
"501",8654,"Thailand","THA","Emerging",0,0,0
"502",8685,"Tajikistan","TJK","Overall",3,3,0
"503",8692,"Tajikistan","TJK","Underlying",2,2,0
"504",8706,"Tajikistan","TJK","Emerging",1.5,1.5,0
"505",8737,"Turkmenistan","TKM","Overall",1,1,0
"506",8744,"Turkmenistan","TKM","Underlying",1.5,1.5,0
"507",8758,"Turkmenistan","TKM","Emerging",1,1,0
"508",8789,"Timor-Leste","TLS","Overall",2,2,0
"509",8796,"Timor-Leste","TLS","Underlying",2.5,2.5,0
"510",8810,"Timor-Leste","TLS","Emerging",1,1.5,-0.5
"511",8841,"Tonga","TON","Overall",3,3,0
"512",8848,"Tonga","TON","Underlying",1.5,1.5,0
"513",8862,"Tonga","TON","Emerging",1.5,1.5,0
"514",8893,"Trinidad and Tobago","TTO","Overall",1,1,0
"515",8900,"Trinidad and Tobago","TTO","Underlying",0,0,0
"516",8914,"Trinidad and Tobago","TTO","Emerging",0.5,1,-0.5
"517",8945,"Tunisia","TUN","Overall",2.5,2.5,0
"518",8952,"Tunisia","TUN","Underlying",0.5,0.5,0
"519",8966,"Tunisia","TUN","Emerging",3.5,3.5,0
"520",8997,"Turkey","TUR","Overall",1,1,0
"521",9004,"Turkey","TUR","Underlying",0.5,0.5,0
"522",9018,"Turkey","TUR","Emerging",0.5,0.5,0
"523",9049,"Tuvalu","TUV","Overall",0.5,0.5,0
"524",9056,"Tuvalu","TUV","Underlying",2,2,0
"525",9070,"Tuvalu","TUV","Emerging",1,1,0
"526",9101,"Tanzania","TZA","Overall",2.5,2.5,0
"527",9108,"Tanzania","TZA","Underlying",1.5,1.5,0
"528",9122,"Tanzania","TZA","Emerging",1,1,0
"529",9153,"Uganda","UGA","Overall",3,3,0
"530",9160,"Uganda","UGA","Underlying",3,3,0
"531",9174,"Uganda","UGA","Emerging",2.5,3,-0.5
"532",9205,"Ukraine","UKR","Overall",1.5,1.5,0
"533",9212,"Ukraine","UKR","Underlying",0.5,0.5,0
"534",9226,"Ukraine","UKR","Emerging",1,1,0
"535",9257,"Uruguay","URY","Overall",1,1,0
"536",9264,"Uruguay","URY","Underlying",0,0,0
"537",9278,"Uruguay","URY","Emerging",1.5,1.5,0
"538",9309,"United States of America","USA","Overall",1,1,0
"539",9316,"United States of America","USA","Underlying",0.5,0.5,0
"540",9330,"United States of America","USA","Emerging",3.5,3.5,0
"541",9361,"Uzbekistan","UZB","Overall",3,3,0
"542",9368,"Uzbekistan","UZB","Underlying",2,2,0
"543",9382,"Uzbekistan","UZB","Emerging",1,1,0
"544",9413,"Saint Vincent and the Grenadines","VCT","Overall",0,0,0
"545",9420,"Saint Vincent and the Grenadines","VCT","Underlying",0.5,0.5,0
"546",9434,"Saint Vincent and the Grenadines","VCT","Emerging",0,0,0
"547",9465,"Venezuela","VEN","Overall",4,4,0
"548",9472,"Venezuela","VEN","Underlying",3,3,0
"549",9486,"Venezuela","VEN","Emerging",2,2,0
"550",9517,"Viet Nam","VNM","Overall",1.5,1.5,0
"551",9524,"Viet Nam","VNM","Underlying",1,1,0
"552",9538,"Viet Nam","VNM","Emerging",1,0.5,0.5
"553",9569,"Vanuatu","VUT","Overall",2,2,0
"554",9576,"Vanuatu","VUT","Underlying",2,2,0
"555",9590,"Vanuatu","VUT","Emerging",1,1,0
"556",9621,"Samoa","WSM","Overall",0,0,0
"557",9628,"Samoa","WSM","Underlying",1,1,0
"558",9642,"Samoa","WSM","Emerging",0,0,0
"559",9673,"Yemen","YEM","Overall",3,3,0
"560",9680,"Yemen","YEM","Underlying",4,4,0
"561",9694,"Yemen","YEM","Emerging",3,3,0
"562",9725,"South Africa","ZAF","Overall",2.5,2.5,0
"563",9732,"South Africa","ZAF","Underlying",0,0,0
"564",9746,"South Africa","ZAF","Emerging",3.5,3.5,0
"565",9777,"Zambia","ZMB","Overall",3.5,3.5,0
"566",9784,"Zambia","ZMB","Underlying",2.5,2.5,0
"567",9798,"Zambia","ZMB","Emerging",2.5,2.5,0
"568",9829,"Zimbabwe","ZWE","Overall",5,5,0
"569",9836,"Zimbabwe","ZWE","Underlying",4,4,0
"570",9850,"Zimbabwe","ZWE","Emerging",4,4,0
