Country,NH_GDAC_Hazard_Score_Norm,NH_Hazard_Score_norm,NH_seasonal_risk_norm,NH_locust_norm,NH_natural_acaps,NH_GDAC_Hazard_Score_raw,NH_Hazard_Score_raw,NH_seasonal_risk_norm_raw,NH_locust_norm_raw,NH_natural_acaps_raw
LAO,NA,6.500000000000001,0,0,0,NA,4.9,0,0,0
LBN,NA,7,10,0,0,NA,5.2,10,0,0
LBR,NA,5,0,0,0,NA,4,0,0,0
LBY,NA,4.500000000000001,0,0,0,NA,3.7,0,0,0
LCA,NA,2.666666666666666,0,0,0,NA,2.6,0,0,0
LIE,NA,0.5,0,0,0,NA,1.3,0,0,0
LKA,NA,7,0,0,0,NA,5.2,0,0,0
LSO,NA,2.5,0,0,0,NA,2.5,0,0,0
LTU,NA,1.1666666666666679,0,0,0,NA,1.7,0,0,0
LUX,NA,0,0,0,0,NA,0.8,0,0,0
LVA,NA,1.8333333333333321,0,0,0,NA,2.1,0,0,0
MAR,NA,6.166666666666667,0,0,0,NA,4.7,0,0,0
MDA,NA,5.166666666666666,0,0,0,NA,4.1,0,0,0
MDG,NA,8.5,0,0,10,NA,6.1,0,0,10
MDV,NA,3.666666666666667,0,0,0,NA,3.2,0,0,0
MEX,0,9.5,0,0,0,past - green,6.7,0,0,0
MHL,NA,4.333333333333334,0,0,0,NA,3.6,0,0,0
MKD,NA,4.666666666666667,0,0,0,NA,3.8,0,0,0
MLI,NA,5.666666666666667,0,0,0,NA,4.4,0,0,0
MLT,NA,2.5,0,0,0,NA,2.5,0,0,0
MMR,NA,10,0,0,0,NA,7.8,0,0,0
MNE,NA,5.5,0,0,0,NA,4.3,0,0,0
MNG,NA,3.166666666666668,0,0,0,NA,2.9,0,0,0
MOZ,NA,8,0,0,0,NA,5.8,0,0,0
MRT,NA,7.666666666666666,0,0,0,NA,5.6,0,0,0
MUS,NA,4.500000000000001,10,0,0,NA,3.7,10,0,0
MWI,NA,5.833333333333333,0,0,0,NA,4.5,0,0,0
MYS,NA,6.500000000000001,7,0,0,NA,4.9,7,0,0
NAM,NA,5.5,0,0,0,NA,4.3,0,0,0
NER,NA,5.833333333333333,0,0,0,NA,4.5,0,0,0
NGA,NA,5,0,0,0,NA,4,0,0,0
NIC,NA,9.333333333333332,0,0,0,NA,6.6,0,0,0
NLD,NA,1.666666666666666,0,0,0,NA,2,0,0,0
NOR,NA,0,0,0,0,NA,0.7,0,0,0
NPL,0,8,0,0,0,past - green,5.8,0,0,0
NRU,NA,2.999999999999999,0,0,0,NA,2.8,0,0,0
NZL,0,5.833333333333333,0,0,0,past - green,4.5,0,0,0
OMN,NA,6.666666666666667,7,0,0,NA,5,7,0,0
PAK,NA,10,7,0,0,NA,7.4,7,0,0
PAN,NA,8.666666666666668,0,0,0,NA,6.2,0,0,0
PER,0,10,0,0,0,past - green,7.1,0,0,0
PHL,10,10,0,0,0,active - orange,8.4,0,0,0
PLW,NA,3.666666666666667,0,0,0,NA,3.2,0,0,0
PNG,NA,9.5,7,0,0,NA,6.7,7,0,0
POL,NA,2.166666666666667,0,0,0,NA,2.3,0,0,0
PRK,NA,7,0,0,0,NA,5.2,0,0,0
PRT,NA,4,0,0,0,NA,3.4,0,0,0
PRY,NA,2.666666666666666,0,0,0,NA,2.6,0,0,0
