Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
CAN,0,4.048465612555408,0,0,1.4236400000000007,1.5220000000000002,NA,0,0,0,75.3,0.463858661836217,-29.92288129485291,-53.90809770914294,35.591,0.761,NA,2,0,0
CHE,0.6000000000000014,4.132358072756036,0,0,1.8216400000000004,0.8919999999999995,3.9261538461538468,0,0,0,67,0.469475243909889,-20.039132232655245,-54.53461834287368,45.541,0.446,54.48,1.9,0,0
CHL,2.3400000000000007,7.199160866455074,0.7282282363097927,0.5032468674498887,10,10,0,2.5,0,0,58.3,0.674797027934152,10.923423544646905,7.54870301174834,362.572,5.754,87.55,3,0,0
CHN,4.359999999999999,0,6.666666666674814e-4,6.666666666674814e-4,7.199999999993878e-4,0,4.487692307692308,3.5,10,0,48.2,0.036349206349211,0.01,0.01,0.018,0,50.83,3.4,10,0
CIV,6.9,6.334380682773265,0,0,0.03727999999999909,0,5.976923076923077,9,0,0,35.5,0.616900181593988,-84.61538461538461,-36.853883451442385,0.932,0,41.15,5.6,0,0
CMR,7.12,3.086693339689843,0,0,0.24991999999999948,0.37599999999999945,8.701538461538462,9.25,0,0,34.4,0.399468216093977,-69.37020683244248,-68.60858446814379,6.248,0.188,23.44,5.7,0,0
COD,8.7,8.27628121507556,10,10,0.1292800000000014,0.09600000000000009,7.34,10,10,0,26.5,0.746910002411016,846.3869463869464,269.68034114574726,3.232,0.048,32.29,6.8,10,0
COG,9.28,2.9286744992526,3.381445633101264,3.8861796286689003,0.20816000000000123,0.2579999999999991,5.095384615384615,9.25,0,0,23.6,0.388888888888889,50.72168449651896,58.2926944300335,5.204,0.129,46.88,5.7,0,0
COL,5.159999999999999,4.7359158649934034,0.5531544157962323,2.384965983692682,10,10,1.2338461538461534,5.75,0,0,44.2,0.509883307616669,8.297316236943498,35.77448975539022,511.418,10.716,71.98,4.3,0,0
COM,8.56,0,6.666666666674814e-4,6.666666666674814e-4,0.07227999999999923,0,NA,10,0,0,27.2,0.0590476190476147,0.01,0.01,1.807,0,NA,6,0,0
CPV,8.14,3.612880095641139,0,0,4.87164,3.0839999999999996,3.1569230769230767,6.25,0,0,29.3,0.434696305648294,-25.44024422739729,-43.50898323666764,121.791,1.542,59.48,4.5,0,0
CRI,4.98,7.382363709398087,0,0,10,9.478,2.0030769230769234,3.5,0,0,45.1,0.687062418662457,-27.256953765899066,-25.814365069879493,334.307,4.739,66.98,3.4,0,0
CUB,6.959999999999999,5.439730491532212,0,0,4.434560000000001,1.8919999999999995,0.6492307692307691,3.5,0,0,35.2,0.557003544705347,-3.5402888624000837,-0.7468505259965504,110.864,0.946,75.78,3.4,0,0
CYP,5.3999999999999995,7.117698112223462,0.5137879683089217,0,2.6813200000000004,3.2620000000000005,1.443076923076923,3.25,0,0,43,0.669343114149826,7.7068195246338345,-35.6128331931753,67.033,1.631,70.62,3.3,0,0
CZE,3.5999999999999996,10,0,0,0.8430799999999987,1.7599999999999998,3.3661538461538463,3.5,0,0,52,1,-35.390529294977405,-49.59969746497907,21.077,0.88,58.12,3.4,0,0
DEU,0.7999999999999989,4.389309674192852,0,0,0.9819200000000006,2.0459999999999994,1.0892307692307686,0.5,0,0,66,0.486678098075567,-39.33091645475335,-55.95498759962535,24.548,1.023,72.92,2.2,0,0
DJI,9.36,2.3158793087217084,0,0,0.05784000000000056,0,5.481538461538462,8.75,0,0,23.2,0.347862383363396,-100,-57.57738598799656,1.446,0,44.37,5.5,0,0
DMA,9.2,0.6100284051331872,NA,NA,0.07936000000000121,0,5.576923076923077,5.5,0,0,24,0.233656034157048,NA,NA,1.984,0,43.75,4.2,0,0
