"","Countryname","Country","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK","RELIABILITY_UNDERLYING_HEALTH","RELIABILITY_UNDERLYING_FOOD_SECURITY","RELIABILITY_UNDERLYING_MACRO_FISCAL","RELIABILITY_UNDERLYING_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_UNDERLYING_NATURAL_HAZARDS","RELIABILITY_UNDERLYING_FRAGILITY_INSTITUTIONS","RELIABILITY_EMERGING_HEALTH","RELIABILITY_EMERGING_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","RELIABILITY_EMERGING_MACRO_FISCAL","RELIABILITY_EMERGING_NATURAL_HAZARDS","RELIABILITY_EMERGING_FRAGILITY_INSTITUTIONS"
"52","Eritrea","ERI",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0.333333333333333
"53","Spain","ESP",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"54","Estonia","EST",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"55","Ethiopia","ETH",0,0.1,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0
"56","Finland","FIN",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333
"57","Fiji","FJI",0,0.3,0,0,0.25,0,0,0,0,1,1,0.25,0,0.333333333333333
"58","France","FRA",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"59","Micronesia","FSM",0.3,0.8,0.5,1,0.25,0,0,0,0.666666666666667,1.5,1.66666666666667,0.25,0.333333333333333,1
"60","Gabon","GAB",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"61","United Kingdom","GBR",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333
"62","Georgia","GEO",0,0.3,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0
"63","Ghana","GHA",0,0.3,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0,0
"64","Guinea","GIN",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"65","Gambia","GMB",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"66","Guinea-Bissau","GNB",0,0.5,0,0,0.25,0,0,0,0.333333333333333,1.5,1.33333333333333,0.25,0.333333333333333,0
"67","Equatorial Guinea","GNQ",0,0.4,0,0,0,0,0,0,0.333333333333333,1,1.66666666666667,0,0.333333333333333,0.333333333333333
"68","Greece","GRC",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"69","Grenada","GRD",0.2,0.4,0,1,0.25,0,0,0,0.333333333333333,1,1.66666666666667,0.25,0.333333333333333,0.333333333333333
"70","Guatemala","GTM",0,0.1,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0,0
"71","Guyana","GUY",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0
"72","Honduras","HND",0,0.2,0,0,0,0,0,0,0,0.5,0.333333333333333,0,0.333333333333333,0
"73","Croatia","HRV",0,0.3,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0
"74","Haiti","HTI",0,0.1,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0
"75","Hungary","HUN",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0
"76","Indonesia","IDN",0,0.3,0,0,0,0,0,0,0,1.5,0,0,0,0
"77","India","IND",0,0.3,0,0,0,0,0,0,0,1.5,0.666666666666667,0,0,0
"78","Ireland","IRL",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0.333333333333333
"79","Iran","IRN",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0
"80","Iraq","IRQ",0,0.3,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0
"81","Iceland","ISL",0,0.2,0,0,0,0,0,0,0,1,1,0,0,0
"82","Israel","ISR",0,0.3,0,0,0,0,0,0,0.333333333333333,1,1,0,0.333333333333333,0
"83","Italy","ITA",0,0.2,0,0,0,0,0,0,0,1,1,0,0,0
"84","Jamaica","JAM",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0
"85","Jordan","JOR",0,0.4,0,0,0,0,0,0,0,1.5,0.666666666666667,0,0.333333333333333,0
"86","Japan","JPN",0,0.2,0,0,0,0,0,0,0,1,1,0,0,0
"87","Kazakhstan","KAZ",0,0.3,0,0,0,0,0,0,0,1.5,0.333333333333333,0,0,0
"88","Kenya","KEN",0,0.2,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0
"89","Kyrgyzstan","KGZ",0,0.4,0,0,0,0,0,0,0,1.5,0.666666666666667,0,0.333333333333333,0
"90","Cambodia","KHM",0,0.4,0,0,0,0,0,0,0,1.5,1,0,0.333333333333333,0
"91","Kiribati","KIR",0,0.7,0,0,0.25,0,0,0,0.5,1.5,1.66666666666667,0.25,0.333333333333333,0.666666666666667
"92","Saint Kitts and Nevis","KNA",0,0.4,0,0,0.25,0,0,0,0.333333333333333,1,1.66666666666667,0.25,0.333333333333333,0.333333333333333
"93","Korea Republic of","KOR",0,0.2,0,0,0,0,0,0,0,1,1,0,0,0
"94","Kuwait","KWT",0,0.4,0,0,0,0,0,0,0,1.5,1.33333333333333,0,0.333333333333333,0
"95","Lao PDR","LAO",0,0.3,0,0,0,0,0,0,0,1,0.666666666666667,0,0.333333333333333,0.333333333333333
