"","Countryname","Country","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning"
"21","Belize","BLZ",0.353,4.66507177033493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bolivia","BOL",0.496,8.08612440191388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.01,0,0,NA,NA,NA,0.01,1,NA
"23","Brazil","BRA",0.314,3.73205741626794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Barbados","BRB",0.234,1.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Brunei Darussalam","BRN",0.234,1.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.04,0.03,0.02,0.02,0.02,NA,NA,0.03,3,NA
"26","Bhutan","BTN",0.45,6.98564593301436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,0.09,0.15,0.15,NA,NA,NA,0.09,5,NA
"27","Botswana","BWA",0.448,6.9377990430622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,NA,NA,NA,NA,NA,NA,0.03,3,NA
"28","Central African Republic","CAF",0.695,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"29","Canada","CAN",0.193,0.837320574162678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.02,0.03,3,NA
"30","Switzerland","CHE",0.105,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.01,0.01,0,0,0.01,0,0.01,1,NA
"31","Chile","CHL",0.301,3.42105263157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.07,0.06,0.07,0.06,0.08,0.08,0.07,0.06,5,NA
"32","China","CHN",0.28,2.91866028708134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Côte d'Ivoire","CIV",0.463,7.29665071770335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.04,0.05,0.04,0.05,0.02,0.05,0.02,0.05,3,NA
"34","Cameroon","CMR",0.498,8.13397129186603,"Cameroon",1411,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",26284861.148561,2719023.23423,10.3444458727105,0,0,5306576.43289,20.1887177676056,0,0,-5.50927278852785,NA,19.3314659816576,NA,-9.84427189489513,"High risk",2021-02-01,3,10,0.03,0.03,0.03,0.04,0.04,0.04,NA,NA,0.03,3,NA
"35","Congo DR","COD",0.629,10,"Democratic Republic of Congo",882,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",90301099.0925712,10728759.88281,11.8810955687389,0,0,10728759.88281,11.8810955687389,0,0,3.83461501000143,NA,-16.4830097856743,NA,0,"Not high risk",2021-02-01,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"36","Congo","COG",0.576,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Colombia","COL",0.37,5.07177033492823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.08,0.07,0.05,0.05,0.04,0.04,0.04,0.07,5,NA
"38","Comoros","COM",0.502,8.22966507177034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cabo Verde","CPV",0.424,6.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,NA,NA,NA,NA,NA,NA,0.03,3,NA
"40","Costa Rica","CRI",0.3,3.39712918660287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,-0.01,-0.01,0,0,0,0.01,-0.01,1,NA
"41","Cuba","CUB",0.339,4.33014354066986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Cyprus","CYP",0.247,2.12918660287081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.04,0.01,-0.01,0.01,0.02,NA,NA,0.01,1,NA
"43","Czech Republic","CZE",0.142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.05,3,NA
"44","Germany","DEU",0.111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.04,3,NA
"45","Djibouti","DJI",0.503,8.25358851674641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.04,0.06,0.12,NA,NA,NA,NA,0.06,5,NA
"46","Dominica","DMA",0.388,5.50239234449761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,0.01,1,NA
"47","Denmark","DNK",0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.01,0.01,0.01,0,0.01,0,0.01,1,NA
"48","Dominican Republic","DOM",0.35,4.5933014354067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.03,0.04,0.06,0.06,0.06,0.07,0.08,0.04,3,NA
"49","Algeria","DZA",0.282,2.96650717703349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.02,0.01,-0.02,-0.02,0.02,0.02,0.02,1,NA
"50","Ecuador","ECU",0.373,5.14354066985646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.03,0.03,0.01,0,NA,NA,NA,0.03,3,NA
"51","Egypt","EGY",0.233,1.79425837320574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Eritrea","ERI",0.677,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Spain","ESP",0.151,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.03,3,NA
"54","Estonia","EST",0.252,2.2488038277512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.03,3,NA
"55","Ethiopia","ETH",0.646,10,"Ethiopia",704,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",111619715.18434,36680400.33218,32.8619368644709,4061063.875,3.63830338421232,23210097.1564,20.7939046592876,1851962.125,1.65917116160123,8.50423836061872,NA,13.2440711812298,NA,12.0680322051833,"High risk",2021-02-01,4,10,0.26,0.2,0.23,0.25,0.22,NA,NA,NA,0.23,5,10
"56","Finland","FIN",0.195,0.885167464114833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,1,NA
"57","Fiji","FJI",0.363,4.90430622009569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.06,0.01,-0.03,-0.02,-0.02,NA,-0.06,1,NA
"58","France","FRA",0.116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.03,0.01,0.01,0.01,0.02,0.02,0.03,3,NA
"59","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Gabon","GAB",0.434,6.60287081339713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.03,0.02,0.03,0.02,NA,0.02,1,NA
"61","United Kingdom","GBR",0.128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.02,0.01,0.01,0,NA,0.01,0,0.01,1,NA
"62","Georgia","GEO",0.364,4.92822966507177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.15,0.14,0.12,0.09,0.06,0.05,0.06,0.14,5,NA
"63","Ghana","GHA",0.458,7.17703349282297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Guinea","GIN",0.527,8.82775119617225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,5,NA
"65","Gambia","GMB",0.472,7.51196172248804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.06,0.06,0.05,0.07,0.06,0.07,0.06,0.06,5,NA
"66","Guinea-Bissau","GNB",0.52,8.66028708133971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Equatorial Guinea","GNQ",0.384,5.4066985645933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.08,0.09,NA,NA,NA,NA,NA,0.09,5,NA
"68","Greece","GRC",0.163,0.119617224880383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.04,3,NA
"69","Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,0.01,1,NA
"70","Guatemala","GTM",0.43,6.50717703349282,"Guatemala",1011,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",17988228.5783,7961234.3595,44.2580231001956,0,0,7961234.3595,44.2580231001956,0,0,12.2456275180831,NA,12.2456275180831,NA,0,"High risk",2021-02-01,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"71","Guyana","GUY",0.353,4.66507177033493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Honduras","HND",0.415,6.14832535885167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0.05,0.07,0.06,0.05,0.03,0.04,0.05,3,10
"73","Croatia","HRV",0.209,1.2200956937799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.02,NA,NA,NA,NA,NA,0.02,1,NA
"74","Haiti","HTI",0.701,10,"Haiti",932,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",11226900.41839,3443340.77356,30.6704490575128,0,0,4331142.58999,38.5782578323707,0,0,-7.90780877485787,NA,4.36990232162721,NA,-7.90780877485787,"Not high risk",2021-02-01,3,7,0.26,0.27,NA,NA,NA,NA,NA,NA,0.27,5,10
"75","Hungary","HUN",0.197,0.933014354066986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.08,5,NA
