"","Countryname","Country","D_WB_external_debt_distress","D_overall_debt_distress","D_debt_date","D_WB_external_debt_distress_norm","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020.2019","D_IMF_debt2020.2019_norm","D_fiscalgdpnum","D_fiscalgdpnum_norm","D_EconomicSupportIndexForDisplay_norm","D_fiscal","D_ratecut","D_reserve_req","D_macrofin","D_othermonetary","D_bopgdp","D_otherbop","D_CESI_Index","D_CESI_Index_norm","D_CPIA.scores","D_CPIA.scores_norm"
"26","Bhutan","BTN","Moderate","…","Oct-18",7,-4.786,-3.287,0.6,-5.5,-5.9,-6.2,10,2,8.66425992779783,5,1.68543279380718,0,22.2222222222222,1.37227304714989,1,0,0,-1.33398237842193,9.35587405083407,4.5,2.38095238095238
"27","Botswana","BWA",NA,NA,NA,NA,-1.054,-4.588,-6.2,-5.9,-3.1,0.3,0,1.1,9.31407942238267,10,0.66,10.5263157894737,50,0.44,1,0,1,0.314782373499625,5.90540617031371,NA,NA
"28","Central African Republic","CAF","High","High","Apr-20",10,-1.063,-0.972,1.4,-2.4,0.4,-3.8,7.6,1.9,8.73646209386282,5,3.0962962962963,11.9047619047619,0,3.30317391928766,1,0,0,-1.38594681516534,9.46462311264139,3.5,7.14285714285714
"29","Canada","CAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,2.5,16.4,85.7142857142857,55.5555555555556,15.178058587019,1,0,0,2.4494670871412,1.43802473771471,NA,NA
"30","Switzerland","CHE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,2.59927797833935,6.25,10.4340961194364,0,100,9.39892703096434,1,16.3,1,6.67464160658561,0,NA,NA
"31","Chile","CHL",NA,NA,NA,NA,-2.621,-1.465,-2.6,-6.3,-3.5,-3.7,7.4,4.7,6.71480144404332,0,10.34,71.4285714285714,0,11.8951729388214,1,8.13289966931419,1,3.88822079052031,0,NA,NA
"32","China","CHN",NA,NA,NA,NA,-3.835,-4.655,-6.4,-11.2,-9.6,-4.9,9.8,4.5,6.85920577617328,3.75,4.5,15.625,11.1111111111111,8.46383108910891,1,0,1,0.136834819162146,6.27780758169943,NA,NA
"33","Côte d'Ivoire","CIV","Moderate","Moderate","Apr-20",7,-3.333,-2.945,-2.3,-5.3,-2.5,-3,6,2.5,8.30324909747292,3.75,2.6,15.5555555555556,0,2.1,1,0,0,-1.37960642921344,9.45135421054263,4,4.76190476190476
"34","Cameroon","CMR","High","High","May-20",10,-4.872,-2.487,-2.3,-4.5,-3.6,-2.1,4.2,2,8.66425992779783,7.5,1.94139573410644,11.9047619047619,0,0.802443570097329,1,0,0,-1.5409175076024,9.78893948103347,4,4.76190476190476
"35","Congo DR","COD","Moderate","Moderate","Apr-20",7,1.355,-0.048,-2.1,-1.2,-0.3,0.9,0,0.3,9.89169675090253,10,0.3,-105.555555555556,100,0,1,0.0510266563252643,0,-2.11307451926096,10,3,9.52380952380952
