"","Country","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_CONFLICT","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_CONFLICT","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM"
"29","CAF",7.56666666666667,10,10,5.32833020637899,10,10,7.07090921219399,9.93265993265993,0,10,2.75147928994083,1.07692307692307,7.07090921219399,6.2962962962963,4,1,4.5,1.5
"30","CAN",0,0.837320574162678,0,1.65103189493433,NA,0,0,10,6.01340897369778,NA,NA,8.51282051282051,0,6.2962962962963,1,0,1.5,0.5
"31","CHE",0,0,0,0,NA,3.54166666666667,0,10,5.85869004641568,NA,NA,7.35897435897436,0,7.03703703703704,1,0,2,1
"32","CHL",0,3.42105263157895,0.80126933756446,2.66416510318949,NA,3.95833333333333,0,7.94326241134752,10,0.719999999999999,NA,5.69230769230769,0,1.83380830226182,0,0,0,0
"33","CHN",0.6,2.91866028708134,5.4264180880603,2.77673545966229,NA,3.54166666666667,0,3.86524822695036,3.18840579710145,0,NA,4.79487179487179,0,5.55555555555556,0,0,0,0
"34","CIV",4.83333333333333,7.29665071770335,5.31535105117017,7.72983114446529,7,8.125,4.40264158495097,8.41750841750842,0,0,2.27810650887574,3.8974358974359,4.40264158495097,9.62962962962963,0,0,0.5,0.5
"35","CMR",5.2,8.13397129186603,7.97302657675526,4.54033771106942,10,4.79166666666667,5.36321793075846,4.71380471380471,0.704310868245294,0,1.74556213017751,4.79487179487179,5.36321793075846,8.07183080375499,1,0,1.5,0.5
"36","COD",7.83333333333333,10,10,0,7,8.95833333333333,7.31105329864586,9.76430976430976,1.26984126984127,0,0,7.04996034892942,7.31105329864586,10,2,1,3,2
"37","COG",8.8,10,6.26735422451408,0,10,4.375,7.00420252151291,9.59595959595959,10,0,0.562130177514794,4.98810467882633,7.00420252151291,6.31212804905269,2,0,2.5,0.5
"38","COK",9.86666666666667,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0
"39","COL",1.93333333333333,5.07177033492823,8.94882982943277,2.30769230769231,NA,4.375,5.53665532652925,3.87205387205387,10,0,NA,9.58762886597938,5.53665532652925,1.52671254973924,0,0,0.5,0.5
"40","COM",7.6,8.22966507177034,NA,6.15384615384616,7,6.04166666666667,0,9.76430976430976,0,NA,1.3905325443787,2.48717948717949,0,5.16505225695913,0,0,0,0
"41","CPV",6.9,6.36363636363636,NA,10,10,3.54166666666667,2.73497431792409,NA,10,NA,4.3491124260355,10,2.73497431792409,2.67350202275912,2,1,2,1
"42","CRI",1.63333333333333,3.39712918660287,1.37247124157081,3.63977485928705,NA,3.95833333333333,1.10733106530585,8.29787234042553,2.13333333333333,0,NA,5.43589743589744,1.10733106530585,7.77777777777778,0,0,0.5,0.5
"43","CUB",4.93333333333333,4.33014354066986,4.2840142800476,9.83114446529081,NA,3.95833333333333,4.48268961376826,5.46099290780142,10,0,NA,NA,4.48268961376826,7.03703703703704,0,0,0.5,0.5
"44","CYP",2.33333333333333,2.12918660287081,3.02261007536692,5.77861163227017,NA,4.79166666666667,0,5.81560283687943,10,0,NA,10,0,7.77777777777778,0,1,0.5,1.5
"45","CZE",0,0,0,1.57598499061914,NA,3.54166666666667,0,8.82978723404255,0.833625218914186,NA,NA,10,0,8.14814814814815,0,1,0.5,1.5
"46","DEU",0,0,0.111067036890123,1.65103189493433,NA,2.29166666666667,0,10,3.91110074989315,NA,NA,8.25641025641026,0,6.66666666666667,1,0,1.5,0.5
"47","DJI",8.93333333333333,8.25358851674641,5.34708449028163,0,10,8.125,7.76465879527717,6.9023569023569,2.57777777777778,10,1.62721893491124,6.84615384615385,7.76465879527717,10,1,2,1.5,2.5
"48","DMA",8.66666666666667,5.50239234449761,NA,9.9437148217636,NA,6.875,5.17643919685144,NA,0,NA,0,10,5.17643919685144,0.399317577248059,0,1,0,1
"49","DNK",0,0,0,2.02626641651032,NA,1.875,0,10,10,NA,NA,9.92307692307693,0,9.62962962962963,1,0,2,1
"50","DOM",3.9,4.5933014354067,4.03014676715589,4.82176360225141,NA,6.45833333333333,3.64218531118671,5.89225589225589,5.93604951005673,0,NA,6.33333333333333,3.64218531118671,7.77777777777778,0,0,0.5,0.5
"51","DZA",8.8,2.96650717703349,5.44228480761603,2.4765478424015,NA,0,3.12187312387432,4.71380471380471,0.778751933986591,10,NA,8.00158604282316,3.12187312387432,10,0,2,0.5,2.5
"52","ECU",0,5.14354066985646,3.54621182070607,2.70168855534709,NA,2.70833333333333,3.30865185778134,4.04040404040404,10,0,NA,8.47739888977002,3.30865185778134,7.40740740740741,0,0,1,1
"53","EGY",3.36666666666667,1.79425837320574,7.83815946053154,7.95497185741088,NA,4.79166666666667,2.41478220265493,5.38720538720539,0.985043837029396,0,NA,3.12820512820513,2.41478220265493,9.62962962962963,0,0,0.5,0.5
"54","ERI",9.2,10,7.70329234430782,NA,NA,7.29166666666667,8.80528316990194,10,0,0,NA,3.56066613798573,8.80528316990194,4.23910151298157,2,0,2.5,0.5
"55","ESP",0,0,1.31693772312575,3.67729831144465,NA,0.208333333333332,0,8.12056737588652,10,NA,NA,10,0,1.85185185185185,0,1,0,1
"56","EST",0,2.2488038277512,1.53907179690599,3.30206378986867,NA,0.625,0,8.47517730496454,6.09195402298851,NA,NA,10,0,9.25925925925926,0,1,0.5,1.5
"57","ETH",3.13333333333333,10,7.1479571598572,4.14634146341463,10,3.54166666666667,10,4.20875420875421,7.23646723646723,0,0.798816568047338,5.94871794871795,10,6.88705752783977,3,1,3,1
"58","FIN",0,0.885167464114833,0,2.25140712945591,NA,0,0,10,10,NA,NA,7.48717948717949,0,9.62962962962963,1,0,2,1
"59","FJI",8.1,4.90430622009569,NA,8.70544090056285,NA,1.04166666666667,1.45420585684744,3.86524822695036,0,NA,3.87573964497041,6.58974358974359,1.45420585684744,7.77777777777778,0,0,0.5,0.5
"60","FRA",0,0,2.84807616025387,2.25140712945591,NA,0.625,0,9.71631205673759,10,NA,NA,9.41025641025641,0,6.66666666666667,0,0,0.5,0.5
"61","FSM",5.73333333333333,NA,NA,10,NA,NA,2.33473417383764,6.06060606060606,0,NA,NA,NA,2.33473417383764,7.77777777777778,1,0,1.5,0.5
"62","GAB",10,6.60287081339713,4.59341531138437,0,NA,6.04166666666667,2.17463811620306,7.91245791245791,0,0,NA,6.8913560666138,2.17463811620306,6.35471398566142,1,0,1,0
"63","GBR",0,0,2.12614042046807,3.75234521575985,NA,1.45833333333333,0,8.47517730496454,10,NA,NA,8.64102564102564,0,0,0,0,0.5,0.5
"64","GEO",0,4.92822966507177,4.67274890916303,9.41838649155723,NA,10,3.38869988659863,3.87205387205387,0.671140939597315,0,NA,10,3.38869988659863,4.07407407407407,1,1,1,1
"65","GHA",4.83333333333333,7.17703349282297,2.08647362157874,2.92682926829268,10,6.875,2.81502234674138,4.75177304964539,2.94117647058824,0,2.0414201183432,4.51229183187946,2.81502234674138,7.40740740740741,1,0,1.5,0.5
"66","GIN",5.76666666666667,8.82775119617225,4.69654898849663,3.30206378986867,7,5.20833333333333,3.13521446201054,6.56565656565656,2.42276422764228,10,2.75147928994083,2.13322759714512,3.13521446201054,9.25925925925926,0,1,0.5,1.5
"67","GMB",5.26666666666667,7.51196172248804,2.97500991669972,10,10,8.95833333333333,4.24254552731639,4.37710437710438,10,0,0.384615384615385,3,4.24254552731639,7.40740740740741,2,0,2.5,0.5
"68","GNB",10,8.66028708133971,5.58508528361761,10,NA,7.29166666666667,2.54819558401708,9.93265993265993,10,10,0.0295857988165675,6.57414750198255,2.54819558401708,10,2,2,2,2
"69","GNQ",10,5.4066985645933,3.36374454581515,0,NA,8.125,1.88112867720632,9.93265993265993,0,NA,NA,0.0713719270420334,1.88112867720632,4.70480111214179,1,0,1,0
"70","GRC",0,0.119617224880383,3.17334391114637,6.15384615384616,NA,0.625,0,6.52482269503546,10,0,NA,10,0,8.14814814814815,0,1,0.5,1.5
"71","GRD",7.5,NA,NA,3.75234521575985,10,6.875,0.573677539857247,5.99290780141844,0,NA,3.69822485207101,10,0.573677539857247,10,1,2,1,2
"72","GTM",5.76666666666667,6.50717703349282,5.79928599761999,5.40337711069418,NA,6.45833333333333,5.3098525782136,6.9023569023569,0,0,NA,7.04996034892942,5.3098525782136,8.88888888888889,0,0,1,1
"73","GUY",6.1,4.66507177033493,4.29988099960333,4.27767354596623,7,3.54166666666667,0,6.22895622895623,4.68599033816425,0,0,0,0,9.25925925925926,0,0,0.5,0.5
"74","HND",7.46666666666667,6.14832535885167,6.41015470051567,7.12945590994372,3,6.45833333333333,4.64278567140284,6.56565656565656,6.5291387313048,0,0.562130177514794,10,4.64278567140284,5.18518518518519,0,1,0,1
"75","HRV",0,1.2200956937799,0.888536295120984,4.953095684803,NA,8.125,0,7.4113475177305,2.98013245033113,0,NA,10,0,6.2962962962963,0,1,0,1
"76","HTI",6.16666666666667,10,4.11741372471242,8.10506566604128,10,8.54166666666667,9.21886465212461,9.25925925925926,4.21052631578947,0,2.15976331360947,2.1025641025641,9.21886465212461,7.03703703703704,2,0,3,1
"77","HUN",0,0.933014354066986,0.0555335184450616,1.27579737335835,NA,8.54166666666667,0,7.05673758865248,10,NA,NA,10,0,8.51851851851852,0,1,0.5,1.5
"78","IDN",0,5.23923444976077,1.99920666402221,2.21388367729831,NA,6.45833333333333,5.18978053498766,4.04255319148936,0.844897195262158,0,NA,4.51229183187946,5.18978053498766,10,0,1,0,1
"79","IND",1.16666666666667,7.17703349282297,8.50456168187227,0.712945590994371,NA,5.625,6.08365019011407,2.97872340425532,1.73285198555957,0,NA,8.3187946074544,6.08365019011407,0.770607000691562,0,0,0.5,0.5
"80","IRL",0,0,0,0.300187617260786,NA,1.45833333333333,0,10,10,NA,NA,10,0,3.7037037037037,1,1,1,1
"81","IRN",4.1,2.96650717703349,8.00476001586672,0,NA,0.625,6.00360216129678,5.89225589225589,8.10211449200619,8.75,NA,0,6.00360216129678,5.50708105879517,0,0,0.5,0.5
"82","IRQ",8.06666666666667,5.90909090909091,10,3.30206378986867,NA,10,10,10,2.0314391560398,0.688796680497925,NA,10,10,10,4,3,4,3
"83","ISL",1.23333333333333,0.55023923444976,NA,5.17823639774859,NA,0,0,10,3.52941176470588,NA,NA,10,0,8.51851851851852,1,1,1.5,1.5
"84","ISR",0.9,0,9.53589845299484,3.00187617260788,NA,3.125,0,2.97872340425532,4.15678184631253,10,NA,10,0,6.66666666666667,0,2,0,2
