"","Country","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_CONFLICT","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_CONFLICT","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM"
"132","NOR",0,0,0.0238000793335988,0.97560975609756,NA,0,0,10,10,NA,NA,8.12820512820513,0,7.77777777777778,1,0,2,1
"133","NPL",4.96666666666667,9.04306220095694,3.72867909559699,6.00375234521576,3,7.29166666666667,4.20252151290775,6.73400673400673,10,0,1.33136094674556,4.82950039651071,4.20252151290775,8.88888888888889,0,0,0.5,0.5
"134","NRU",9.73333333333333,NA,NA,9.83114446529081,NA,10,0,NA,0,NA,NA,1.97435897435897,0,0.705040049643689,1,0,1,0
"135","NZL",0,1.84210526315789,0,3.97748592870544,NA,0,0,10,10,NA,NA,10,0,9.25925925925926,1,1,1.5,1.5
"136","OMN",2.3,3.22966507177033,3.33201110670369,3.60225140712946,NA,0.625,0,7.05673758865248,3.10679611650485,NA,NA,3.71927042030135,0,8.14814814814815,0,0,0.5,0.5
"137","PAK",4.83333333333333,6.62679425837321,10,6.22889305816135,NA,8.125,10,5.38720538720539,0.288808664259928,0,0.680473372781066,4.66666666666667,10,8.88888888888889,2,1,2.5,1.5
"138","PAN",2.1,5.09569377990431,2.14994049980167,3.30206378986867,NA,3.54166666666667,1.34747515175772,7.4113475177305,10,0,NA,4.92307692307692,1.34747515175772,4.81481481481481,0,0,0,0
"139","PER",0.266666666666666,6.65071770334928,3.83181277270924,3.39587242026266,NA,4.79166666666667,3.66886798745914,4.54545454545454,10,0,NA,10,3.66886798745914,3.33333333333333,0,1,0,1
"140","PHL",0.799999999999999,7.20095693779904,7.79849266164221,5.34709193245779,NA,7.70833333333333,6.59062103929024,4.37710437710438,10,0,NA,9.11181601903251,6.59062103929024,8.88888888888889,0,0,1,1
"141","PLW",9.36666666666667,NA,NA,9.00562851782364,NA,4.79166666666667,1.5075712093923,NA,0,NA,NA,10,1.5075712093923,0.856403246145391,0,1,0,1
"142","PNG",7.4,10,4.64101547005157,0,10,0,1.7743979721166,7.91245791245791,8.6021505376344,NA,0.976331360946748,8.16019032513878,1.7743979721166,3.7037037037037,2,0,2.5,0.5
"143","POL",0,0.789473684210526,0.959936533121777,0,NA,7.29166666666667,0,8.12056737588652,2.94550810014728,NA,NA,9.746233148295,0,8.14814814814815,0,0,1,1
"144","PRK",0,8.63636363636364,10,NA,NA,10,5.42992462143953,10,0,0,NA,NA,5.42992462143953,10,3,1,3,1
"145","PRT",0,0,0,4.27767354596623,NA,1.875,0,10,4.62093862815884,NA,NA,10,0,7.40740740740741,1,1,1.5,1.5
"146","PRY",4.76666666666667,5.28708133971292,4.14121380404602,0,NA,3.54166666666667,0,5.21885521885522,10,0,NA,1.02299762093577,0,8.14814814814815,0,0,0.5,0.5
"147","QAT",2.93333333333333,0,1.29313764379215,0,NA,6.04166666666667,0,7.76595744680851,0,0,NA,4.15384615384615,0,7.77777777777778,0,0,0.5,0.5
"148","ROU",1.4,2.46411483253589,0.579135263784213,1.95121951219512,NA,10,0,7.23404255319149,7.99896854048478,NA,NA,10,0,5.55555555555556,1,1,1,1
"149","RUS",1.9,2.58373205741627,10,0.97560975609756,NA,4.375,2.57487826028951,6.9023569023569,3.35740072202166,0,NA,8.16019032513878,2.57487826028951,8.88888888888889,1,0,2,1
"150","RWA",5.26666666666667,9.06698564593302,3.81594605315351,8.31144465290807,7,6.875,6.23040490961244,3.03030303030303,10,0,2.2189349112426,8.3187946074544,6.23040490961244,6.66666666666667,0,0,0.5,0.5
"151","SAU",0.233333333333334,2.39234449760766,6.94962316541055,2.77673545966229,NA,0,0,4.20875420875421,3.33161423414131,0,NA,3.08485329103886,0,7.03703703703704,0,0,0.5,0.5
"152","SDN",7.93333333333333,10,10,2.10131332082551,NA,8.125,9.93929691148022,7.57575757575757,0,10,NA,4.53846153846154,9.93929691148022,10,2,2,2.5,2.5
"153","SEN",4.03333333333333,7.39234449760766,2.77667592225307,10,7,3.125,5.10973250617037,5.05050505050505,1.23424598000869,10,1.56804733727811,2.92624900872324,5.10973250617037,10,1,2,1,2
"154","SGP",0,0,0,0.938086303939961,NA,3.54166666666667,0,10,0,NA,NA,3.8974358974359,0,7.77777777777778,1,0,1.5,0.5
"155","SLB",9.76666666666667,9.13875598086125,NA,7.72983114446529,7,0.208333333333332,2.18797945433927,7.57575757575757,0,NA,3.22485207100592,10,2.18797945433927,9.25925925925926,0,1,0.5,1.5
"156","SLE",3.93333333333333,9.64114832535885,2.29274097580325,0,10,9.79166666666667,4.97631912480822,5.38720538720539,0,10,2.10059171597633,8.3187946074544,4.97631912480822,10,1,2,1.5,2.5
"157","SLV",1.93333333333333,4.97607655502392,5.78341927806426,6.45403377110694,NA,7.29166666666667,2.22800346874792,6.22895622895623,1.51761517615176,0,NA,8.95321173671689,2.22800346874792,4.44444444444444,0,0,0.5,0.5
"158","SMR",6.3,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,0,0,1,0,1
"159","SOM",10,10,10,10,10,10,10,10,0,0,NA,5.43589743589744,10,10,8,2,8,2
"160","SRB",0,3.89952153110048,2.21340737802459,4.50281425891182,NA,6.45833333333333,0,5.21885521885522,3.20268179473956,0,NA,7.74358974358974,0,8.14814814814815,0,0,1,1
"161","SSD",9.43333333333333,10,10,0,10,8.125,10,10,0,0,1.92307692307692,8.47739888977002,10,6.2962962962963,5,1,5.5,1.5
"162","STP",10,8.20574162679426,NA,3.75234521575985,10,9.79166666666667,0.0533653525448603,6.3973063973064,0,NA,2.10059171597633,10,0.0533653525448603,4.07407407407407,2,1,2,1
"163","SUR",4.5,5.52631578947368,NA,0,NA,1.04166666666667,0,6.56565656565656,10,0,NA,8.16019032513878,0,7.77777777777778,0,0,1,1
"164","SVK",0.700000000000001,0.861244019138756,0.134867116223722,1.35084427767354,NA,1.45833333333333,0,NA,6.66666666666667,NA,NA,9.41025641025641,0,0.267509807976452,0,0,0.5,0.5
"165","SVN",0,0.21531100478469,0,1.95121951219512,NA,0.625,0,10,1.52656008251676,NA,NA,10,0,9.25925925925926,1,1,1.5,1.5
"166","SWE",0,1.55502392344497,0,2.62664165103189,NA,0,0,10,10,NA,NA,8.76923076923077,0,8.88888888888889,1,0,2,1
"167","SWZ",6.3,7.91866028708134,3.59381197937326,1.50093808630394,NA,7.29166666666667,3.68220932559536,5.72390572390572,1.51515151515152,0,NA,3.08485329103886,3.68220932559536,9.62962962962963,0,0,0.5,0.5
"168","SYC",6.03333333333333,2.20095693779904,NA,9.08067542213884,NA,7.70833333333333,0,5.99290780141844,0,NA,NA,10,0,4.76440121653004,0,1,0,1
"169","SYR",10,6.17224880382775,10,9.83114446529081,NA,8.125,10,7.57575757575757,10,0,NA,NA,10,4.44444444444444,3,1,3,1
"170","TCD",7.06666666666667,10,7.8460928203094,0,10,6.04166666666667,9.07210993262624,10,10,0,0.680473372781066,2.61538461538461,9.07210993262624,8.88888888888889,3,0,4,1
"171","TGO",5.83333333333333,8.68421052631579,5.3312177707259,8.78048780487805,10,5.625,2.98845974251217,10,6.66666666666667,0,4.17159763313609,4.02564102564102,2.98845974251217,7.03703703703704,2,0,2.5,0.5
"172","THA",0,3.56459330143541,5.91035303451012,3.07692307692308,NA,6.875,3.76225735441265,5.05050505050505,0,1.25,NA,10,3.76225735441265,9.62962962962963,0,1,0.5,1.5
"173","TJK",5.9,5.90909090909091,5.25981753272511,6.15384615384616,10,3.125,5.32319391634981,6.56565656565656,0,0,3.04733727810651,10,5.32319391634981,9.25925925925926,1,1,1.5,1.5
"174","TKM",6.06666666666667,3.27751196172249,5.80721935739786,0,NA,1.875,0,9.25925925925926,0,0,NA,6.57414750198255,0,9.62962962962963,0,0,0.5,0.5
"175","TLS",8,9.30622009569378,2.15787385957953,2.96435272045028,3,6.45833333333333,1.97451804415983,7.40740740740741,10,NA,0,9.58762886597938,1.97451804415983,10,0,1,0.5,1.5
"176","TON",8.3,4.52153110047847,NA,10,NA,2.29166666666667,3.80228136882129,NA,0,NA,2.51479289940828,0,3.80228136882129,0.299497908389856,1,0,1,0
"177","TTO",4.46666666666667,2.89473684210526,4.45061483538279,0.262664165103189,NA,6.04166666666667,1.34747515175772,6.52482269503546,10,0,NA,4.28205128205128,1.34747515175772,5.18518518518519,0,0,0,0
"178","TUN",5.43333333333333,2.05741626794258,3.9825466084887,4.953095684803,NA,1.45833333333333,1.80108064838903,6.56565656565656,10,0,NA,5.30769230769231,1.80108064838903,8.88888888888889,0,0,0.5,0.5
"179","TUR",0,0.454545454545453,10,1.68855534709193,NA,6.45833333333333,0,3.03030303030303,1.75863847343992,0,NA,6.07692307692308,0,7.67337109238598,1,0,1.5,0.5
"180","TUV",9.46666666666667,NA,NA,5.32833020637899,NA,9.79166666666667,0.0533653525448603,NA,0,NA,10,7.48717948717949,0.0533653525448603,0,0,1,0.5,1.5
"181","TZA",4.53333333333333,9.71291866028708,2.59420864736216,6.22889305816135,NA,4.79166666666667,5.68341004602762,4.88215488215488,0,10,1.03550295857988,4.02564102564102,5.68341004602762,8.51851851851852,0,1,0.5,1.5
"182","UGA",1.9,10,5.25981753272511,7.91744840525329,3,9.79166666666667,10,7.74410774410774,10,0,0.562130177514794,1.65741475019826,10,10,2,2,2,2
"183","UKR",4,2.29665071770335,10,4.9155722326454,NA,7.70833333333333,0,7.23905723905724,3.66501575866727,0,NA,10,0,9.25925925925926,1,1,1.5,1.5
"184","URY",2.9,3.13397129186603,1.41213804046014,4.14634146341463,NA,4.79166666666667,0,9.18439716312057,0,0,NA,2.76764472640762,0,3.33333333333333,0,0,0,0
"185","USA",0,0.191387559808613,6.88615628718762,1.72607879924953,NA,0.208333333333332,0,8.47517730496454,10,NA,NA,9.90483743061063,0,1.51700793948782,0,0,0.5,0.5
"186","UZB",5.23333333333333,3.25358851674641,5.02181673938913,3.63977485928705,3,6.45833333333333,0,4.37710437710438,1.15575966322235,0,2.45562130177515,3.38461538461538,0,10,0,1,0,1
"187","VCT",5.66666666666667,4.47368421052632,NA,9.24953095684803,10,8.54166666666667,1.46754719498366,NA,0,NA,3.63905325443787,5.93973037272006,1.46754719498366,0.675400486056487,1,0,1,0
"188","VEN",9,5.07177033492823,9.02816342721142,0,NA,1.04166666666667,2.26802748315656,5.55555555555556,4.83870967741935,0,NA,0,2.26802748315656,4.61950003026245,0,0,0,0
"189","VNM",0.299999999999999,5.52631578947368,2.72907576358588,3.60225140712946,NA,3.54166666666667,2.93509438996731,4.88215488215488,10,0,NA,4.02564102564102,2.93509438996731,9.25925925925926,0,0,0.5,0.5
"190","VUT",7.96666666666667,8.22966507177034,NA,10,7,1.45833333333333,2.52151290774465,NA,0,NA,10,6.46153846153846,2.52151290774465,0.511090312936435,1,1,1,1
"191","WSM",7.86666666666667,3.20574162679426,NA,10,10,3.125,1.93449402975119,4.75177304964539,0,NA,7.48520710059172,7.74358974358974,1.93449402975119,4.44444444444444,2,0,3,1
"192","YEM",10,10,10,7.5797373358349,NA,8.125,8.53845640717764,10,0.364583333333334,0,2.98816568047337,5.05128205128205,8.53845640717764,5.80346259776075,4,0,4.5,0.5
"193","ZAF",0,5.43062200956938,6.87028956763189,2.13883677298312,NA,10,3.13521446201054,4.04040404040404,9.28829293450232,0,NA,8.16019032513878,10,4.81481481481481,1,1,1.5,1.5
"194","ZMB",7.1,8.70813397129187,2.15787385957953,3.32082551594747,10,4.79166666666667,4.40264158495097,4.88215488215488,3.16939890710383,0,0,4.92307692307692,4.40264158495097,5.60925901938307,1,0,1,0
"195","ZWE",3.93333333333333,10,7.37802459341531,8.25515947467167,NA,4.375,10,5.05050505050505,2.51851851851852,0,NA,0,10,10,2,2,2,2
"196","HKG",NA,0.717703349282296,NA,0,NA,NA,NA,NA,NA,NA,NA,3.12820512820513,NA,NA,0,0,0,0
"197","MAC",NA,0,NA,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1,1,1
"198","PRI",NA,2.79904306220096,NA,5.32833020637899,NA,NA,3.3620172103262,NA,NA,NA,NA,8.76923076923077,3.3620172103262,NA,0,0,0.5,0.5
"199","PSE",NA,3.80382775119617,NA,10,NA,7.29166666666667,2.26802748315656,NA,NA,NA,NA,10,2.26802748315656,0,1,1,1,1
