"","Countryname","Country","C_GPI_Score","C_GPI_Score_norm","C_ACLED_fatal_last30d","C_ACLED_fatal_oneyear30d","C_ACLED_fatal_oneyearmonthlyav","C_ACLED_fatal_threeyearmonthlyav","C_ACLED_fatal_same_month_difference","C_ACLED_fatal_month_annual_difference","C_ACLED_fatal_month_threeyear_difference","C_ACLED_fatal_same_month_difference_perc","C_ACLED_fatal_month_annual_difference_perc","C_ACLED_fatal_month_threeyear_difference_perc","C_ACLED_event_last30d","C_ACLED_event_oneyear30d","C_ACLED_event_oneyearmonthlyav","C_ACLED_event_threeyearmonthlyav","C_ACLED_event_same_month_difference","C_ACLED_event_month_annual_difference","C_ACLED_event_month_threeyear_difference","C_ACLED_event_same_month_difference_perc","C_ACLED_event_month_annual_difference_perc","C_ACLED_event_month_threeyear_difference_perc","C_ACLED_fatal_same_month_difference_perc_norm","C_ACLED_fatal_month_annual_difference_perc_norm","C_ACLED_fatal_month_threeyear_difference_perc_norm","C_ACLED_event_same_month_difference_perc_norm","C_ACLED_event_month_annual_difference_perc_norm","C_ACLED_event_month_threeyear_difference_perc_norm"
"113","Mali","MLI",2.71,9.3375644585482,99,70,216.5,74.6944444444444,29,-117.5,24.3055555555556,41.4285714285714,-54.2725173210162,32.5399776868724,49,57,81.75,29.0833333333333,-8,-32.75,19.9166666666667,-14.0350877192982,-40.0611620795107,68.4813753581662,9.42857142857143,3.04849884526559,3.25399776868724,3.43859649122807,2.39755351681957,6.73925501432665
"114","Malta","MLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Myanmar","MMR",2.393,6.8226894089647,21,153,74.0833333333333,30.8611111111111,-132,-53.0833333333333,-9.86111111111111,-86.2745098039216,-71.6535433070866,-31.953195319532,38,174,149.333333333333,55.3055555555556,-136,-111.333333333333,-17.3055555555556,-78.1609195402299,-74.5535714285714,-31.2908086388749,0.915032679738562,1.88976377952756,0,0.873563218390805,1.01785714285714,2.748367654445
"116","Montenegro","MNE",1.939,3.22094406981357,0,0,0,0,0,0,0,NA,NA,NA,13,6,29.5,10.0277777777778,7,-16.5,2.97222222222222,116.666666666667,-55.9322033898305,29.6398891966759,NA,NA,NA,0,0,0
"117","Mongolia","MNG",1.792,2.05474018246728,0,0,0,0,0,0,0,NA,NA,NA,4,9,5.83333333333333,2.16666666666667,-5,-1.83333333333333,1.83333333333333,-55.5555555555556,-31.4285714285714,84.6153846153846,NA,NA,NA,0,0,0
"118","Mozambique","MOZ",2.099,4.49028163427212,42,95,90.4166666666667,32.7777777777778,-53,-48.4166666666667,9.22222222222222,-55.7894736842105,-53.5483870967742,28.135593220339,14,30,42.75,15.1111111111111,-16,-28.75,-1.11111111111111,-53.3333333333333,-67.2514619883041,-7.35294117647059,2.94736842105263,3.09677419354839,2.8135593220339,0,0,0
"119","Mauritania","MRT",2.333,6.34668782229274,0,0,0.416666666666667,0.138888888888889,0,-0.416666666666667,-0.138888888888889,NA,-100,-100,13,5,19.1666666666667,6.52777777777778,8,-6.16666666666667,6.47222222222222,160,-32.1739130434783,99.1489361702128,NA,0,0,10,0,0
"120","Mauritius","MUS",1.562,0.230067433558114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Malawi","MWI",1.779,1.95160650535502,1,1,3.33333333333333,1.13888888888889,0,-2.33333333333333,-0.138888888888889,0,-70,-12.1951219512195,6,10,14.6666666666667,5.25,-4,-8.66666666666667,0.75,-40,-59.0909090909091,14.2857142857143,0,0,0,0,0,0
"122","Malaysia","MYS",1.529,0,0,1,0.583333333333333,0.222222222222222,-1,-0.583333333333333,-0.222222222222222,-100,-100,-100,2,31,8.5,3.83333333333333,-29,-6.5,-1.83333333333333,-93.5483870967742,-76.4705882352941,-47.8260869565217,0,0,0,0,0,0
"123","Namibia","NAM",1.892,2.84807616025387,0,0,0.25,0.0833333333333333,0,-0.25,-0.0833333333333333,NA,-100,-100,6,1,5.91666666666667,2,5,0.083333333333333,4,500,1.40845070422535,200,NA,0,0,10,0,10
"124","Niger","NER",2.394,6.83062276874256,4,9,93.8333333333333,31.75,-5,-89.8333333333333,-27.75,-55.5555555555556,-95.7371225577265,-87.4015748031496,9,18,34.1666666666667,12.1666666666667,-9,-25.1666666666667,-3.16666666666667,-50,-73.6585365853659,-26.027397260274,0,0,0,0,0,0
"125","Nigeria","NGA",2.898,10,206,333,521.666666666667,184.916666666667,-127,-315.666666666667,21.0833333333333,-38.1381381381381,-60.5111821086262,11.4015322217215,112,159,215.75,77.1944444444444,-47,-103.75,34.8055555555556,-29.559748427673,-48.0880648899189,45.088161209068,4.12412412412412,2.63258785942492,1.14015322217215,2.81761006289308,2.07647740440325,5.80352644836272
"126","Nicaragua","NIC",2.312,6.18008726695756,0,0,2.75,1,0,-2.75,-1,NA,-100,-100,2,23,11.25,4.52777777777778,-21,-9.25,-2.52777777777778,-91.304347826087,-82.2222222222222,-55.8282208588957,NA,0,0,0,0,0
"127","Netherlands","NLD",1.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Norway","NOR",1.536,0.0238000793335988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Nepal","NPL",2.003,3.72867909559699,0,0,0.916666666666667,0.333333333333333,0,-0.916666666666667,-0.333333333333333,NA,-100,-100,9,87,60.9166666666667,22.9166666666667,-78,-51.9166666666667,-13.9166666666667,-89.6551724137931,-85.2257181942544,-60.7272727272727,NA,0,0,0,0,0
"130","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","New Zealand","NZL",1.221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Oman","OMN",1.953,3.33201110670369,0,0,0,0,0,0,0,NA,NA,NA,0,0,0.416666666666667,0.138888888888889,0,-0.416666666666667,-0.138888888888889,NA,-100,-100,NA,NA,NA,NA,0,0
"133","Pakistan","PAK",3.072,10,41,127,70.5833333333333,27.1111111111111,-86,-29.5833333333333,13.8888888888889,-67.7165354330709,-41.9126328217237,51.2295081967213,402,887,591.833333333333,223.777777777778,-485,-189.833333333333,178.222222222222,-54.6786922209696,-32.0754716981132,79.6425024826217,2.15223097112861,3.87249114521842,5.12295081967213,1.81285231116122,2.71698113207547,7.18570009930487
