"","Countryname","Country","C_GPI_Score","C_GPI_Score_norm","C_ACLED_fatal_last30d","C_ACLED_fatal_oneyear30d","C_ACLED_fatal_oneyearmonthlyav","C_ACLED_fatal_threeyearmonthlyav","C_ACLED_fatal_same_month_difference","C_ACLED_fatal_month_annual_difference","C_ACLED_fatal_month_threeyear_difference","C_ACLED_fatal_same_month_difference_perc","C_ACLED_fatal_month_annual_difference_perc","C_ACLED_fatal_month_threeyear_difference_perc","C_ACLED_event_last30d","C_ACLED_event_oneyear30d","C_ACLED_event_oneyearmonthlyav","C_ACLED_event_threeyearmonthlyav","C_ACLED_event_same_month_difference","C_ACLED_event_month_annual_difference","C_ACLED_event_month_threeyear_difference","C_ACLED_event_same_month_difference_perc","C_ACLED_event_month_annual_difference_perc","C_ACLED_event_month_threeyear_difference_perc","C_ACLED_fatal_same_month_difference_perc_norm","C_ACLED_fatal_month_annual_difference_perc_norm","C_ACLED_fatal_month_threeyear_difference_perc_norm","C_ACLED_event_same_month_difference_perc_norm","C_ACLED_event_month_annual_difference_perc_norm","C_ACLED_event_month_threeyear_difference_perc_norm"
"157","Sao Tome and Principe","STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Suriname","SUR",NA,NA,0,3,0.25,0.166666666666667,-3,-0.25,-0.166666666666667,-100,-100,-100,2,3,2.33333333333333,0.861111111111111,-1,-0.333333333333333,1.13888888888889,-33.3333333333333,-14.2857142857143,132.258064516129,0,0,0,0,0,0
"159","Slovakia","SVK",1.55,0.134867116223722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Slovenia","SVN",1.355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Sweden","SWE",1.533,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Eswatini","SWZ",1.986,3.59381197937326,0,0,0.166666666666667,0.0555555555555556,0,-0.166666666666667,-0.0555555555555556,NA,-100,-100,1,3,2.83333333333333,1.05555555555556,-2,-1.83333333333333,-0.0555555555555556,-66.6666666666667,-64.7058823529412,-5.26315789473684,NA,0,0,0,0,0
"163","Seychelles","SYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Syria","SYR",3.566,10,265,1753,837.333333333333,329.694444444444,-1488,-572.333333333333,-64.6944444444445,-84.8830576155163,-68.3519108280255,-19.6225461285702,366,1725,1150.5,439.583333333333,-1359,-784.5,-73.5833333333333,-78.7826086956522,-68.1877444589309,-16.739336492891,1.00779615896558,2.10987261146497,0,0.848695652173912,1.27249022164276,3.33042654028436
"165","Chad","TCD",2.522,7.8460928203094,14,116,53.6666666666667,21.1111111111111,-102,-39.6666666666667,-7.11111111111111,-87.9310344827586,-73.9130434782609,-33.6842105263158,5,18,16.1666666666667,5.91666666666667,-13,-11.1666666666667,-0.916666666666667,-72.2222222222222,-69.0721649484536,-15.4929577464789,0.804597701149426,1.73913043478261,0,0,0,0
"166","Togo","TGO",2.205,5.3312177707259,0,0,1,0.333333333333333,0,-1,-0.333333333333333,NA,-100,-100,7,2,5.75,1.97222222222222,5,1.25,5.02777777777778,250,21.7391304347826,254.929577464789,NA,0,0,10,0,10
"167","Thailand","THA",2.278,5.91035303451012,0,9,10.25,3.69444444444444,-9,-10.25,-3.69444444444444,-100,-100,-100,64,39,41.5833333333333,15.1111111111111,25,22.4166666666667,48.8888888888889,64.1025641025641,53.9078156312625,323.529411764706,0,0,0,6.56410256410256,6.1563126252505,10
"168","Tajikistan","TJK",2.196,5.25981753272511,0,0,1.41666666666667,0.472222222222222,0,-1.41666666666667,-0.472222222222222,NA,-100,-100,1,4,2.91666666666667,1.08333333333333,-3,-1.91666666666667,-0.0833333333333333,-75,-65.7142857142857,-7.69230769230769,NA,0,0,0,0,0
"169","Turkmenistan","TKM",2.265,5.80721935739786,0,0,0.583333333333333,0.222222222222222,0,-0.583333333333333,-0.222222222222222,NA,-100,-100,0,1,1.33333333333333,0.5,-1,-1.33333333333333,-0.5,-100,-100,-100,NA,0,0,0,0,0
"170","Timor-Leste","TLS",1.805,2.15787385957953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Tonga","TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Trinidad and Tobago","TTO",2.094,4.45061483538279,0,19,12,4.75,-19,-12,-4.75,-100,-100,-100,5,16,19.8333333333333,7.30555555555556,-11,-14.8333333333333,-2.30555555555556,-68.75,-74.7899159663866,-31.5589353612167,0,0,0,0,0,0
"173","Tunisia","TUN",2.035,3.9825466084887,0,2,1.25,0.472222222222222,-2,-1.25,-0.472222222222222,-100,-100,-100,48,69,106.333333333333,37.5833333333333,-21,-58.3333333333333,10.4166666666667,-30.4347826086957,-54.858934169279,27.7161862527716,0,0,0,2.78260869565217,1.80564263322884,5.10864745011086
"174","Turkey","TUR",3.015,10,39,150,54.5833333333333,22.9722222222222,-111,-15.5833333333333,16.0277777777778,-74,-28.5496183206107,69.770253929867,173,279,325.25,116.361111111111,-106,-152.25,56.6388888888889,-37.9928315412186,-46.8101460415065,48.6751014561948,1.73333333333333,4.76335877862595,6.9770253929867,2.48028673835126,2.12759415833974,5.94700405824779
"175","Tuvalu","TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Tanzania","TZA",1.86,2.59420864736216,0,0,1.25,0.416666666666667,0,-1.25,-0.416666666666667,NA,-100,-100,1,0,2.58333333333333,0.861111111111111,1,-1.58333333333333,0.138888888888889,Inf,-61.2903225806452,16.1290322580645,NA,0,0,10,0,0
"177","Uganda","UGA",2.196,5.25981753272511,3,9,16.8333333333333,5.88888888888889,-6,-13.8333333333333,-2.88888888888889,-66.6666666666667,-82.1782178217822,-49.0566037735849,15,24,41,14.5,-9,-26,0.5,-37.5,-63.4146341463415,3.44827586206897,0,0,0,0,0,0
"178","Ukraine","UKR",2.95,10,2,26,14,5.55555555555556,-24,-12,-3.55555555555556,-92.3076923076923,-85.7142857142857,-64,294,875,1204.91666666667,431.444444444444,-581,-910.916666666667,-137.444444444444,-66.4,-75.5999723355695,-31.8568117434973,0,0,0,1.344,0.976001106577218,2.72572753026011
"179","Uruguay","URY",1.711,1.41213804046014,0,1,0,0.0277777777777778,-1,0,-0.0277777777777778,-100,NA,-100,2,4,3.25,1.22222222222222,-2,-1.25,0.777777777777778,-50,-38.4615384615385,63.6363636363636,0,NA,0,0,0,0
"180","United States of America","USA",2.401,6.88615628718762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Uzbekistan","UZB",2.166,5.02181673938913,0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,NA,-100,-100,5,12,9.5,3.5,-7,-4.5,1.5,-58.3333333333333,-47.3684210526316,42.8571428571429,NA,0,0,0,0,0
"182","Saint Vincent and the Grenadines","VCT",NA,NA,0,0,0.166666666666667,0.0555555555555556,0,-0.166666666666667,-0.0555555555555556,NA,-100,-100,0,0,0.0833333333333333,0.0277777777777778,0,-0.0833333333333333,-0.0277777777777778,NA,-100,-100,NA,0,0,NA,0,0
"183","Venezuela","VEN",2.671,9.02816342721142,1,133,56.75,23.3333333333333,-132,-55.75,-22.3333333333333,-99.2481203007519,-98.2378854625551,-95.7142857142857,75,236,217.916666666667,80.6666666666667,-161,-142.916666666667,-5.66666666666667,-68.2203389830508,-65.5831739961759,-7.02479338842976,0,0,0,1.27118644067797,1.37667304015296,3.71900826446281
"184","Viet Nam","VNM",1.877,2.72907576358588,0,0,0.333333333333333,0.111111111111111,0,-0.333333333333333,-0.111111111111111,NA,-100,-100,0,6,2.08333333333333,0.861111111111111,-6,-2.08333333333333,-0.861111111111111,-100,-100,-100,NA,0,0,0,0,0
"185","Vanuatu","VUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Samoa","WSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Yemen","YEM",3.412,10,515,2472,1533.33333333333,588.111111111111,-1957,-1018.33333333333,-73.1111111111111,-79.1666666666667,-66.4130434782609,-12.4315133194786,353,898,920.333333333333,335.222222222222,-545,-567.333333333333,17.7777777777778,-60.6904231625835,-61.6443317638537,5.30328140536957,1.38888888888889,2.23913043478261,0,1.57238307349666,1.53422672944585,4.21213125621478
"188","South Africa","ZAF",2.399,6.87028956763189,4,19,11.5,4.41666666666667,-15,-7.5,-0.416666666666667,-78.9473684210526,-65.2173913043478,-9.43396226415095,94,157,127.833333333333,47.9166666666667,-63,-33.8333333333333,46.0833333333333,-40.1273885350318,-26.4667535853977,96.1739130434783,0,0,0,2.39490445859873,2.94132985658409,7.84695652173913
"189","Zambia","ZMB",1.805,2.15787385957953,0,0,2.33333333333333,0.777777777777778,0,-2.33333333333333,-0.777777777777778,NA,-100,-100,1,3,5.91666666666667,2.05555555555556,-2,-4.91666666666667,-1.05555555555556,-66.6666666666667,-83.0985915492958,-51.3513513513513,NA,0,0,0,0,0
"190","Zimbabwe","ZWE",2.463,7.37802459341531,1,2,1,0.388888888888889,-1,0,0.611111111111111,-50,0,157.142857142857,3,8,13.1666666666667,4.63888888888889,-5,-10.1666666666667,-1.63888888888889,-62.5,-77.2151898734177,-35.3293413173653,0,0,10,0,0,0
