"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"11","Chad","TCD",0.605981383746075,7.31073943661973,NA,8.91,8.5,6.7445279757551,10,6.16666666666667,10,4,5,9.24677577075104,2.88173962144656,0,0,0,10,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,5,10,4,4.5,8.84307638777366,8.36660026534076,6.72071887504073,10,6.11010092660779,10,4,5,10,10,6.17831651489048,10,5.33333333333333,10,4,4,7.82,7,10,7.31073943661973,7,10,2,4,8.55028621545486,243.962565184426,NA,86.6025403784439,141.42135623731,NA,NA,0,0.3
"12","Croatia","HRV",2.29030010109586,10,NA,6.875,1.11004784688995,6.49858478956436,5.78571428571428,3.16666666666667,2.5,0,1.5,2.65914794847249,7.14960698044674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12372435695795,1.10457941940808,5.47464115639438,3.96412483586046,0,0,0,1,3.75,1.2200956937799,2.99716957912872,1.57142857142857,6.33333333333333,0,0,0,10,1,10,10,0,5,3,3,7.07106781186548,128.69988411546,NA,173.205080756888,NA,NA,103.385822500713,0,0.3
"13","Lebanon","LBN",1.76681643340039,9.95158450704226,NA,8.75,6.6866028708134,9.97579225352113,2.78571428571429,8.5,6.97235322011158,3,4,7.91547043506244,10,0,0,0,0,0,0,0,0,10,0,10,0,10,0,3,3,10,0,10,0,10,0,3,3,8.66025403784439,5.80793056228016,9.97576288162577,0,8.36660026534076,6.2806898030576,3,4,7.5,3.37320574162679,10,5.57142857142857,7,10,2,3,10,10,0,9.95158450704226,10,3.94470644022317,3,3.5,6.26546722083475,169.332871549389,NA,173.205080756888,141.42135623731,NA,NA,0,0.3
"14","Maldives","MDV",NA,NA,NA,8.62,NA,NA,NA,1.83333333333334,0,1,1,1,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,10,0,0,0,0,0,1,1,8.50881895447306,NA,NA,NA,0,0,1,1,7.24,2.91866028708134,NA,3.14285714285714,3.66666666666667,0,0,0.5,10,NA,NA,NA,0,0,1,1,1,70.3308453934952,NA,NA,NA,NA,NA,0,0.6
"15","Mauritania","MRT",1.75278345685086,0,NA,9.75,7.56698564593302,3.55986955451637,7.64285714285714,3.83333333333333,0,3,3,1,5.76439665990508,0,0,0,0,0,0,0,0,10,10,0,10,0,0,3,3,10,10,0,10,0,0,3,3,9.74679434480896,7.5457139518446,0,7.61577310586391,0,0,3,3,9.5,8.13397129186603,7.11973910903274,8.28571428571428,7.66666666666667,0,0,2.5,10,7,7,0,0,0,1,2,1,127.147221118689,NA,NA,NA,NA,NA,0,0.3
"16","Ukraine","UKR",2.20893488187477,9.02728873239439,NA,7.188,NA,8.83649693818833,5.29976190476191,1.83333333333334,1.61006760174973,2,2.5,2.32197671362736,8.1563857568315,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,5,0,10,0,0,0,1,1.5,7.14467633976515,NA,8.83443697299808,4.25692712780341,0,0,2,2,6.4,2.29665071770335,8.64570514398228,2.14285714285714,3.66666666666667,0,0,0.5,7.976,NA,8.45666666666667,9.02728873239439,0,3.22013520349946,0,1.5,5.39157585862771,122.018245540508,NA,173.205080756888,NA,NA,102.718912742627,0,0.4
"17","Zimbabwe","ZWE",0.84799632971128,6.29841549295775,NA,6.51269230769231,10,8.14920774647888,9.21428571428572,3.08333333333333,10,4,4.5,8.90856650915841,5.61887054986346,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,0,10,0,10,0,10,3,3,6.27669682850168,10,7.93625572480987,9.18072515031979,0,10,4,4.5,8.25,10,10,8.42857142857143,6.16666666666667,10,3,4,4.77538461538462,10,10,6.29841549295775,0,10,3,3,7.93625572480987,157.049219294804,NA,173.205080756888,NA,47.1404520791032,NA,0,0.2
"18","Belarus","BLR",1.50209549421455,10,NA,6.42307692307693,2.01435406698565,9.10749446222004,4.28571428571428,1,0,1,1.5,1.77827941003892,7.20042765710969,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,10,0,0,0,1,1,6.40224239562262,1.75673686188737,9.06365760851549,3.3166247903554,0,0,1,1.5,6.94,1.02870813397129,8.21498892444007,1.57142857142857,2,0,0,0.5,5.90615384615385,3,7,10,0,0,1,1.5,3.16227766016838,99.8540779005862,NA,NA,NA,NA,NA,0,0.3
"19","Brazil","BRA",NA,9.11531690140845,NA,6.875,NA,7.18225849992893,7.5,2.5,1.71236247453597,2,2.5,2.36373816487259,9.93045881045957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,6.12372435695795,NA,6.91723372283104,7.07106781186548,0,0,1,2,3.75,3.73205741626794,5.24920009844942,5,5,0,0,0,10,NA,10,9.11531690140845,0,3.42472494907194,2,2.5,5.58725811207525,76.3279437623323,NA,173.205080756888,NA,NA,114.633034176488,0,0.3
"20","Cabo Verde","CPV",2.08103310832156,7.04665492957748,NA,9.07,4.68181818181818,5.78489527182787,6.42197695811943,0.416666666666667,0,1,2,1.62928009302572,6.01072382965741,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,10,0,0,0,0,0,1,1,9.02219485491197,4.36931448752651,5.64561563269163,6.41532100846757,0,0,1,2,8.14,6.36363636363636,4.52313561407827,6.71428571428571,0.833333333333334,0,0,0.5,10,3,6.12966820195315,7.04665492957748,0,0,1,1.5,2.6545536215299,140.191690155536,NA,NA,NA,NA,164.734485500584,0,0.3
