"","Countryname","Country","Fr_conflict_acaps","H_health_acaps","NH_natural_acaps","F_food_acaps"
"152","North Macedonia","MKD",0,0,0,0
"153","Philippines","PHL",0,0,0,0
"154","Portugal","PRT",0,0,0,0
"155","Qatar","QAT",0,0,0,0
"156","Saint Kitts and Nevis","KNA",0,0,0,0
"157","Saint Vincent and the Grenadines","VCT",0,0,0,0
"158","Singapore","SGP",0,0,0,0
"159","Slovenia","SVN",0,0,0,0
"160","Sweden","SWE",0,0,0,0
"161","Switzerland","CHE",0,0,0,0
"162","Thailand","THA",0,0,0,0
"163","Tonga","TON",0,0,0,0
"164","United States of America","USA",0,0,0,0
"165","Uruguay","URY",0,0,0,0
"166","Benin","BEN",0,0,0,0
"167","Canada","CAN",0,0,0,0
"168","Costa Rica","CRI",0,0,0,0
"169","Côte d'Ivoire","CIV",0,0,0,0
"170","Denmark","DNK",0,0,0,0
"171","Eswatini","SWZ",0,0,0,0
"172","Finland","FIN",0,0,0,0
"173","Ghana","GHA",0,0,0,0
"174","Guinea-Bissau","GNB",0,0,0,0
"175","Indonesia","IDN",0,0,0,0
"176","Jamaica","JAM",0,0,0,0
"177","Korea Republic of","KOR",0,0,0,0
"178","Kyrgyzstan","KGZ",0,0,0,0
"179","Lao PDR","LAO",0,0,0,0
"180","Liechtenstein","LIE",0,0,0,0
"181","Marshall Islands","MHL",0,0,0,0
"182","Namibia","NAM",0,0,0,0
"183","Nepal","NPL",0,0,0,0
"184","Norway","NOR",0,0,0,0
"185","Paraguay","PRY",0,0,0,0
"186","Russian Federation","RUS",0,0,0,0
"187","Slovakia","SVK",0,0,0,0
"188","Sri Lanka","LKA",0,0,0,0
"189","United Kingdom","GBR",0,0,0,0
"190","Viet Nam","VNM",0,0,0,0
