"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_cases_controlled","H_test_and_trace","H_high_vulnerability","H_workplace_prevention","H_manage_imported_cases","H_community_understanding","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","Additional_Deaths_/_1M","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm"
"138","Papua New Guinea","PNG",27.8,8.44,0.9,0.3,NA,NA,0.5,0.5,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,-36.1448313521233,6.66666666666667,0,1.565,0.016,0.313000000000001,0.0800000000000001
"139","Poland","POL",55.4,2.92,0,0.7,NA,NA,0.8,0.3,0.4,2.5,2032,2931,77,899,"24",44,2301,4070,1.28279883381924,6.79108346293415,4.04482827939199,0.452738897528944,0.269655218626133,19.092,0.306,3.8184,1.53
"140","Korea DPR","PRK",70.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Portugal","PRT",60.3,1.94,0,0.7,NA,NA,0.8,0.5,0.5,5,1818,2029,197,211,"21",12,1826,2504,4.19825072886297,2.5,38.9156565988308,0.166666666666668,2.59437710658872,27.964,0.336,5.5928,1.68
"142","Paraguay","PRY",35.7,6.86,0,0.6,NA,NA,1,0.5,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6613036987892,78.5392659351244,6.51075357991928,5.23595106234162,70.101,2.043,10,10
"143","Qatar","QAT",41.2,5.76,0,0.6,NA,NA,0.8,0.4,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75,-12.0311383932618,0,0,81.418,0.149,10,0.745000000000001
"144","Romania","ROU",45.8,4.84,0,0.6,NA,NA,0.2,0.4,0.3,0,3539,6074,313,2535,"131",72,4603,8654,7.01652089407191,1.55443863795228,-5.50525123638749,0.10362924253015,0,61.553,2.272,10,10
"145","Russian Federation","RUS",44.3,5.14,NA,NA,NA,NA,NA,NA,NA,NA,16977,21952,150,4975,"34",29,18426,28651,3.05636540330418,-9.56040866060551,-6.26510371896135,0,0,32.744,0.7,6.5488,3.5
"146","Rwanda","RWA",34.2,7.16,0.5,0.9,NA,NA,1,0.5,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.666666666667,300.795070562512,10,10,10.522,0.055,2.1044,0.275
"147","Saudi Arabia","SAU",49.3,4.14,0,0.7,NA,NA,1,0.6,0.6,7.5,3840,5381,157,1541,"45",40,4288,6927,3.22643343051506,-5.90654470679997,-17.3947606908723,0,0,30.944,0.907,6.1888,4.535
"148","Sudan","SDN",26.2,8.76,0.2,0.3,NA,NA,0.8,NA,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.8770421324162,15.9292612894806,0,1.06195075263204,1.844,0.036,0.3688,0.18
"149","Senegal","SEN",37.9,6.42,0,0.7,NA,NA,0.8,0.5,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.5887281035796,-23.3235399762381,0,0,5.17,0.137,1.034,0.685
"150","Singapore","SGP",58.7,2.26,0,0.7,NA,NA,0.5,0.5,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,11.013,0,2.2026,0
"151","Solomon Islands","SLB",20.7,9.86,NA,0,NA,NA,1,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Sierra Leone","SLE",38.2,6.36,0.8,0.7,NA,NA,0.2,NA,0.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50,-41.600790513834,0,0,0.698,0.018,0.1396,0.0899999999999999
"153","El Salvador","SLV",44.2,5.16,0,0.6,NA,NA,1,0.7,0.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.4329896907216,-48.4444555238211,0,0,26.76,1.299,5.352,6.495
"154","Somalia","SOM",16.6,10,0.9,0.1,NA,NA,1,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.369,0.045,0.0737999999999985,0.225
"155","Serbia","SRB",52.3,3.54,0,0.6,NA,NA,0,0.4,0.3,0,710,901,129,191,"27",27,784,1066,2.54616132167153,-55.952380952381,-51.762101649959,0,0,15.41,0.315,3.082,1.575
"156","South Sudan","SSD",21.7,9.66,0.7,0.3,NA,NA,1,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,-50.0186567164179,0,0,0.281,0,0.0562000000000005,0
"157","Sao Tome and Principe","STP",17.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,1.956,0,0.391200000000001,0
"158","Suriname","SUR",36.5,6.7,0,0.2,NA,NA,1,NA,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00586613480377193,-14.9100142059021,0.000391075653583428,0,93.755,2.435,10,10
"159","Slovakia","SVK",47.9,4.42,NA,NA,NA,NA,NA,NA,NA,NA,33,45,8,12,"2",38,35,69,0,0,74.5521256298615,0,4.97014170865744,13.763,0,2.7526,0
"160","Slovenia","SVN",67.2,0.559999999999999,0.7,0.8,NA,NA,0.5,0.6,0.7,10,133,162,78,29,"14",22,137,210,1.30709426627794,-42.8571428571429,90.2580184814877,0,6.01720123209918,14.912,0.069,2.9824,0.344999999999999
"161","Sweden","SWE",72.1,0,0,0.6,NA,NA,0.8,0.4,0.4,2.5,5821,5907,577,86,"8",1,5832,5997,10,-68.4210526315789,-40.8706580781858,0,0,12.123,0.028,2.4246,0.140000000000001
"162","Eswatini","SWZ",31.1,7.78,0,0.6,NA,NA,1,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.2222222222222,-32.1427831527481,0,0,39.526,0.985,7.9052,4.925
"163","Seychelles","SYC",31.9,7.62,1,0.4,NA,NA,0.2,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,5.811,0,1.1622,0
"164","Syria","SYR",19.9,10,0.4,0.1,NA,NA,0.8,NA,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.24101665206,18.2023468688253,8.34940111013731,1.21348979125502,3.959,0.171,0.7918,0.855
"165","Chad","TCD",28.8,8.24,1,0.2,NA,NA,1,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,179.672131147541,0,10,0.226,0.009,0.0451999999999995,0.0449999999999999
"166","Togo","TGO",32.5,7.5,0.7,0.7,NA,NA,1,0.6,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,33.8734087064898,0,2.25822724709932,1.984,0,0.396800000000001,0
"167","Thailand","THA",73.2,0,0.9,0.8,NA,NA,0.8,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.033,0,0.00660000000000061,0
"168","Tajikistan","TJK",32.3,7.54,0.1,0.2,NA,NA,0.8,0.5,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3333333333333,-14.9119871494545,2.22222222222222,0,3.056,0.03,0.6112,0.15
"169","Turkmenistan","TKM",31.8,7.64,NA,0.1,NA,NA,0.8,0,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Timor-Leste","TLS",26,8.8,1,0.7,NA,NA,0.5,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0.108,0,0.0215999999999994,0
"171","Tonga","TON",25.1,8.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Trinidad and Tobago","TTO",36.6,6.68,0.9,0.7,NA,NA,1,0.7,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.348880597015,205.674343660523,10,10,72.986,0.612,10,3.06
"173","Tunisia","TUN",33.7,7.26,0.7,0.7,NA,NA,0.8,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.803921568627,189.018767452432,10,10,10.081,0.097,2.0162,0.484999999999999
"174","Turkey","TUR",52.4,3.52,0,0.7,NA,NA,0.2,0.4,0.3,0,6284,7589,91,1305,"16",21,6396,10708,1.62293488824101,43.1069958847737,16.9222015470497,2.87379972565158,1.12814676980331,16.993,0.308,3.3986,1.54
"175","Tuvalu","TUV",21.6,9.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Tanzania","TZA",36.4,6.72,1,0.1,NA,NA,0.2,0,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"177","Uganda","UGA",44.3,5.14,0.8,0.7,NA,NA,0.5,0.7,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3838383838384,348.986049187401,5.89225589225589,10,3.12,0.031,0.623999999999999,0.154999999999999
"178","Ukraine","UKR",38,6.4,0,0.6,NA,NA,0.2,0.3,0.3,0,2540,5336,121,2796,"64",110,3491,8691,2.35179786200194,20.3292082181906,27.1261850963218,1.35528054787937,1.80841233975479,45.754,0.81,9.1508,4.05
"179","Uruguay","URY",41.3,5.74,0.8,0.6,NA,NA,0.5,0.7,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,-5.84666050120677,10,0,2.015,0.082,0.403,0.41
"180","United States of America","USA",83.5,0,NA,NA,NA,NA,NA,NA,NA,NA,182758,220154,663,37396,"113",20,206139,239924,10,-14.3211974638865,-19.2325455981029,0,0,126.661,2.77,10,10
"181","Uzbekistan","UZB",34.3,7.14,0,0.3,NA,NA,0.8,NA,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0486908589802,-26.425817821346,1.46991272393202,0,11.119,0.179,2.2238,0.895
"182","Saint Vincent and the Grenadines","VCT",33,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,2.575,0,0.515000000000001,0
"183","Venezuela","VEN",23,9.4,0,0.2,NA,NA,1,0.6,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.56216790648246,-10.5984574216905,0,0,30.088,0.261,6.0176,1.305
"184","Viet Nam","VNM",49.1,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.2162162162162,-77.7683134582624,0,0,0.038,0.009,0.00760000000000005,0.0449999999999999
"185","Vanuatu","VUT",26.1,8.78,NA,0.5,NA,NA,1,NA,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Samoa","WSM",26.4,8.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Yemen","YEM",18.5,10,0.8,0,NA,NA,1,0,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97297297297296,-37.7596111356606,0.198198198198199,0,0.192,0.086,0.0383999999999993,0.43
"188","South Africa","ZAF",54.8,3.04,0,0.7,NA,NA,1,0.6,0.6,7.5,13981,20913,357,6932,"118",50,16776,28232,8.08551992225462,-36.9697383701072,-50.288647220246,0,0,37.349,2.394,7.4698,10
"189","Zambia","ZMB",28.7,8.26,0,0.6,NA,NA,0.5,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.0102145045965,-10.4799715281528,0,0,9.908,0.054,1.9816,0.27
"190","Zimbabwe","ZWE",38.2,6.36,0,0.4,NA,NA,1,0.6,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21111909896956,-14.1042847477179,0.21407460659797,0,4.931,0.413,0.9862,2.065
