"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_cases_controlled","H_test_and_trace","H_high_vulnerability","H_workplace_prevention","H_manage_imported_cases","H_community_understanding","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","Additional_Deaths_/_1M","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm"
"61","United Kingdom","GBR",77.9,0,0,0.7,NA,NA,0.5,0.6,0.5,5,41585,42258,626,673,"10",2,41606,44721,10,-16.3108454312553,15.9117762898779,0,1.06078508599186,17.153,0.158,3.4306,0.789999999999999
"62","Georgia","GEO",52,3.6,0.9,0.4,NA,NA,0.8,0.6,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,2.435,0.072,0.487,0.359999999999999
"63","Ghana","GHA",35.5,6.9,0,0.7,NA,NA,1,0.3,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.18527918781726,-69.6810487549414,0,0,2.818,0.041,0.563599999999999,0.205
"64","Guinea","GIN",32.7,7.46,0,0.3,NA,NA,1,NA,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,-20.4806822586898,4,0,3.47,0.065,0.694000000000001,0.324999999999999
"65","Gambia","GMB",34.2,7.16,0,0.5,NA,NA,1,NA,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.8990825688073,-20.5967088322616,0,0,27.074,0.709,5.4148,3.545
"66","Guinea-Bissau","GNB",20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.7183019398369,-35.2950539750528,0,0,4.065,0,0.812999999999999,0
"67","Equatorial Guinea","GNQ",16.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,1.527,0,0.305400000000001,0
"68","Greece","GRC",53.8,3.24,0,0.9,NA,NA,0.8,0.2,0.5,5,260,500,47,240,"22",92,343,843,0.553935860058308,70,26.7716603457362,4.66666666666666,1.78477735638241,21.875,0.274,4.375,1.37
"69","Grenada","GRD",27.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0
"70","Guatemala","GTM",32.7,7.46,0,0.2,NA,NA,1,0.7,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.99020293911827,0.835137199974534,0,0.0556758133316357,46.432,1.18,9.2864,5.9
"71","Guyana","GUY",31.7,7.66,0.7,0.6,NA,NA,1,NA,0.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.196695515342,123.404703968618,10,8.22698026457453,47.04,0.726,9.408,3.63
"72","Honduras","HND",27.6,8.48,0,0.5,NA,NA,1,0.8,0.6,7.5,1842,2782,285,940,"96",51,2145,3934,6.33624878522838,42.9343204441999,32.4025300494214,2.86228802961333,2.16016866996143,81.665,2.87,10,10
"73","Croatia","HRV",53.3,3.34,0,0.7,NA,NA,0.5,0.2,0.4,2.5,183,308,76,125,"31",69,224,462,1.25850340136054,5.89087397392563,170.936316921718,0.392724931595042,10,68.24,0.452,10,2.26
"74","Haiti","HTI",31.5,7.7,0.5,0.2,NA,NA,0.2,0.6,0.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.8484179543782,-18.1110828169652,0,0,1.992,0.063,0.398400000000001,0.315
"75","Hungary","HUN",54,3.2,0.7,0.7,NA,NA,0.8,0.6,0.7,10,614,674,69,60,"6",10,620,815,1.08843537414966,-45.4864154250657,174.279918864097,0,10,7.926,0.044,1.5852,0.220000000000001
"76","Indonesia","IDN",56.6,2.68,0,0.4,NA,NA,1,0.5,0.5,5,7261,12285,45,5024,"19",69,9061,18032,0.505344995140915,30.4516900987137,15.6963159124543,2.03011267324758,1.04642106083028,9.243,0.348,1.8486,1.74
"77","India","IND",46.5,4.7,0,0.6,NA,NA,1,0.7,0.6,7.5,63498,114977,84,51479,"38",81,83572,153081,1.45286686103013,5.94647096913445,15.3575475539146,0.396431397942298,1.02383650359431,51.531,0.703,10,3.515
"78","Ireland","IRL",59,2.2,0.1,0.7,NA,NA,0.5,0.5,0.4,2.5,1777,1839,375,62,"13",3,1786,2017,8.52283770651118,-72.678331090175,37.2610560207795,0,2.4840704013853,23.492,0,4.6984,0
"79","Iran","IRN",37.7,6.46,0,0.6,NA,NA,0.8,NA,0.4,2.5,21359,27157,328,5798,"70",27,23125,33961,7.38095238095238,-25.5735793408553,-10.0666650083331,0,0,25.553,1.458,5.1106,7.29
"80","Iraq","IRQ",25.8,8.84,0,0.6,NA,NA,1,0.5,0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7764038110683,13.5328800934765,0.718426920737889,0.902192006231767,93.75,1.911,10,9.555
"81","Iceland","ISL",46.3,4.74,0.8,0.8,NA,NA,0.5,0.4,0.6,7.5,10,12,36,2,"7",23,10,16,0.286686103012634,0.01,0.01,0.000666666666667481,0.000666666666667481,17.582,0,3.5164,0
"82","Israel","ISR",47.3,4.54,0,0.5,NA,NA,1,0.5,0.5,5,906,1874,220,968,"114",107,1206,3061,4.75704567541302,57.0523992099454,8.57288180376958,3.80349328066303,0.571525453584638,190.514,1.436,10,7.18
"83","Italy","ITA",56.2,2.76,0,0.7,NA,NA,0.8,0.4,0.5,5,35473,36118,598,645,"11",2,35500,38635,10,-66.4833791552112,144.703278061093,0,9.64688520407284,20.596,0.102,4.1192,0.51
"84","Jamaica","JAM",29,8.2,0.8,0.5,NA,NA,0.2,0.7,0.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.852071005917,468.033208036994,10,10,33.771,0.193,6.7542,0.965
