"","Countryname","Country","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm"
"56","Finland","FIN",37,37,35.8636363636364,0,1.13636363636364,1.11475409836066,10,0.332882106817621
"57","Fiji","FJI",NA,NA,NA,NA,NA,NA,NA,NA
"58","France","FRA",26,26,32.5909090909091,0,-6.59090909090909,0,2.90933098591549,0
"59","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,NA
"60","Gabon","GAB",73,78,79.3181818181818,-5,-6.31818181818181,5.83606557377049,3.17341549295775,6.21523504799409
"61","United Kingdom","GBR",34,50,47.7727272727273,-16,-13.7727272727273,0.721311475409836,0,1.94499138567561
"62","Georgia","GEO",41.5,41.5,46.9545454545455,0,-5.45454545454545,1.70491803278689,4.00968309859155,1.83423578636475
"63","Ghana","GHA",87,85.5,84.6363636363636,1.5,2.36363636363637,7.67213114754099,10,6.93514644351464
"64","Guinea","GIN",98,95.5,101.409090909091,2.5,-3.40909090909091,9.11475409836066,5.99031690140846,9.20563622938715
"65","Gambia","GMB",87,87,89.2727272727273,0,-2.27272727272728,7.67213114754099,7.0906690140845,7.56276150627615
"66","Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA,NA,NA
"67","Equatorial Guinea","GNQ",92.5,96,96.1363636363636,-3.5,-3.63636363636364,8.39344262295082,5.77024647887324,8.49187792271721
"68","Greece","GRC",62,62,64.2727272727273,0,-2.27272727272728,4.39344262295082,7.0906690140845,4.1785626384445
"69","Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,NA
"70","Guatemala","GTM",61,58.5,63.5,2.5,-2.5,4.26229508196721,6.8705985915493,4.07396012798425
"71","Guyana","GUY",57,57,56.6363636363636,0,0.36363636363636,3.73770491803279,9.64348591549296,3.1448437115432
"72","Honduras","HND",54.5,54.5,61.7727272727273,0,-7.27272727272727,3.40983606557377,2.24911971830986,3.84014275166133
"73","Croatia","HRV",58.5,58.5,55.5454545454545,0,2.95454545454545,3.9344262295082,10,2.99716957912872
"74","Haiti","HTI",82.5,82.5,87.0454545454545,0,-4.54545454545455,7.08196721311475,4.8899647887324,7.2612601525966
"75","Hungary","HUN",53.5,58.5,61.6818181818182,-5,-8.18181818181819,3.27868852459016,1.36883802816901,3.82783657396013
"76","Indonesia","IDN",59.5,57,63.1363636363636,2.5,-3.63636363636364,4.0655737704918,5.77024647887324,4.02473541717942
"77","India","IND",54,59,61.5,-5,-7.5,3.34426229508197,2.02904929577465,3.80322421855772
"78","Ireland","IRL",31.5,30.5,33.4090909090909,1,-1.90909090909091,0.393442622950818,7.44278169014085,0.000615308885059562
"79","Iran","IRN",121,121,117.590909090909,0,3.40909090909091,10,10,10
"80","Iraq","IRQ",99,99,99.4545454545455,0,-0.454545454545453,9.24590163934426,8.8512323943662,8.94105340881123
"81","Iceland","ISL",49.5,49.5,54.5454545454545,0,-5.04545454545455,2.75409836065574,4.40580985915493,2.86180162441546
"82","Israel","ISR",40,45,47.7272727272727,-5,-7.72727272727273,1.50819672131148,1.80897887323944,1.93883829682501
"83","Italy","ITA",31.5,41,42.3181818181818,-9.5,-10.8181818181818,0.393442622950818,0,1.20662072360325
"84","Jamaica","JAM",53,53.5,63.0454545454545,-0.5,-10.0454545454545,3.21311475409836,0,4.01242923947822
"85","Jordan","JOR",53.5,53.5,59.1818181818182,0,-5.68181818181819,3.27868852459016,3.78961267605634,3.48941668717696
"86","Japan","JPN",26,26,34.1818181818182,0,-8.18181818181819,0,1.36883802816901,0.105217819345313
"87","Kazakhstan","KAZ",85,85,85,0,0,7.40983606557377,9.29137323943663,6.98437115431947
"88","Kenya","KEN",84.5,84.5,85.5,0,-1,7.34426229508197,8.3230633802817,7.0520551316761
"89","Kyrgyzstan","KGZ",75,75,81.1363636363636,0,-6.13636363636364,6.09836065573771,3.34947183098591,6.46135860201821
"90","Cambodia","KHM",69.5,62,68.1363636363636,7.5,1.36363636363636,5.37704918032787,10,4.70157519074576
"91","Kiribati","KIR",NA,NA,NA,NA,NA,NA,NA,NA
"92","Saint Kitts and Nevis","KNA",NA,NA,NA,NA,NA,NA,NA,NA
"93","Korea Republic of","KOR",31,31,39.2272727272727,0,-8.22727272727273,0.327868852459016,1.32482394366197,0.788210681762246
"94","Kuwait","KWT",27.5,27.5,30,0,-2.5,0,6.8705985915493,0
"95","Lao PDR","LAO",71,73.5,71.2272727272727,-2.5,-0.22727272727272,5.57377049180328,9.07130281690142,5.11998523258676
"96","Lebanon","LBN",108,108,107.318181818182,0,0.681818181818187,10,9.95158450704226,10
"97","Liberia","LBR",102.5,102.5,103.636363636364,0,-1.13636363636364,9.70491803278689,8.19102112676056,9.5071375830667
"98","Libya","LBY",101.5,103,107.272727272727,-1.5,-5.77272727272725,9.57377049180328,3.70158450704228,9.99938469111494
"99","Saint Lucia","LCA",NA,NA,NA,NA,NA,NA,NA,NA
"100","Liechtenstein","LIE",24.5,32,30.8636363636364,-7.5,-6.36363636363636,0,3.12940140845071,0
"101","Sri Lanka","LKA",65,65,68.4090909090909,0,-3.40909090909091,4.78688524590164,5.99031690140846,4.73849372384937
"102","Lesotho","LSO",72,72,76.0454545454545,0,-4.04545454545455,5.70491803278689,5.37411971830986,5.77221265075068
"103","Lithuania","LTU",34.5,34.5,41.5,0,-7,0.78688524590164,2.51320422535211,1.09586512429239
"104","Luxembourg","LUX",30,30,28.5,0,1.5,0.196721311475409,10,0
"105","Latvia","LVA",49.5,62,59.7272727272727,-12.5,-10.2272727272727,2.75409836065574,0,3.5632537533842
