Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
CAN,0,4.048465612555408,0,0,0.6849600000000002,0.9459999999999997,NA,0,0,0,75.3,0.463858661836217,-31.9566630552546,-47.79365239928343,17.124,0.473,NA,2,0,0
CHE,0.6000000000000014,4.132358072756036,0,0,0.49584000000000117,0.3960000000000008,3.9261538461538468,0,0,0,67,0.469475243909889,-51.2788818104022,-65.53961388679997,12.396,0.198,54.48,1.9,0,0
CHL,2.3400000000000007,7.199160866455074,0.6529224416616675,0,8.32232,10,0,2.5,0,0,58.3,0.674797027934152,9.793836624925008,-30.63461662158393,208.058,5.971,87.55,3,0,0
CHN,4.359999999999999,0,6.666666666674814e-4,6.666666666674814e-4,5.199999999998539e-4,0,NA,3.5,10,0,48.2,0.036349206349211,0.01,0.01,0.013,0,NA,3.4,10,0
CIV,6.9,6.334380682773265,6.666666666674814e-4,6.666666666674814e-4,0.039839999999999876,0.04400000000000048,6.298461538461538,9,0,0,35.5,0.616900181593988,0.01,0.01,0.996,0.022,39.06,5.6,0,0
CMR,7.12,3.086693339689843,0,0,0.07988000000000106,0.04400000000000048,8.701538461538462,9.25,0,0,34.4,0.399468216093977,-68.76847820244048,-59.20108126096514,1.997,0.022,23.44,5.7,0,0
COD,8.7,8.27628121507556,0.10437939641479588,1.0586522796723727,0.15987999999999936,0.11400000000000077,7.147692307692308,10,10,0,26.5,0.746910002411016,1.5656909462219228,15.87978419508558,3.997,0.057,33.54,6.8,10,0
COG,9.28,2.9286744992526,0,5.689233927068306,0.19884000000000057,0.0519999999999996,5.095384615384615,9.25,0,0,23.6,0.388888888888889,-10.23989809638383,85.3385089060246,4.971,0.026,46.88,5.7,0,0
COL,5.159999999999999,4.7359158649934034,1.0887741747855166,0.7596844403714602,10,10,1.5538461538461537,5.75,0,0,44.2,0.509883307616669,16.331612621782757,11.395266605571928,606.583,13.005,69.9,4.3,0,0
COM,8.56,0,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,10,0,0,27.2,0.0590476190476147,0.01,0.01,0,0,NA,6,0,0
