Country,F_Proteus_Score_norm,F_fews_crm_norm,F_fpv_rating,F_fao_wfp_warning
TCD,10,7,NA,NA
TGO,8.68421052631579,NA,NA,NA
THA,3.56459330143541,NA,NA,NA
TJK,5.90909090909091,NA,NA,NA
TKM,3.27751196172249,NA,NA,NA
TLS,9.30622009569378,NA,NA,NA
TON,4.52153110047847,NA,NA,NA
TTO,2.89473684210526,NA,NA,NA
TUN,2.05741626794258,NA,NA,NA
TUR,0.454545454545453,NA,NA,NA
TUV,NA,NA,NA,NA
TZA,9.71291866028708,NA,NA,NA
UGA,10,7,NA,NA
UKR,2.29665071770335,NA,NA,NA
URY,3.13397129186603,NA,NA,NA
USA,0.191387559808613,NA,NA,NA
UZB,3.25358851674641,NA,NA,NA
VCT,4.47368421052632,NA,NA,NA
VEN,5.07177033492823,NA,NA,10
VNM,5.52631578947368,NA,NA,NA
VUT,8.22966507177034,NA,NA,NA
WSM,3.20574162679426,NA,NA,NA
YEM,10,10,NA,10
ZAF,5.43062200956938,NA,NA,NA
ZMB,8.70813397129187,3,NA,NA
ZWE,10,5,NA,10
