Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert
BLR,6.94,0,0,0,6.1126,1.966,6.84615384615385,4.5,0
BLZ,7.64,10,0,0,1.33652,0.718,1.79538461538461,4.5,0
BOL,6.84,4.76190476190474,0,0,2.77564,7.564,7.60615384615385,7.25,0
BRA,2.06,2.38095238095237,0,0,8.51436,9.754,NA,3.75,10
BRB,7.62,9.52380952380948,4.10230621868553,7.56305808217025,10,8.948,2.22153846153846,5,0
BRN,7.48,NA,6.66666666667481e-4,6.66666666667481e-4,0.0261199999999988,0,5.47076923076923,2.75,0
BTN,5.94,10,6.66666666667481e-4,6.66666666667481e-4,0.0370399999999993,0,3.85538461538462,5.5,0
BWA,7.78,9.52380952380948,4.5977111870722,0,3.88304,6.318,4.61538461538462,6.75,0
CAF,8.54,7.14285714285711,6.66666666667481e-4,6.66666666667481e-4,0.00120000000000076,0,10,10,10
CAN,0,4.76190476190474,0,0,3.12768,3.18,NA,0,0
CHE,0.600000000000001,2.38095238095237,0,0,4.80668,4.852,3.09384615384615,0,0
CHL,2.34,4.76190476190474,0.288419572396977,0,7.12484,8.012,0.384615384615385,2.5,10
CHN,4.36,2.38095238095237,0,0,6.39999999998864e-4,0.00200000000000067,0.649230769230769,3.5,10
CIV,6.9,NA,3.04675716440422,0,0.235239999999999,0.130000000000001,6.15384615384615,9,0
CMR,7.12,2.38095238095237,10,4.04480115762333,0.506919999999999,0.528,7.94923076923077,9.25,0
COD,8.7,NA,0,0,0.0489999999999995,0.0280000000000005,6.32461538461538,10,10
COG,9.28,2.38095238095237,0,3.02284846502251,0.0673199999999987,0.0519999999999996,6.92307692307692,9.25,0
COL,5.16,7.14285714285711,0,0,3.69296,7.586,0.913846153846155,5.75,0
COM,8.56,NA,0,0,1.19596,5.256,NA,10,0
CPV,8.14,NA,0,0,2.91888,2.056,2.47846153846154,6.25,0
CRI,4.98,4.76190476190474,0,0,2.78752,2.58,4.17076923076923,3.5,0
CUB,6.96,4.76190476190474,2.60658976483335,0.10514302128135,2.98464,0.731999999999999,0.769230769230768,3.5,0
CYP,5.4,10,0,0,4.95816,3.262,0,3.25,0
CZE,3.6,4.76190476190474,0.189872702229124,0.895087651933038,10,10,1.47076923076923,3.5,0
DEU,0.799999999999999,2.38095238095237,0,0,3.47724,10,2.06769230769231,0.5,0
DJI,9.36,4.76190476190474,0,10,0.24292,0,6.66615384615385,8.75,0
DMA,9.2,9.52380952380948,NA,NA,1.03188,0,6.49538461538461,5.5,0
DNK,0,4.76190476190474,0,0,2.66468,2.466,2.46153846153846,0.25,10
DOM,6.34,2.38095238095237,0,0,3.19536,2.712,3.33384615384615,5.75,0
DZA,9.28,2.38095238095237,0,0,0.1784,0.130000000000001,2.99076923076923,4.75,0
ECU,3.98,4.76190476190474,1.23064858739535,0,2.47672,4.372,2.32461538461538,4.75,0
EGY,6.02,0,0,0.161541945548789,0.24236,0.960000000000001,2.78615384615385,4,0
ERI,9.52,9.52380952380948,0,0,0.39636,0,0.94,9.75,0
ESP,0.819999999999999,0,0,0,9.80592,10,1.29846153846154,2,0
EST,2.6,7.14285714285711,0,1.65175730112504,10,7.324,5.31692307692308,2.5,0
ETH,5.88,0,4.01554001554002,1.67376369350422,0.264279999999999,0.194000000000001,6.41076923076923,9.75,10
FIN,0.26,9.52380952380948,0,0.997300196785632,3.13936,0.875999999999999,3.56461538461538,0.25,0
FJI,8.86,10,6.66666666667481e-4,6.66666666667481e-4,0,0,4.35846153846154,5.25,0
FRA,0.359999999999999,0,0,0,10,10,2.33384615384615,2.5,10
FSM,7.44,NA,NA,NA,0,0,NA,NA,0
GAB,10,4.76190476190474,0.516815775580383,3.38094238871072,2.40308,0.513999999999999,4.44461538461538,7.5,10
GBR,0,4.76190476190474,0,0,7.13896,10,0,1.5,10
GEO,3.6,9.52380952380948,0,0,4.51936,5.586,1.62461538461539,5,0
GHA,6.9,4.76190476190474,3.04287990728669,0,0.943760000000001,0.68,5.64153846153846,6.75,0
GIN,7.46,4.76190476190474,0,3.60376380344174,0.12792,0.0220000000000002,5.42769230769231,10,10
GMB,7.16,9.52380952380948,5.90068944147494,3.68961192717047,0.49184,0.472,5.29846153846154,9.25,0
GNB,10,NA,0,1.43244271179994,0.513920000000001,0,NA,10,0
GNQ,10,NA,6.66666666667481e-4,6.66666666667481e-4,0.34212,0.20400000000000101,NA,9.75,0
GRC,3.24,4.76190476190474,0,2.38522950331737,3.94016,4.522,0,3.25,0
GRD,8.5,NA,6.66666666667481e-4,6.66666666667481e-4,0,0,NA,4,0
GTM,7.46,4.76190476190474,0.0424604804298951,0,1.30072,2.6,5.34153846153846,7,0
GUY,7.66,10,1.31033215459015,0,1.47476,1.816,2.01692307692308,4.25,0
HND,8.48,7.14285714285711,0.963473116512542,0,2.8558,3.664,1.53846153846154,7.25,0
HRV,3.34,2.38095238095237,0,0,3.0024,9.466,4.97384615384615,3.75,0
HTI,7.7,2.38095238095237,0,0,0.107760000000001,0.0259999999999998,5.98307692307692,10,0
HUN,3.2,9.52380952380948,0.423011069016162,2.18664575052484,7.18576,10,2.75230769230769,3.5,0
IDN,2.68,4.76190476190474,0,0,1.268,1.658,3.71846153846154,6,0
IND,4.7,7.14285714285711,0,0,0.3428,0.138,1.89692307692308,6.5,0
IRL,2.2,4.76190476190474,0,0,6.76532,10,0,2.5,0
IRN,6.46,2.38095238095237,0,1.00181396013043,3.65248,1.746,2.31692307692308,4.25,0
IRQ,8.84,4.76190476190474,0.396238853613685,9.98783053076261,2.91876,0.539999999999999,4.87230769230769,7,0
ISL,4.74,7.14285714285711,6.66666666667481e-4,6.66666666667481e-4,0.301399999999999,0,3.77846153846154,1.5,0
ISR,4.54,4.76190476190474,0,0,10,7.46,1.31692307692308,1.75,0
ITA,2.76,4.76190476190474,0,0,7.75072,10,0.273846153846154,3,0
JAM,8.2,7.14285714285711,1.08949298144891,8.0290001570116,4.00036,2.026,1.62461538461539,5.25,0
JOR,5.58,10,0.281224152191895,5.4464998391061,8.26636,2.548,3.65846153846154,5.75,0
JPN,2.04,2.38095238095237,0,0,0.42,1.116,4.02615384615385,0.75,0
KAZ,5.86,7.14285714285711,0,0,1.8704,0.198,2.10307692307692,2.75,0
KEN,4.58,2.38095238095237,0,1.7980198019802,0.134119999999999,0.0700000000000003,4.61538461538462,9,0
KGZ,4.14,NA,2.14278114693052,0,0.3162,0.438000000000001,6.83692307692308,4.5,0
KHM,6.16,7.14285714285711,NA,NA,0.00172000000000061,0,6.03384615384615,7.25,0
KIR,10,NA,NA,NA,NA,NA,9.91384615384615,9.75,0
KNA,8.76,NA,NA,NA,0.10744,0,NA,3.25,0
KOR,10,NA,0,0.232088767349065,0.3668,0.24,2.90615384615385,2.25,0
KWT,4.78,4.76190476190474,10,3.33726834578238,8.63452,2.81,1.43538461538462,4.75,0
LAO,5.38,NA,NA,NA,0,0,5.52153846153846,6.5,10
LBN,5.38,2.38095238095237,0,0,10,10,1.79538461538461,7.5,0
LBR,6.98,4.76190476190474,6.66666666667481e-4,6.66666666667481e-4,0.0327599999999997,0.0559999999999992,5.72615384615385,10,0
LBY,8.86,0,0,0,1.9784,2.162,4.10307692307692,5.75,0
LCA,6.94,NA,0,2.87012654612535,6.37932,4.668,NA,4.75,0
LIE,5.3,NA,6.66666666667481e-4,6.66666666667481e-4,1.19868,10,NA,0,0
LKA,7.22,10,2.94618425053208,0.240287854487203,1.4154,0.68,0.641538461538463,5.75,0
LSO,7.96,4.76190476190474,4.58439501411748,0,1.69648,9.736,2.56461538461538,10,0
LTU,3,9.52380952380948,0,0,6.5806,10,2.49538461538461,2,0
LUX,5.24,0,0.769133324964592,0.429738731514705,10,6.846,2.41076923076923,3,0
LVA,1.42,9.52380952380948,0,0,10,10,2.87230769230769,3.5,0
MAR,5.26,7.14285714285711,0,0,0.448359999999999,0.65,2.52923076923077,5.75,0
MDA,5.42,NA,1.2584021216417,2.8684651279042,9.36192,7.79,5.29846153846154,6,0
MDG,5.98,4.76190476190474,3.19581226155621,0,0.0491200000000003,0.0719999999999992,5.98307692307692,10,0
MDV,7.24,NA,0.512820512820513,0.830609148215222,10,1.058,NA,5,0
MEX,2.48,2.38095238095237,0,0,2.39752,10,1.67538461538462,4.25,10
MHL,10,NA,NA,NA,0,0,NA,8.5,0
MKD,6.18,NA,0,0.347085731395708,5.54592,7.132,NA,4.25,0
MLI,8.2,10,0,0,0.0107199999999992,0.0280000000000005,5.72615384615385,9.25,0
MLT,6.54,NA,0,0.327908810834662,10,9.706,2.46153846153846,5.25,0
MMR,5.32,10,0,0,0.0196400000000008,0.0359999999999996,0.786153846153846,7,0
MNE,5.26,NA,3.66775836599403,0.302354014414552,10,10,NA,4.25,0
MNG,4.1,10,6.66666666667481e-4,6.66666666667481e-4,0.52988,0,1.49538461538462,4.25,0
MOZ,8.38,2.38095238095237,0,0,1.04888,0.640000000000001,3.84615384615385,10,0
MRT,8.5,9.52380952380948,0,0,0.16344,0.368,5.47076923076923,9.5,10
MUS,7.02,10,6.66666666667481e-4,6.66666666667481e-4,0.0359600000000011,0,6.20461538461538,4.25,0
