Country,M_EIU_12m_change_norm,M_EIU_Score_12m_norm,M_EIU_Score_12m_raw,M_EIU_12m_change_raw
AFG,3.4090909090908994,9.933884297520661,69.63636363636364,-0.6363636363636402
AGO,5,8.727272727272727,63,0
ALB,5,6.363636363636363,50,0
ARE,0,3.2892561983471076,33.09090909090909,-3.0909090909090935
ARG,0.4545454545454497,7.785123966942149,57.81818181818182,-1.8181818181818201
ARM,2.9545454545454497,6.148760330578513,48.81818181818182,-0.8181818181818201
ATG,NA,NA,NA,NA
AUS,6.136363636363633,0.46280991735537214,17.545454545454547,0.45454545454545325
AUT,4.772727272727275,1.107438016528926,21.09090909090909,-0.09090909090908994
AZE,6.136363636363633,7.1900826446281,54.54545454545455,0.45454545454545325
BDI,2.0454545454545325,10,74.18181818181819,-1.181818181818187
BEL,5,2.1818181818181817,27,0
BEN,0,8.132231404958677,59.72727272727273,-2.7272727272727266
BFA,0.9090909090909172,7.752066115702479,57.63636363636363,-1.6363636363636331
BGD,7.95454545454545,6.5123966942148765,50.81818181818182,1.1818181818181799
BGR,3.409090909090917,3.9338842975206596,36.63636363636363,-0.6363636363636331
BHR,6.363636363636367,5.7190082644628095,46.45454545454545,0.5454545454545467
BHS,1.3636363636363669,4.809917355371901,41.45454545454545,-1.4545454545454533
BIH,6.136363636363633,6.8264462809917354,52.54545454545455,0.45454545454545325
BLR,10,8.975206611570247,64.36363636363636,2.6363636363636402
BLZ,2.7272727272727337,7.074380165289256,53.90909090909091,-0.9090909090909065
BOL,0.6818181818181834,8.677685950413224,62.72727272727273,-1.7272727272727266
BRA,0,6.396694214876033,50.18181818181818,-2.18181818181818
BRB,5,3.8181818181818183,36,0
BRN,0,2.3636363636363633,28,-2
BTN,5.909090909090917,4.115702479338842,37.63636363636363,0.36363636363636687
BWA,0,3.140495867768596,32.27272727272727,-2.2727272727272734
CAF,4.5454545454545325,10,72.18181818181819,-0.18181818181818699
CAN,2.727272727272725,0.3471074380165291,16.90909090909091,-0.9090909090909101
CHE,0.22727272727273018,0,11.909090909090908,-1.9090909090909083
CHL,5,1.8181818181818183,25,0
CHN,0,5.223140495867769,43.72727272727273,-3.7272727272727266
CIV,5,6.909090909090909,53,0
CMR,3.636363636363633,8.826446280991735,63.54545454545455,-0.5454545454545467
COD,5,10,78,0
COG,5.909090909090899,9.206611570247935,65.63636363636364,0.36363636363635976
COL,1.5909090909090828,5.15702479338843,43.36363636363637,-1.3636363636363669
COM,NA,NA,NA,NA
CPV,3.1818181818181834,4.495867768595041,39.72727272727273,-0.7272727272727266
CRI,4.772727272727266,3.2892561983471076,33.09090909090909,-0.09090909090909349
CUB,8.636363636363633,8.099173553719009,59.54545454545455,1.4545454545454533
CYP,0,3.4049586776859506,33.72727272727273,-2.7272727272727266
CZE,0,2.9421487603305794,31.181818181818183,-4.181818181818183
DEU,0,1.0743801652892557,20.90909090909091,-2.90909090909091
DJI,3.636363636363633,7.008264462809918,53.54545454545455,-0.5454545454545467
DMA,NA,NA,NA,NA
DNK,5.454545454545454,0.14876033057851146,15.818181818181818,0.18181818181818166
DOM,5,5.818181818181818,47,0
DZA,5,9.09090909090909,65,0
ECU,7.727272727272734,7.256198347107437,54.90909090909091,1.0909090909090935
EGY,1.3636363636363669,6.628099173553719,51.45454545454545,-1.4545454545454533
ERI,3.636363636363633,10,71.54545454545455,-0.5454545454545467
ESP,0,2.892561983471074,30.90909090909091,-2.90909090909091
EST,2.272727272727275,1.8347107438016526,25.09090909090909,-1.09090909090909
ETH,6.363636363636367,8.991735537190083,64.45454545454545,0.5454545454545467
FIN,6.363636363636367,0.4462809917355379,17.454545454545453,0.5454545454545467
FJI,NA,NA,NA,NA
FRA,2.0454545454545414,1.8512396694214885,25.181818181818183,-1.1818181818181834
FSM,NA,NA,NA,NA
GAB,2.7272727272727337,7.801652892561982,57.90909090909091,-0.9090909090909065
GBR,0,1.4876033057851252,23.181818181818183,-4.181818181818183
GEO,3.636363636363633,4.099173553719009,37.54545454545455,-0.5454545454545467
GHA,6.363636363636367,6.082644628099173,48.45454545454545,0.5454545454545467
GIN,1.5909090909091006,10,73.36363636363636,-1.3636363636363598
GMB,4.54545454545455,7.12396694214876,54.18181818181818,-0.18181818181817988
GNB,NA,NA,NA,NA
GNQ,5.909090909090899,9.206611570247935,65.63636363636364,0.36363636363635976
GRC,2.2727272727272663,4.925619834710744,42.09090909090909,-1.0909090909090935
GRD,NA,NA,NA,NA
GTM,3.636363636363633,7.1900826446281,54.54545454545455,-0.5454545454545467
GUY,3.863636363636367,6.2644628099173545,49.45454545454545,-0.45454545454545325
HND,0.9090909090909172,7.570247933884297,56.63636363636363,-1.6363636363636331
HRV,9.318181818181817,3.867768595041322,36.27272727272727,1.7272727272727266
HTI,4.318181818181817,8.776859504132231,63.27272727272727,-0.2727272727272734
HUN,0,3.4876033057851243,34.18181818181818,-2.18181818181818
IDN,0,6.049586776859504,48.27272727272727,-2.2727272727272734
IND,0,6,48,-3
IRL,3.4090909090909083,1.570247933884298,23.636363636363637,-0.6363636363636367
IRN,8.4090909090909,10,70.63636363636364,1.3636363636363598
IRQ,5.4545454545454675,10,75.81818181818181,0.18181818181818699
ISL,2.272727272727275,1.8347107438016526,25.09090909090909,-1.09090909090909
ISR,0,3.12396694214876,32.18181818181818,-2.18181818181818
ITA,0,3.7190082644628095,35.45454545454545,-2.4545454545454533
JAM,0,5.008264462809918,42.54545454545455,-2.5454545454545467
JOR,2.9545454545454497,5.239669421487604,43.81818181818182,-0.8181818181818201
JPN,0,1.1900826446281005,21.545454545454547,-2.5454545454545467
KAZ,5,6.7272727272727275,52,0
KEN,4.090909090909083,8.429752066115704,61.36363636363637,-0.36363636363636687
KGZ,2.9545454545454497,7.785123966942149,57.81818181818182,-0.8181818181818201
KHM,5.45454545454545,7.603305785123967,56.81818181818182,0.18181818181817988
KIR,NA,NA,NA,NA
KNA,NA,NA,NA,NA
